period,change_date,change,file,company
Q4-21,2021-09-27,6.45,11-30-2021,Monex USA Corp
Q4-21,2021-11-19,6.45,11-30-2021,Monex USA Corp
Q1-22,2021-09-27,6.5,11-30-2021,Monex USA Corp
Q1-22,2021-11-19,6.5,11-30-2021,Monex USA Corp
Q2-22,2021-09-27,6.55,11-30-2021,Monex USA Corp
Q2-22,2021-11-19,6.55,11-30-2021,Monex USA Corp
Q3-22,2021-09-27,6.6,11-30-2021,Monex USA Corp
Q3-22,2021-11-19,6.6,11-30-2021,Monex USA Corp
2022,2021-09-27,6.6,11-30-2021,Monex USA Corp
2022,2021-11-19,6.6,11-30-2021,Monex USA Corp
Q1-22,2021-09-27,6.5,02-28-2022,Monex USA Corp
Q1-22,2021-11-19,6.5,02-28-2022,Monex USA Corp
Q1-22,2021-12-28,6.4,02-28-2022,Monex USA Corp
Q1-22,2022-02-08,6.4,02-28-2022,Monex USA Corp
Q2-22,2021-09-27,6.55,02-28-2022,Monex USA Corp
Q2-22,2021-11-19,6.55,02-28-2022,Monex USA Corp
Q2-22,2021-12-28,6.45,02-28-2022,Monex USA Corp
Q2-22,2022-02-08,6.45,02-28-2022,Monex USA Corp
Q3-22,2021-09-27,6.6,02-28-2022,Monex USA Corp
Q3-22,2021-11-19,6.6,02-28-2022,Monex USA Corp
Q3-22,2021-12-28,6.45,02-28-2022,Monex USA Corp
Q3-22,2022-02-08,6.45,02-28-2022,Monex USA Corp
Q4-22,2021-09-27,6.6,02-28-2022,Monex USA Corp
Q4-22,2021-11-19,6.6,02-28-2022,Monex USA Corp
Q4-22,2021-12-28,6.5,02-28-2022,Monex USA Corp
Q4-22,2022-02-08,6.5,02-28-2022,Monex USA Corp
