period,change_date,change,file,company
Q2-07,2006-03-09,7.25,05-31-2007,Morgan Stanley
Q2-07,2006-03-23,7.25,05-31-2007,Morgan Stanley
Q2-07,2006-04-06,7.25,05-31-2007,Morgan Stanley
Q2-07,2006-04-12,7.25,05-31-2007,Morgan Stanley
Q2-07,2006-04-20,7.25,05-31-2007,Morgan Stanley
Q2-07,2006-05-18,7.25,05-31-2007,Morgan Stanley
Q2-07,2006-07-06,7.5,05-31-2007,Morgan Stanley
Q2-07,2006-07-13,7.25,05-31-2007,Morgan Stanley
Q2-07,2006-07-14,7.35,05-31-2007,Morgan Stanley
Q2-07,2006-07-19,7.35,05-31-2007,Morgan Stanley
Q2-07,2006-08-31,7.25,05-31-2007,Morgan Stanley
Q2-07,2006-09-01,7.35,05-31-2007,Morgan Stanley
Q2-07,2006-09-07,7.35,05-31-2007,Morgan Stanley
Q2-07,2006-09-15,7.5,05-31-2007,Morgan Stanley
Q2-07,2006-10-06,7.25,05-31-2007,Morgan Stanley
Q2-07,2006-10-26,7.65,05-31-2007,Morgan Stanley
Q2-07,2006-11-02,7.65,05-31-2007,Morgan Stanley
Q2-07,2006-11-08,7.7,05-31-2007,Morgan Stanley
Q2-07,2006-11-09,7.65,05-31-2007,Morgan Stanley
Q2-07,2006-11-27,7.7,05-31-2007,Morgan Stanley
Q2-07,2007-01-03,7.75,05-31-2007,Morgan Stanley
Q2-07,2007-01-16,7.75,05-31-2007,Morgan Stanley
Q2-07,2007-02-09,7.55,05-31-2007,Morgan Stanley
Q2-07,2007-03-16,7.55,05-31-2007,Morgan Stanley
Q2-07,2007-04-05,7.55,05-31-2007,Morgan Stanley
Q2-07,2007-05-04,7.55,05-31-2007,Morgan Stanley
Q3-07,2006-04-06,7.1,05-31-2007,Morgan Stanley
Q3-07,2006-04-12,7.1,05-31-2007,Morgan Stanley
Q3-07,2006-04-20,7.1,05-31-2007,Morgan Stanley
Q3-07,2006-05-18,7.1,05-31-2007,Morgan Stanley
Q3-07,2006-07-13,7.1,05-31-2007,Morgan Stanley
Q3-07,2006-08-31,7.1,05-31-2007,Morgan Stanley
Q3-07,2006-09-15,7.35,05-31-2007,Morgan Stanley
Q3-07,2006-10-06,7.1,05-31-2007,Morgan Stanley
Q3-07,2006-10-26,7.6,05-31-2007,Morgan Stanley
Q3-07,2006-11-02,7.6,05-31-2007,Morgan Stanley
Q3-07,2006-11-08,7.7,05-31-2007,Morgan Stanley
Q3-07,2006-11-09,7.6,05-31-2007,Morgan Stanley
Q3-07,2006-11-27,7.7,05-31-2007,Morgan Stanley
Q3-07,2007-01-03,7.7,05-31-2007,Morgan Stanley
Q3-07,2007-01-16,7.7,05-31-2007,Morgan Stanley
Q3-07,2007-02-09,7.4,05-31-2007,Morgan Stanley
Q3-07,2007-03-16,7.4,05-31-2007,Morgan Stanley
Q3-07,2007-04-05,7.4,05-31-2007,Morgan Stanley
Q3-07,2007-05-04,7.4,05-31-2007,Morgan Stanley
Q4-07,2006-03-09,7.0,05-31-2007,Morgan Stanley
Q4-07,2006-03-23,7.0,05-31-2007,Morgan Stanley
Q4-07,2006-04-06,7.23,05-31-2007,Morgan Stanley
Q4-07,2006-04-12,7.23,05-31-2007,Morgan Stanley
Q4-07,2006-04-20,7.23,05-31-2007,Morgan Stanley
Q4-07,2006-04-24,7.0,05-31-2007,Morgan Stanley
Q4-07,2006-05-18,7.28,05-31-2007,Morgan Stanley
Q4-07,2006-05-25,7.0,05-31-2007,Morgan Stanley
Q4-07,2006-06-01,7.0,05-31-2007,Morgan Stanley
Q4-07,2006-06-07,7.0,05-31-2007,Morgan Stanley
Q4-07,2006-07-06,7.0,05-31-2007,Morgan Stanley
Q4-07,2006-07-13,7.0,05-31-2007,Morgan Stanley
Q4-07,2006-07-14,7.0,05-31-2007,Morgan Stanley
Q4-07,2006-07-19,7.0,05-31-2007,Morgan Stanley
Q4-07,2006-08-31,7.0,05-31-2007,Morgan Stanley
Q4-07,2006-09-01,7.0,05-31-2007,Morgan Stanley
Q4-07,2006-09-07,7.0,05-31-2007,Morgan Stanley
Q4-07,2006-09-15,7.0,05-31-2007,Morgan Stanley
Q4-07,2006-10-06,7.0,05-31-2007,Morgan Stanley
Q4-07,2006-10-26,7.5,05-31-2007,Morgan Stanley
Q4-07,2006-11-02,7.5,05-31-2007,Morgan Stanley
Q4-07,2006-11-08,7.5,05-31-2007,Morgan Stanley
Q4-07,2006-11-09,7.5,05-31-2007,Morgan Stanley
Q4-07,2006-11-27,7.5,05-31-2007,Morgan Stanley
Q4-07,2007-01-03,7.7,05-31-2007,Morgan Stanley
Q4-07,2007-01-16,7.7,05-31-2007,Morgan Stanley
Q4-07,2007-02-09,7.25,05-31-2007,Morgan Stanley
Q4-07,2007-03-16,7.25,05-31-2007,Morgan Stanley
Q4-07,2007-04-05,7.25,05-31-2007,Morgan Stanley
Q4-07,2007-05-04,7.25,05-31-2007,Morgan Stanley
Q1-08,2007-03-16,7.1,05-31-2007,Morgan Stanley
Q1-08,2007-04-05,7.1,05-31-2007,Morgan Stanley
Q1-08,2007-05-04,7.1,05-31-2007,Morgan Stanley
2008,2006-03-09,6.67,05-31-2007,Morgan Stanley
2008,2006-03-23,6.67,05-31-2007,Morgan Stanley
2008,2006-04-24,6.67,05-31-2007,Morgan Stanley
2008,2006-05-25,6.67,05-31-2007,Morgan Stanley
2008,2006-06-01,6.67,05-31-2007,Morgan Stanley
2008,2006-06-07,6.67,05-31-2007,Morgan Stanley
2008,2006-07-14,6.67,05-31-2007,Morgan Stanley
2008,2006-07-19,6.67,05-31-2007,Morgan Stanley
2008,2006-09-01,6.67,05-31-2007,Morgan Stanley
2008,2006-09-07,6.67,05-31-2007,Morgan Stanley
2008,2006-09-15,6.67,05-31-2007,Morgan Stanley
2008,2006-11-08,7.14,05-31-2007,Morgan Stanley
2008,2006-11-27,7.14,05-31-2007,Morgan Stanley
2008,2007-01-03,7.4,05-31-2007,Morgan Stanley
2008,2007-01-16,7.4,05-31-2007,Morgan Stanley
2008,2007-02-09,7.25,05-31-2007,Morgan Stanley
2008,2007-03-16,7.25,05-31-2007,Morgan Stanley
2008,2007-04-05,7.25,05-31-2007,Morgan Stanley
2008,2007-05-04,7.25,05-31-2007,Morgan Stanley
2009,2006-03-09,6.35,05-31-2007,Morgan Stanley
2009,2006-03-23,6.35,05-31-2007,Morgan Stanley
2009,2006-04-24,6.35,05-31-2007,Morgan Stanley
2009,2006-05-25,6.35,05-31-2007,Morgan Stanley
2009,2006-06-01,6.35,05-31-2007,Morgan Stanley
2009,2006-06-07,6.35,05-31-2007,Morgan Stanley
2009,2006-07-14,6.35,05-31-2007,Morgan Stanley
2009,2006-07-19,6.35,05-31-2007,Morgan Stanley
2009,2006-09-01,6.35,05-31-2007,Morgan Stanley
2009,2006-09-07,6.35,05-31-2007,Morgan Stanley
2009,2006-09-15,6.35,05-31-2007,Morgan Stanley
2009,2006-11-08,6.8,05-31-2007,Morgan Stanley
