period,change_date,change,file,company
Q3-20,2019-09-25,7.2,08-31-2020,Mouvement Desjardins
Q3-20,2019-10-29,7.1,08-31-2020,Mouvement Desjardins
Q3-20,2019-11-27,7.1,08-31-2020,Mouvement Desjardins
Q3-20,2019-12-20,6.85,08-31-2020,Mouvement Desjardins
Q3-20,2020-01-21,6.8,08-31-2020,Mouvement Desjardins
Q3-20,2020-02-26,6.85,08-31-2020,Mouvement Desjardins
Q3-20,2020-03-30,6.95,08-31-2020,Mouvement Desjardins
Q3-20,2020-04-30,7.05,08-31-2020,Mouvement Desjardins
Q3-20,2020-06-08,7.15,08-31-2020,Mouvement Desjardins
Q3-20,2020-07-14,7.05,08-31-2020,Mouvement Desjardins
Q4-20,2018-12-21,6.85,08-31-2020,Mouvement Desjardins
Q4-20,2019-01-25,6.85,08-31-2020,Mouvement Desjardins
Q4-20,2019-02-20,6.75,08-31-2020,Mouvement Desjardins
Q4-20,2019-04-01,6.5,08-31-2020,Mouvement Desjardins
Q4-20,2019-04-26,6.55,08-31-2020,Mouvement Desjardins
Q4-20,2019-05-30,6.85,08-31-2020,Mouvement Desjardins
Q4-20,2019-06-28,6.85,08-31-2020,Mouvement Desjardins
Q4-20,2019-07-18,6.85,08-31-2020,Mouvement Desjardins
Q4-20,2019-08-22,6.85,08-31-2020,Mouvement Desjardins
Q4-20,2019-09-25,7.2,08-31-2020,Mouvement Desjardins
Q4-20,2019-10-29,7.2,08-31-2020,Mouvement Desjardins
Q4-20,2019-11-27,7.2,08-31-2020,Mouvement Desjardins
Q4-20,2019-12-20,6.9,08-31-2020,Mouvement Desjardins
Q4-20,2020-01-21,6.9,08-31-2020,Mouvement Desjardins
Q4-20,2020-02-26,6.9,08-31-2020,Mouvement Desjardins
Q4-20,2020-03-30,6.95,08-31-2020,Mouvement Desjardins
Q4-20,2020-04-30,7.0,08-31-2020,Mouvement Desjardins
Q4-20,2020-06-08,7.1,08-31-2020,Mouvement Desjardins
Q4-20,2020-07-14,7.1,08-31-2020,Mouvement Desjardins
Q1-21,2020-03-30,6.9,08-31-2020,Mouvement Desjardins
Q1-21,2020-04-30,6.95,08-31-2020,Mouvement Desjardins
Q1-21,2020-06-08,7.1,08-31-2020,Mouvement Desjardins
Q1-21,2020-07-14,7.1,08-31-2020,Mouvement Desjardins
Q2-21,2020-06-08,7.05,08-31-2020,Mouvement Desjardins
Q2-21,2020-07-14,7.05,08-31-2020,Mouvement Desjardins
2021,2019-12-20,7.0,08-31-2020,Mouvement Desjardins
2021,2020-01-21,6.95,08-31-2020,Mouvement Desjardins
2021,2020-02-26,6.85,08-31-2020,Mouvement Desjardins
2021,2020-03-30,6.8,08-31-2020,Mouvement Desjardins
2021,2020-04-30,6.9,08-31-2020,Mouvement Desjardins
2021,2020-06-08,7.0,08-31-2020,Mouvement Desjardins
2021,2020-07-14,7.0,08-31-2020,Mouvement Desjardins
Q4-16,2014-12-22,6.0,11-30-2016,Mouvement Desjardins
Q4-16,2015-01-16,6.1,11-30-2016,Mouvement Desjardins
Q4-16,2015-01-30,6.1,11-30-2016,Mouvement Desjardins
Q4-16,2015-02-25,6.1,11-30-2016,Mouvement Desjardins
Q4-16,2015-03-26,6.15,11-30-2016,Mouvement Desjardins
Q4-16,2015-04-24,6.15,11-30-2016,Mouvement Desjardins
Q4-16,2015-05-26,6.15,11-30-2016,Mouvement Desjardins
Q4-16,2015-06-26,6.13,11-30-2016,Mouvement Desjardins
Q4-16,2015-07-09,6.13,11-30-2016,Mouvement Desjardins
Q4-16,2015-08-13,6.2,11-30-2016,Mouvement Desjardins
Q4-16,2015-08-21,6.25,11-30-2016,Mouvement Desjardins
Q4-16,2015-09-21,6.4,11-30-2016,Mouvement Desjardins
Q4-16,2015-10-22,6.4,11-30-2016,Mouvement Desjardins
Q4-16,2015-11-24,6.4,11-30-2016,Mouvement Desjardins
Q4-16,2015-12-21,6.58,11-30-2016,Mouvement Desjardins
Q4-16,2016-01-15,6.7,11-30-2016,Mouvement Desjardins
Q4-16,2016-02-17,6.7,11-30-2016,Mouvement Desjardins
Q4-16,2016-03-22,6.7,11-30-2016,Mouvement Desjardins
