period,change_date,change,file,company
Q2-07,2006-07-06,7.65,05-31-2007,NAB/BNZ
Q2-07,2006-07-14,7.65,05-31-2007,NAB/BNZ
Q2-07,2006-07-17,7.65,05-31-2007,NAB/BNZ
Q2-07,2006-07-31,7.65,05-31-2007,NAB/BNZ
Q2-07,2006-08-11,7.65,05-31-2007,NAB/BNZ
Q2-07,2006-08-14,7.65,05-31-2007,NAB/BNZ
Q2-07,2006-08-18,7.65,05-31-2007,NAB/BNZ
Q2-07,2006-08-25,7.65,05-31-2007,NAB/BNZ
Q2-07,2006-08-28,7.65,05-31-2007,NAB/BNZ
Q2-07,2006-09-08,7.7,05-31-2007,NAB/BNZ
Q2-07,2006-09-11,7.65,05-31-2007,NAB/BNZ
Q2-07,2006-09-25,7.65,05-31-2007,NAB/BNZ
Q2-07,2006-10-23,7.66,05-31-2007,NAB/BNZ
Q2-07,2006-10-27,7.74,05-31-2007,NAB/BNZ
Q2-07,2006-11-06,7.66,05-31-2007,NAB/BNZ
Q2-07,2006-12-06,7.66,05-31-2007,NAB/BNZ
Q2-07,2006-12-15,7.66,05-31-2007,NAB/BNZ
Q2-07,2006-12-22,7.66,05-31-2007,NAB/BNZ
Q2-07,2007-01-12,7.66,05-31-2007,NAB/BNZ
Q2-07,2007-01-19,7.64,05-31-2007,NAB/BNZ
Q2-07,2007-02-05,7.64,05-31-2007,NAB/BNZ
Q2-07,2007-02-21,7.64,05-31-2007,NAB/BNZ
Q2-07,2007-03-05,7.6,05-31-2007,NAB/BNZ
Q2-07,2007-03-19,7.64,05-31-2007,NAB/BNZ
Q2-07,2007-04-02,7.64,05-31-2007,NAB/BNZ
Q2-07,2007-04-05,7.64,05-31-2007,NAB/BNZ
Q2-07,2007-04-16,7.64,05-31-2007,NAB/BNZ
Q2-07,2007-05-03,7.64,05-31-2007,NAB/BNZ
Q3-07,2006-09-08,7.65,05-31-2007,NAB/BNZ
Q3-07,2006-09-25,7.6,05-31-2007,NAB/BNZ
