period,change_date,change,file,company
Q3-20,2019-09-09,6.75,08-31-2020,National Bank Financial
Q3-20,2019-10-04,6.75,08-31-2020,National Bank Financial
Q3-20,2019-11-04,6.75,08-31-2020,National Bank Financial
Q3-20,2019-12-04,6.75,08-31-2020,National Bank Financial
Q3-20,2020-01-03,6.75,08-31-2020,National Bank Financial
Q3-20,2020-02-03,6.75,08-31-2020,National Bank Financial
Q3-20,2020-02-27,7.1,08-31-2020,National Bank Financial
Q3-20,2020-04-06,7.17,08-31-2020,National Bank Financial
Q3-20,2020-05-01,7.05,08-31-2020,National Bank Financial
Q3-20,2020-06-01,7.1,08-31-2020,National Bank Financial
Q4-20,2018-12-05,6.59,08-31-2020,National Bank Financial
Q4-20,2019-01-08,6.59,08-31-2020,National Bank Financial
Q4-20,2019-02-01,6.54,08-31-2020,National Bank Financial
Q4-20,2019-04-01,6.49,08-31-2020,National Bank Financial
Q4-20,2019-05-02,6.5,08-31-2020,National Bank Financial
Q4-20,2019-05-31,6.4,08-31-2020,National Bank Financial
Q4-20,2019-06-27,6.4,08-31-2020,National Bank Financial
Q4-20,2019-09-09,6.7,08-31-2020,National Bank Financial
Q4-20,2019-10-04,6.7,08-31-2020,National Bank Financial
Q4-20,2019-11-04,6.7,08-31-2020,National Bank Financial
Q4-20,2019-12-04,6.7,08-31-2020,National Bank Financial
Q4-20,2020-01-03,6.7,08-31-2020,National Bank Financial
Q4-20,2020-02-03,6.7,08-31-2020,National Bank Financial
Q4-20,2020-02-27,6.95,08-31-2020,National Bank Financial
Q4-20,2020-04-06,7.16,08-31-2020,National Bank Financial
Q4-20,2020-05-01,6.95,08-31-2020,National Bank Financial
Q4-20,2020-06-01,7.0,08-31-2020,National Bank Financial
Q1-21,2020-04-06,7.1,08-31-2020,National Bank Financial
Q1-21,2020-05-01,6.92,08-31-2020,National Bank Financial
Q1-21,2020-06-01,6.95,08-31-2020,National Bank Financial
2021,2019-11-04,6.58,08-31-2020,National Bank Financial
2021,2019-12-04,6.58,08-31-2020,National Bank Financial
2021,2020-01-03,6.58,08-31-2020,National Bank Financial
2021,2020-02-03,6.58,08-31-2020,National Bank Financial
2021,2020-02-27,6.83,08-31-2020,National Bank Financial
2021,2020-04-06,6.95,08-31-2020,National Bank Financial
2021,2020-05-01,6.84,08-31-2020,National Bank Financial
2021,2020-06-01,6.79,08-31-2020,National Bank Financial
Q4-16,2015-01-05,6.08,11-30-2016,National Bank Financial
Q4-16,2015-01-23,6.2,11-30-2016,National Bank Financial
Q4-16,2015-02-03,6.2,11-30-2016,National Bank Financial
Q4-16,2015-03-04,6.25,11-30-2016,National Bank Financial
Q4-16,2015-04-06,6.2,11-30-2016,National Bank Financial
