period,change_date,change,file,company
Q2-11,2010-01-07,6.62,05-31-2011,Natixis
Q2-11,2010-10-15,6.75,05-31-2011,Natixis
Q2-11,2010-11-10,6.5,05-31-2011,Natixis
Q2-11,2011-01-07,6.62,05-31-2011,Natixis
Q2-11,2011-02-11,6.46,05-31-2011,Natixis
Q2-11,2011-03-18,6.41,05-31-2011,Natixis
Q2-11,2011-05-05,6.45,05-31-2011,Natixis
Q3-11,2010-11-10,6.45,05-31-2011,Natixis
Q3-11,2011-05-05,6.41,05-31-2011,Natixis
Q4-11,2010-01-07,6.42,05-31-2011,Natixis
Q4-11,2010-10-15,6.64,05-31-2011,Natixis
Q4-11,2010-11-10,6.4,05-31-2011,Natixis
Q4-11,2011-01-07,6.42,05-31-2011,Natixis
Q4-11,2011-02-11,6.36,05-31-2011,Natixis
Q4-11,2011-03-18,6.32,05-31-2011,Natixis
Q1-12,2011-05-05,6.29,05-31-2011,Natixis
Q3-20,2019-09-04,7.45,08-31-2020,Natixis
Q4-20,2019-08-16,7.19,08-31-2020,Natixis
Q4-20,2019-09-04,7.45,08-31-2020,Natixis
Q4-16,2015-12-03,6.55,11-30-2016,Natixis
Q4-16,2016-01-06,6.95,11-30-2016,Natixis
Q4-16,2016-05-31,6.8,11-30-2016,Natixis
Q4-16,2016-07-04,6.8,11-30-2016,Natixis
Q1-17,2016-05-31,6.8,11-30-2016,Natixis
Q1-17,2016-07-04,6.8,11-30-2016,Natixis
Q2-17,2016-05-31,6.9,11-30-2016,Natixis
Q2-17,2016-07-04,6.9,11-30-2016,Natixis
2017,2015-12-03,6.6,11-30-2016,Natixis
2017,2016-01-06,7.05,11-30-2016,Natixis
2017,2016-05-31,7.0,11-30-2016,Natixis
2017,2016-07-04,7.1,11-30-2016,Natixis
Q1-11,2010-01-07,6.58,02-28-2011,Natixis
Q1-11,2010-03-01,6.82,02-28-2011,Natixis
Q1-11,2010-04-06,6.82,02-28-2011,Natixis
Q1-11,2010-05-13,6.69,02-28-2011,Natixis
Q1-11,2010-10-15,6.67,02-28-2011,Natixis
Q1-11,2010-11-10,6.57,02-28-2011,Natixis
Q1-11,2011-01-07,6.58,02-28-2011,Natixis
Q1-11,2011-02-11,6.54,02-28-2011,Natixis
Q2-11,2010-01-07,6.62,02-28-2011,Natixis
Q2-11,2010-10-15,6.75,02-28-2011,Natixis
Q2-11,2010-11-10,6.5,02-28-2011,Natixis
Q2-11,2011-01-07,6.62,02-28-2011,Natixis
Q2-11,2011-02-11,6.46,02-28-2011,Natixis
Q3-11,2010-11-10,6.45,02-28-2011,Natixis
Q4-11,2010-01-07,6.42,02-28-2011,Natixis
Q4-11,2010-10-15,6.64,02-28-2011,Natixis
Q4-11,2010-11-10,6.4,02-28-2011,Natixis
Q4-11,2011-01-07,6.42,02-28-2011,Natixis
Q4-11,2011-02-11,6.36,02-28-2011,Natixis
Q3-16,2015-12-03,6.55,08-31-2016,Natixis
Q3-16,2016-01-06,6.9,08-31-2016,Natixis
Q3-16,2016-05-31,6.7,08-31-2016,Natixis
Q3-16,2016-07-04,6.7,08-31-2016,Natixis
Q4-16,2015-12-03,6.55,08-31-2016,Natixis
Q4-16,2016-01-06,6.95,08-31-2016,Natixis
Q4-16,2016-05-31,6.8,08-31-2016,Natixis
Q4-16,2016-07-04,6.8,08-31-2016,Natixis
Q1-17,2016-05-31,6.8,08-31-2016,Natixis
Q1-17,2016-07-04,6.8,08-31-2016,Natixis
Q2-17,2016-05-31,6.9,08-31-2016,Natixis
Q2-17,2016-07-04,6.9,08-31-2016,Natixis
2017,2015-12-03,6.6,08-31-2016,Natixis
2017,2016-01-06,7.05,08-31-2016,Natixis
2017,2016-05-31,7.0,08-31-2016,Natixis
2017,2016-07-04,7.1,08-31-2016,Natixis
Q4-20,2019-08-16,7.19,11-30-2020,Natixis
Q4-20,2019-09-04,7.45,11-30-2020,Natixis
Q3-17,2017-01-25,7.2,08-31-2017,Natixis
Q3-17,2017-03-31,7.05,08-31-2017,Natixis
Q3-17,2017-06-06,6.85,08-31-2017,Natixis
Q3-17,2017-07-13,6.85,08-31-2017,Natixis
Q4-17,2015-12-03,6.6,08-31-2017,Natixis
Q4-17,2016-01-06,7.05,08-31-2017,Natixis
Q4-17,2016-05-31,7.0,08-31-2017,Natixis
Q4-17,2016-07-04,7.1,08-31-2017,Natixis
Q4-17,2017-01-25,7.25,08-31-2017,Natixis
Q4-17,2017-03-31,7.1,08-31-2017,Natixis
Q4-17,2017-06-06,6.95,08-31-2017,Natixis
Q4-17,2017-07-13,6.95,08-31-2017,Natixis
Q1-18,2017-03-31,7.1,08-31-2017,Natixis
Q1-18,2017-06-06,6.95,08-31-2017,Natixis
Q1-18,2017-07-13,6.95,08-31-2017,Natixis
Q2-18,2017-06-06,7.0,08-31-2017,Natixis
Q2-18,2017-07-13,7.0,08-31-2017,Natixis
2018,2017-01-25,7.35,08-31-2017,Natixis
2018,2017-03-31,7.1,08-31-2017,Natixis
2018,2017-06-06,7.05,08-31-2017,Natixis
2018,2017-07-13,7.05,08-31-2017,Natixis
2011,2010-01-07,6.42,02-28-2010,Natixis
Q4-17,2015-12-03,6.6,11-30-2017,Natixis
Q4-17,2016-01-06,7.05,11-30-2017,Natixis
Q4-17,2016-05-31,7.0,11-30-2017,Natixis
Q4-17,2016-07-04,7.1,11-30-2017,Natixis
Q4-17,2017-01-25,7.25,11-30-2017,Natixis
Q4-17,2017-03-31,7.1,11-30-2017,Natixis
Q4-17,2017-06-06,6.95,11-30-2017,Natixis
Q4-17,2017-07-13,6.95,11-30-2017,Natixis
Q4-17,2017-10-11,6.59,11-30-2017,Natixis
Q1-18,2017-03-31,7.1,11-30-2017,Natixis
Q1-18,2017-06-06,6.95,11-30-2017,Natixis
Q1-18,2017-07-13,6.95,11-30-2017,Natixis
Q1-18,2017-10-11,6.62,11-30-2017,Natixis
Q2-18,2017-06-06,7.0,11-30-2017,Natixis
Q2-18,2017-07-13,7.0,11-30-2017,Natixis
Q2-18,2017-10-11,6.65,11-30-2017,Natixis
Q3-18,2017-10-11,6.65,11-30-2017,Natixis
2018,2017-01-25,7.35,11-30-2017,Natixis
2018,2017-03-31,7.1,11-30-2017,Natixis
2018,2017-06-06,7.05,11-30-2017,Natixis
2018,2017-07-13,7.05,11-30-2017,Natixis
2018,2017-10-11,6.67,11-30-2017,Natixis
2019,2017-10-11,6.68,11-30-2017,Natixis
Q2-10,2010-03-01,6.83,05-31-2010,Natixis
Q2-10,2010-04-06,6.83,05-31-2010,Natixis
Q2-10,2010-05-13,6.83,05-31-2010,Natixis
Q3-10,2010-03-01,6.83,05-31-2010,Natixis
Q3-10,2010-04-06,6.83,05-31-2010,Natixis
Q3-10,2010-05-13,6.83,05-31-2010,Natixis
Q1-11,2010-01-07,6.58,05-31-2010,Natixis
Q1-11,2010-03-01,6.82,05-31-2010,Natixis
Q1-11,2010-04-06,6.82,05-31-2010,Natixis
Q1-11,2010-05-13,6.69,05-31-2010,Natixis
2011,2010-01-07,6.42,05-31-2010,Natixis
Q1-17,2016-05-31,6.8,02-28-2017,Natixis
Q1-17,2016-07-04,6.8,02-28-2017,Natixis
Q1-17,2017-01-25,7.05,02-28-2017,Natixis
Q2-17,2016-05-31,6.9,02-28-2017,Natixis
Q2-17,2016-07-04,6.9,02-28-2017,Natixis
Q2-17,2017-01-25,7.15,02-28-2017,Natixis
Q3-17,2017-01-25,7.2,02-28-2017,Natixis
Q4-17,2015-12-03,6.6,02-28-2017,Natixis
Q4-17,2016-01-06,7.05,02-28-2017,Natixis
Q4-17,2016-05-31,7.0,02-28-2017,Natixis
Q4-17,2016-07-04,7.1,02-28-2017,Natixis
Q4-17,2017-01-25,7.25,02-28-2017,Natixis
2018,2017-01-25,7.35,02-28-2017,Natixis
Q3-10,2010-03-01,6.83,08-31-2010,Natixis
Q3-10,2010-04-06,6.83,08-31-2010,Natixis
Q3-10,2010-05-13,6.83,08-31-2010,Natixis
Q1-11,2010-01-07,6.58,08-31-2010,Natixis
Q1-11,2010-03-01,6.82,08-31-2010,Natixis
Q1-11,2010-04-06,6.82,08-31-2010,Natixis
