period,change_date,change,file,company
Q2-07,2006-03-21,7.55,05-31-2007,Natwest Markets
Q2-07,2006-04-04,7.55,05-31-2007,Natwest Markets
Q2-07,2006-07-06,7.5,05-31-2007,Natwest Markets
Q2-07,2006-08-03,7.5,05-31-2007,Natwest Markets
Q2-07,2006-09-12,7.5,05-31-2007,Natwest Markets
Q2-07,2006-10-03,7.6,05-31-2007,Natwest Markets
Q2-07,2006-10-26,7.6,05-31-2007,Natwest Markets
Q2-07,2006-11-27,7.75,05-31-2007,Natwest Markets
Q2-07,2006-12-14,7.6,05-31-2007,Natwest Markets
Q2-07,2007-01-17,7.6,05-31-2007,Natwest Markets
Q2-07,2007-03-02,7.6,05-31-2007,Natwest Markets
Q2-07,2007-04-11,7.6,05-31-2007,Natwest Markets
Q2-07,2007-05-17,7.6,05-31-2007,Natwest Markets
Q3-07,2006-03-21,7.55,05-31-2007,Natwest Markets
Q3-07,2006-09-12,7.45,05-31-2007,Natwest Markets
Q3-07,2006-10-03,7.483,05-31-2007,Natwest Markets
Q3-07,2006-10-26,7.483,05-31-2007,Natwest Markets
Q3-07,2006-11-27,7.75,05-31-2007,Natwest Markets
Q3-07,2006-12-14,7.55,05-31-2007,Natwest Markets
Q3-07,2007-01-17,7.5,05-31-2007,Natwest Markets
Q3-07,2007-03-02,7.5,05-31-2007,Natwest Markets
Q3-07,2007-04-11,7.5,05-31-2007,Natwest Markets
Q3-07,2007-05-17,7.5,05-31-2007,Natwest Markets
Q4-07,2006-03-21,7.55,05-31-2007,Natwest Markets
Q4-07,2006-04-04,7.55,05-31-2007,Natwest Markets
Q4-07,2006-04-28,7.45,05-31-2007,Natwest Markets
Q4-07,2006-05-25,7.45,05-31-2007,Natwest Markets
Q4-07,2006-07-06,7.45,05-31-2007,Natwest Markets
Q4-07,2006-08-03,7.45,05-31-2007,Natwest Markets
Q4-07,2006-09-12,7.45,05-31-2007,Natwest Markets
Q4-07,2006-10-03,7.571,05-31-2007,Natwest Markets
Q4-07,2006-10-26,7.571,05-31-2007,Natwest Markets
Q4-07,2006-11-27,7.75,05-31-2007,Natwest Markets
Q4-07,2006-12-14,7.5,05-31-2007,Natwest Markets
