period,change_date,change,file,company
Q3-20,2020-01-08,7.0,08-31-2020,Norddeutsche Landesbank
Q4-20,2018-09-13,7.3,08-31-2020,Norddeutsche Landesbank
Q4-20,2018-10-30,7.3,08-31-2020,Norddeutsche Landesbank
Q4-20,2019-02-04,7.19,08-31-2020,Norddeutsche Landesbank
Q4-20,2019-03-06,7.0,08-31-2020,Norddeutsche Landesbank
Q4-20,2020-01-08,7.0,08-31-2020,Norddeutsche Landesbank
2021,2019-02-04,7.6,08-31-2020,Norddeutsche Landesbank
2021,2019-03-06,7.2,08-31-2020,Norddeutsche Landesbank
2022,2019-02-04,7.88,08-31-2020,Norddeutsche Landesbank
2022,2019-03-06,7.4,08-31-2020,Norddeutsche Landesbank
2023,2019-02-04,7.96,08-31-2020,Norddeutsche Landesbank
2023,2019-03-06,7.6,08-31-2020,Norddeutsche Landesbank
Q4-16,2014-12-15,5.97,11-30-2016,Norddeutsche Landesbank
Q4-16,2015-01-23,6.03,11-30-2016,Norddeutsche Landesbank
Q4-16,2015-02-23,6.13,11-30-2016,Norddeutsche Landesbank
Q4-16,2015-03-23,6.26,11-30-2016,Norddeutsche Landesbank
Q4-16,2015-04-27,6.16,11-30-2016,Norddeutsche Landesbank
Q4-16,2015-05-22,6.15,11-30-2016,Norddeutsche Landesbank
Q4-16,2015-06-30,6.17,11-30-2016,Norddeutsche Landesbank
Q4-16,2015-07-30,6.17,11-30-2016,Norddeutsche Landesbank
Q4-16,2015-08-24,6.35,11-30-2016,Norddeutsche Landesbank
Q4-16,2015-09-21,6.45,11-30-2016,Norddeutsche Landesbank
Q4-16,2015-10-26,6.45,11-30-2016,Norddeutsche Landesbank
Q4-16,2015-11-23,6.38,11-30-2016,Norddeutsche Landesbank
Q4-16,2015-12-15,6.5,11-30-2016,Norddeutsche Landesbank
Q4-16,2016-01-04,6.5,11-30-2016,Norddeutsche Landesbank
Q4-16,2016-01-08,6.75,11-30-2016,Norddeutsche Landesbank
Q4-16,2016-01-25,6.75,11-30-2016,Norddeutsche Landesbank
Q4-16,2016-03-02,6.68,11-30-2016,Norddeutsche Landesbank
Q4-16,2016-04-05,6.65,11-30-2016,Norddeutsche Landesbank
Q4-16,2016-05-06,6.55,11-30-2016,Norddeutsche Landesbank
Q4-16,2016-05-30,6.6,11-30-2016,Norddeutsche Landesbank
Q4-16,2016-06-27,6.6,11-30-2016,Norddeutsche Landesbank
Q4-16,2016-07-28,6.7,11-30-2016,Norddeutsche Landesbank
Q4-16,2016-08-31,6.7,11-30-2016,Norddeutsche Landesbank
Q4-16,2016-09-22,6.7,11-30-2016,Norddeutsche Landesbank
Q4-16,2016-10-26,6.8,11-30-2016,Norddeutsche Landesbank
Q4-16,2016-11-15,7.0,11-30-2016,Norddeutsche Landesbank
Q4-16,2016-11-30,7.0,11-30-2016,Norddeutsche Landesbank
Q1-17,2016-04-05,6.68,11-30-2016,Norddeutsche Landesbank
Q1-17,2016-05-06,6.55,11-30-2016,Norddeutsche Landesbank
Q1-17,2016-05-30,6.65,11-30-2016,Norddeutsche Landesbank
Q1-17,2016-06-27,6.65,11-30-2016,Norddeutsche Landesbank
Q1-17,2016-07-28,6.6,11-30-2016,Norddeutsche Landesbank
Q1-17,2016-08-31,6.7,11-30-2016,Norddeutsche Landesbank
Q1-17,2016-09-22,6.75,11-30-2016,Norddeutsche Landesbank
Q1-17,2016-10-26,6.8,11-30-2016,Norddeutsche Landesbank
Q1-17,2016-11-15,7.07,11-30-2016,Norddeutsche Landesbank
Q1-17,2016-11-30,7.05,11-30-2016,Norddeutsche Landesbank
Q2-17,2016-07-28,6.65,11-30-2016,Norddeutsche Landesbank
