period,change_date,change,file,company
Q2-11,2011-02-07,6.41,05-31-2011,Nordea Bank
Q2-11,2011-02-10,6.5,05-31-2011,Nordea Bank
Q2-11,2011-04-01,6.58,05-31-2011,Nordea Bank
Q2-11,2011-05-02,6.44,05-31-2011,Nordea Bank
Q3-11,2010-11-09,6.36,05-31-2011,Nordea Bank
Q3-11,2011-02-10,6.41,05-31-2011,Nordea Bank
Q3-11,2011-04-01,6.48,05-31-2011,Nordea Bank
Q3-11,2011-05-02,6.35,05-31-2011,Nordea Bank
Q3-11,2011-05-27,6.43,05-31-2011,Nordea Bank
Q4-11,2009-07-24,6.45,05-31-2011,Nordea Bank
Q4-11,2009-08-31,6.1,05-31-2011,Nordea Bank
Q4-11,2009-09-11,6.1,05-31-2011,Nordea Bank
Q4-11,2009-09-25,6.1,05-31-2011,Nordea Bank
Q4-11,2009-11-02,6.1,05-31-2011,Nordea Bank
Q4-11,2009-11-20,6.1,05-31-2011,Nordea Bank
Q4-11,2009-12-29,6.6,05-31-2011,Nordea Bank
Q4-11,2010-01-11,6.1,05-31-2011,Nordea Bank
Q4-11,2010-02-26,6.1,05-31-2011,Nordea Bank
Q4-11,2010-04-07,6.1,05-31-2011,Nordea Bank
Q4-11,2010-11-09,5.94,05-31-2011,Nordea Bank
Q4-11,2011-02-07,6.21,05-31-2011,Nordea Bank
Q4-11,2011-02-10,6.21,05-31-2011,Nordea Bank
Q4-11,2011-04-01,6.3,05-31-2011,Nordea Bank
Q4-11,2011-05-02,6.17,05-31-2011,Nordea Bank
Q4-11,2011-05-27,6.15,05-31-2011,Nordea Bank
2012,2009-12-29,6.1,05-31-2011,Nordea Bank
2012,2011-02-07,5.78,05-31-2011,Nordea Bank
2012,2011-02-10,5.78,05-31-2011,Nordea Bank
2012,2011-04-01,5.86,05-31-2011,Nordea Bank
2012,2011-05-02,5.81,05-31-2011,Nordea Bank
2012,2011-05-27,5.79,05-31-2011,Nordea Bank
Q4-20,2018-09-24,6.4,08-31-2020,Nordea Bank
Q4-16,2014-12-05,5.9,11-30-2016,Nordea Bank
Q4-16,2015-01-21,5.9,11-30-2016,Nordea Bank
Q4-16,2015-01-28,5.95,11-30-2016,Nordea Bank
Q4-16,2015-02-25,5.95,11-30-2016,Nordea Bank
Q4-16,2015-03-12,6.1,11-30-2016,Nordea Bank
Q4-16,2015-05-05,6.1,11-30-2016,Nordea Bank
Q4-16,2015-06-04,6.1,11-30-2016,Nordea Bank
Q4-16,2015-06-30,6.1,11-30-2016,Nordea Bank
Q4-16,2015-08-12,6.4,11-30-2016,Nordea Bank
Q4-16,2015-09-03,6.6,11-30-2016,Nordea Bank
Q4-16,2015-10-14,6.6,11-30-2016,Nordea Bank
Q4-16,2015-11-18,6.6,11-30-2016,Nordea Bank
Q4-16,2015-12-21,6.6,11-30-2016,Nordea Bank
Q4-16,2016-02-02,6.7,11-30-2016,Nordea Bank
Q4-16,2016-03-22,6.7,11-30-2016,Nordea Bank
Q4-16,2016-04-29,6.7,11-30-2016,Nordea Bank
Q4-16,2016-08-01,6.73,11-30-2016,Nordea Bank
Q4-16,2016-09-06,6.73,11-30-2016,Nordea Bank
Q4-16,2016-10-07,6.79,11-30-2016,Nordea Bank
Q4-16,2016-11-09,6.76,11-30-2016,Nordea Bank
Q1-17,2016-03-22,6.69,11-30-2016,Nordea Bank
Q1-17,2016-04-29,6.69,11-30-2016,Nordea Bank
Q1-17,2016-08-01,6.72,11-30-2016,Nordea Bank
Q1-17,2016-10-07,6.9,11-30-2016,Nordea Bank
Q1-17,2016-11-09,6.9,11-30-2016,Nordea Bank
Q2-17,2016-09-06,6.7,11-30-2016,Nordea Bank
Q2-17,2016-10-07,6.9,11-30-2016,Nordea Bank
Q2-17,2016-11-09,6.9,11-30-2016,Nordea Bank
Q3-17,2016-10-07,6.9,11-30-2016,Nordea Bank
Q3-17,2016-11-09,6.9,11-30-2016,Nordea Bank
2017,2015-09-03,6.4,11-30-2016,Nordea Bank
2017,2015-10-14,6.4,11-30-2016,Nordea Bank
2017,2015-11-18,6.4,11-30-2016,Nordea Bank
2017,2015-12-21,6.4,11-30-2016,Nordea Bank
2017,2016-02-02,6.6,11-30-2016,Nordea Bank
2017,2016-03-22,6.6,11-30-2016,Nordea Bank
2017,2016-04-29,6.6,11-30-2016,Nordea Bank
2017,2016-08-01,6.65,11-30-2016,Nordea Bank
2017,2016-09-06,6.65,11-30-2016,Nordea Bank
2017,2016-10-07,6.9,11-30-2016,Nordea Bank
2017,2016-11-09,6.9,11-30-2016,Nordea Bank
2018,2016-10-07,6.85,11-30-2016,Nordea Bank
2018,2016-11-09,6.85,11-30-2016,Nordea Bank
Q1-11,2010-04-07,6.6,02-28-2011,Nordea Bank
Q1-11,2010-11-09,6.55,02-28-2011,Nordea Bank
Q1-11,2011-02-07,6.5,02-28-2011,Nordea Bank
Q2-11,2011-02-07,6.41,02-28-2011,Nordea Bank
Q2-11,2011-02-10,6.5,02-28-2011,Nordea Bank
Q3-11,2010-11-09,6.36,02-28-2011,Nordea Bank
Q3-11,2011-02-10,6.41,02-28-2011,Nordea Bank
Q4-11,2009-07-24,6.45,02-28-2011,Nordea Bank
Q4-11,2009-08-31,6.1,02-28-2011,Nordea Bank
Q4-11,2009-09-11,6.1,02-28-2011,Nordea Bank
Q4-11,2009-09-25,6.1,02-28-2011,Nordea Bank
Q4-11,2009-11-02,6.1,02-28-2011,Nordea Bank
Q4-11,2009-11-20,6.1,02-28-2011,Nordea Bank
Q4-11,2009-12-29,6.6,02-28-2011,Nordea Bank
Q4-11,2010-01-11,6.1,02-28-2011,Nordea Bank
Q4-11,2010-02-26,6.1,02-28-2011,Nordea Bank
Q4-11,2010-04-07,6.1,02-28-2011,Nordea Bank
Q4-11,2010-11-09,5.94,02-28-2011,Nordea Bank
Q4-11,2011-02-07,6.21,02-28-2011,Nordea Bank
Q4-11,2011-02-10,6.21,02-28-2011,Nordea Bank
2012,2009-12-29,6.1,02-28-2011,Nordea Bank
2012,2011-02-07,5.78,02-28-2011,Nordea Bank
2012,2011-02-10,5.78,02-28-2011,Nordea Bank
Q3-16,2015-09-03,6.55,08-31-2016,Nordea Bank
Q3-16,2015-10-14,6.55,08-31-2016,Nordea Bank
Q3-16,2015-11-18,6.55,08-31-2016,Nordea Bank
Q3-16,2015-12-21,6.55,08-31-2016,Nordea Bank
Q3-16,2016-02-02,6.67,08-31-2016,Nordea Bank
Q3-16,2016-03-22,6.65,08-31-2016,Nordea Bank
Q3-16,2016-04-29,6.62,08-31-2016,Nordea Bank
Q3-16,2016-08-01,6.67,08-31-2016,Nordea Bank
Q4-16,2014-09-04,5.9,08-31-2016,Nordea Bank
