period,change_date,change,file,company
Q2-11,2010-07-14,6.56,05-31-2011,Oversea-Chinese Banking Corp
Q2-11,2010-08-10,6.6,05-31-2011,Oversea-Chinese Banking Corp
Q2-11,2010-09-24,6.58,05-31-2011,Oversea-Chinese Banking Corp
Q2-11,2010-11-25,6.5,05-31-2011,Oversea-Chinese Banking Corp
Q2-11,2011-01-11,6.48,05-31-2011,Oversea-Chinese Banking Corp
Q2-11,2011-03-08,6.48,05-31-2011,Oversea-Chinese Banking Corp
Q2-11,2011-04-25,6.48,05-31-2011,Oversea-Chinese Banking Corp
Q3-11,2010-09-24,6.53,05-31-2011,Oversea-Chinese Banking Corp
Q3-11,2010-11-25,6.43,05-31-2011,Oversea-Chinese Banking Corp
Q3-11,2011-01-11,6.41,05-31-2011,Oversea-Chinese Banking Corp
Q3-11,2011-03-08,6.42,05-31-2011,Oversea-Chinese Banking Corp
Q3-11,2011-04-25,6.41,05-31-2011,Oversea-Chinese Banking Corp
Q4-11,2010-09-24,6.48,05-31-2011,Oversea-Chinese Banking Corp
Q4-11,2010-11-25,6.37,05-31-2011,Oversea-Chinese Banking Corp
Q4-11,2011-01-11,6.35,05-31-2011,Oversea-Chinese Banking Corp
Q4-11,2011-03-08,6.35,05-31-2011,Oversea-Chinese Banking Corp
Q4-11,2011-04-25,6.35,05-31-2011,Oversea-Chinese Banking Corp
Q1-12,2011-04-25,6.29,05-31-2011,Oversea-Chinese Banking Corp
Q3-20,2019-10-01,7.06,08-31-2020,Oversea-Chinese Banking Corp
Q3-20,2019-11-07,6.89,08-31-2020,Oversea-Chinese Banking Corp
Q3-20,2019-12-04,6.94,08-31-2020,Oversea-Chinese Banking Corp
Q3-20,2020-03-02,6.9,08-31-2020,Oversea-Chinese Banking Corp
Q3-20,2020-04-08,7.06,08-31-2020,Oversea-Chinese Banking Corp
Q3-20,2020-05-05,7.05,08-31-2020,Oversea-Chinese Banking Corp
Q3-20,2020-06-01,7.15,08-31-2020,Oversea-Chinese Banking Corp
Q3-20,2020-08-04,6.95,08-31-2020,Oversea-Chinese Banking Corp
Q4-20,2020-03-02,6.85,08-31-2020,Oversea-Chinese Banking Corp
Q4-20,2020-04-08,6.98,08-31-2020,Oversea-Chinese Banking Corp
Q4-20,2020-05-05,6.99,08-31-2020,Oversea-Chinese Banking Corp
Q4-20,2020-06-01,7.05,08-31-2020,Oversea-Chinese Banking Corp
Q4-20,2020-08-04,7.0,08-31-2020,Oversea-Chinese Banking Corp
Q1-21,2020-01-06,6.36,08-31-2020,Oversea-Chinese Banking Corp
Q1-21,2020-04-08,6.91,08-31-2020,Oversea-Chinese Banking Corp
Q1-21,2020-05-05,6.95,08-31-2020,Oversea-Chinese Banking Corp
Q1-21,2020-06-01,6.99,08-31-2020,Oversea-Chinese Banking Corp
Q1-21,2020-08-04,6.95,08-31-2020,Oversea-Chinese Banking Corp
Q2-21,2020-01-06,6.36,08-31-2020,Oversea-Chinese Banking Corp
