period,change_date,change,file,company
Q3-20,2019-09-04,7.1,08-31-2020,PKO Bank Polski
Q3-20,2019-10-03,7.1,08-31-2020,PKO Bank Polski
Q3-20,2019-10-31,7.1,08-31-2020,PKO Bank Polski
Q3-20,2019-12-10,7.1,08-31-2020,PKO Bank Polski
Q3-20,2019-12-16,7.08,08-31-2020,PKO Bank Polski
Q3-20,2019-12-19,7.08,08-31-2020,PKO Bank Polski
Q3-20,2020-01-09,7.08,08-31-2020,PKO Bank Polski
Q3-20,2020-02-06,7.08,08-31-2020,PKO Bank Polski
Q3-20,2020-03-03,7.08,08-31-2020,PKO Bank Polski
Q3-20,2020-03-04,7.08,08-31-2020,PKO Bank Polski
Q3-20,2020-05-14,7.05,08-31-2020,PKO Bank Polski
Q3-20,2020-06-01,7.05,08-31-2020,PKO Bank Polski
Q3-20,2020-06-09,7.05,08-31-2020,PKO Bank Polski
Q3-20,2020-07-03,7.05,08-31-2020,PKO Bank Polski
Q3-20,2020-08-10,7.0,08-31-2020,PKO Bank Polski
Q4-20,2019-12-16,7.13,08-31-2020,PKO Bank Polski
Q4-20,2019-12-19,7.13,08-31-2020,PKO Bank Polski
Q4-20,2020-01-09,7.13,08-31-2020,PKO Bank Polski
Q4-20,2020-02-06,7.13,08-31-2020,PKO Bank Polski
Q4-20,2020-03-03,7.13,08-31-2020,PKO Bank Polski
Q4-20,2020-03-04,7.13,08-31-2020,PKO Bank Polski
Q4-20,2020-05-14,7.08,08-31-2020,PKO Bank Polski
Q4-20,2020-06-01,7.08,08-31-2020,PKO Bank Polski
Q4-20,2020-06-09,7.08,08-31-2020,PKO Bank Polski
Q4-20,2020-07-03,7.08,08-31-2020,PKO Bank Polski
Q4-20,2020-08-10,7.02,08-31-2020,PKO Bank Polski
Q1-21,2020-03-04,7.15,08-31-2020,PKO Bank Polski
Q1-21,2020-05-14,7.04,08-31-2020,PKO Bank Polski
Q1-21,2020-06-01,7.04,08-31-2020,PKO Bank Polski
Q1-21,2020-06-09,7.04,08-31-2020,PKO Bank Polski
Q1-21,2020-07-03,7.06,08-31-2020,PKO Bank Polski
Q1-21,2020-08-10,7.04,08-31-2020,PKO Bank Polski
Q2-21,2020-06-09,7.04,08-31-2020,PKO Bank Polski
Q2-21,2020-07-03,7.04,08-31-2020,PKO Bank Polski
Q2-21,2020-08-10,7.04,08-31-2020,PKO Bank Polski
Q4-16,2016-04-07,6.58,11-30-2016,PKO Bank Polski
Q4-16,2016-05-18,6.62,11-30-2016,PKO Bank Polski
Q4-16,2016-06-29,6.74,11-30-2016,PKO Bank Polski
Q4-16,2016-08-10,6.68,11-30-2016,PKO Bank Polski
Q4-16,2016-09-05,6.68,11-30-2016,PKO Bank Polski
Q4-16,2016-10-11,6.73,11-30-2016,PKO Bank Polski
Q1-17,2016-05-18,6.59,11-30-2016,PKO Bank Polski
Q1-17,2016-06-29,6.81,11-30-2016,PKO Bank Polski
Q1-17,2016-08-10,6.73,11-30-2016,PKO Bank Polski
Q1-17,2016-09-05,6.73,11-30-2016,PKO Bank Polski
Q1-17,2016-10-11,6.75,11-30-2016,PKO Bank Polski
Q2-17,2016-06-29,6.77,11-30-2016,PKO Bank Polski
Q2-17,2016-08-10,6.69,11-30-2016,PKO Bank Polski
Q2-17,2016-09-05,6.69,11-30-2016,PKO Bank Polski
Q2-17,2016-10-11,6.7,11-30-2016,PKO Bank Polski
Q3-17,2016-09-05,6.65,11-30-2016,PKO Bank Polski
Q3-17,2016-10-11,6.65,11-30-2016,PKO Bank Polski
2017,2016-09-05,6.71,11-30-2016,PKO Bank Polski
2017,2016-10-11,6.71,11-30-2016,PKO Bank Polski
Q3-16,2016-04-07,6.62,08-31-2016,PKO Bank Polski
Q3-16,2016-05-18,6.63,08-31-2016,PKO Bank Polski
Q3-16,2016-06-29,6.77,08-31-2016,PKO Bank Polski
Q3-16,2016-08-10,6.72,08-31-2016,PKO Bank Polski
Q4-16,2016-04-07,6.58,08-31-2016,PKO Bank Polski
Q4-16,2016-05-18,6.62,08-31-2016,PKO Bank Polski
Q4-16,2016-06-29,6.74,08-31-2016,PKO Bank Polski
Q4-16,2016-08-10,6.68,08-31-2016,PKO Bank Polski
Q1-17,2016-05-18,6.59,08-31-2016,PKO Bank Polski
Q1-17,2016-06-29,6.81,08-31-2016,PKO Bank Polski
Q1-17,2016-08-10,6.73,08-31-2016,PKO Bank Polski
Q2-17,2016-06-29,6.77,08-31-2016,PKO Bank Polski
Q2-17,2016-08-10,6.69,08-31-2016,PKO Bank Polski
Q4-20,2019-12-16,7.13,11-30-2020,PKO Bank Polski
Q4-20,2019-12-19,7.13,11-30-2020,PKO Bank Polski
Q4-20,2020-01-09,7.13,11-30-2020,PKO Bank Polski
Q4-20,2020-02-06,7.13,11-30-2020,PKO Bank Polski
Q4-20,2020-03-03,7.13,11-30-2020,PKO Bank Polski
Q4-20,2020-03-04,7.13,11-30-2020,PKO Bank Polski
Q4-20,2020-05-14,7.08,11-30-2020,PKO Bank Polski
Q4-20,2020-06-01,7.08,11-30-2020,PKO Bank Polski
Q4-20,2020-06-09,7.08,11-30-2020,PKO Bank Polski
Q4-20,2020-07-03,7.08,11-30-2020,PKO Bank Polski
Q4-20,2020-08-10,7.02,11-30-2020,PKO Bank Polski
Q4-20,2020-09-09,6.98,11-30-2020,PKO Bank Polski
Q1-21,2020-03-04,7.15,11-30-2020,PKO Bank Polski
Q1-21,2020-05-14,7.04,11-30-2020,PKO Bank Polski
Q1-21,2020-06-01,7.04,11-30-2020,PKO Bank Polski
Q1-21,2020-06-09,7.04,11-30-2020,PKO Bank Polski
Q1-21,2020-07-03,7.06,11-30-2020,PKO Bank Polski
Q1-21,2020-08-10,7.04,11-30-2020,PKO Bank Polski
Q1-21,2020-09-09,6.95,11-30-2020,PKO Bank Polski
Q2-21,2020-06-09,7.04,11-30-2020,PKO Bank Polski
Q2-21,2020-07-03,7.04,11-30-2020,PKO Bank Polski
Q2-21,2020-08-10,7.04,11-30-2020,PKO Bank Polski
Q2-21,2020-09-09,6.92,11-30-2020,PKO Bank Polski
Q3-21,2020-09-09,6.85,11-30-2020,PKO Bank Polski
Q3-17,2016-09-05,6.65,08-31-2017,PKO Bank Polski
Q3-17,2016-10-11,6.65,08-31-2017,PKO Bank Polski
Q3-17,2016-12-07,6.78,08-31-2017,PKO Bank Polski
Q3-17,2017-01-26,6.92,08-31-2017,PKO Bank Polski
Q3-17,2017-03-02,6.92,08-31-2017,PKO Bank Polski
Q3-17,2017-04-13,6.93,08-31-2017,PKO Bank Polski
Q3-17,2017-05-25,6.91,08-31-2017,PKO Bank Polski
Q3-17,2017-06-01,6.85,08-31-2017,PKO Bank Polski
Q3-17,2017-07-06,6.85,08-31-2017,PKO Bank Polski
Q3-17,2017-08-10,6.65,08-31-2017,PKO Bank Polski
Q4-17,2016-09-05,6.71,08-31-2017,PKO Bank Polski
Q4-17,2016-10-11,6.71,08-31-2017,PKO Bank Polski
