period,change_date,change,file,company
Q2-11,2010-07-26,5.7,05-31-2011,Paradigm Wealth Management
Q2-11,2010-09-03,5.5,05-31-2011,Paradigm Wealth Management
Q2-11,2010-10-06,5.5,05-31-2011,Paradigm Wealth Management
Q2-11,2010-12-10,5.7,05-31-2011,Paradigm Wealth Management
Q3-11,2010-10-06,5.3,05-31-2011,Paradigm Wealth Management
Q3-11,2010-12-10,5.5,05-31-2011,Paradigm Wealth Management
Q4-11,2010-06-11,5.25,05-31-2011,Paradigm Wealth Management
Q4-11,2010-06-21,5.5,05-31-2011,Paradigm Wealth Management
Q1-11,2010-06-11,5.9,02-28-2011,Paradigm Wealth Management
Q1-11,2010-06-21,5.92,02-28-2011,Paradigm Wealth Management
Q1-11,2010-07-26,6.1,02-28-2011,Paradigm Wealth Management
Q1-11,2010-09-03,5.92,02-28-2011,Paradigm Wealth Management
Q1-11,2010-10-06,5.92,02-28-2011,Paradigm Wealth Management
Q1-11,2010-12-10,6.2,02-28-2011,Paradigm Wealth Management
Q2-11,2010-07-26,5.7,02-28-2011,Paradigm Wealth Management
Q2-11,2010-09-03,5.5,02-28-2011,Paradigm Wealth Management
Q2-11,2010-10-06,5.5,02-28-2011,Paradigm Wealth Management
Q2-11,2010-12-10,5.7,02-28-2011,Paradigm Wealth Management
Q3-11,2010-10-06,5.3,02-28-2011,Paradigm Wealth Management
Q3-11,2010-12-10,5.5,02-28-2011,Paradigm Wealth Management
Q4-11,2010-06-11,5.25,02-28-2011,Paradigm Wealth Management
Q4-11,2010-06-21,5.5,02-28-2011,Paradigm Wealth Management
Q1-10,2010-01-05,6.6,02-28-2010,Paradigm Wealth Management
Q2-10,2010-01-05,6.5,02-28-2010,Paradigm Wealth Management
Q3-10,2010-01-05,6.0,02-28-2010,Paradigm Wealth Management
Q4-10,2010-01-05,5.9,02-28-2010,Paradigm Wealth Management
Q2-10,2010-01-05,6.5,05-31-2010,Paradigm Wealth Management
Q3-10,2010-01-05,6.0,05-31-2010,Paradigm Wealth Management
Q4-10,2010-01-05,5.9,05-31-2010,Paradigm Wealth Management
Q3-10,2010-01-05,6.0,08-31-2010,Paradigm Wealth Management
Q3-10,2010-06-11,6.5,08-31-2010,Paradigm Wealth Management
Q3-10,2010-06-21,6.5,08-31-2010,Paradigm Wealth Management
Q3-10,2010-07-26,6.5,08-31-2010,Paradigm Wealth Management
Q4-10,2010-01-05,5.9,08-31-2010,Paradigm Wealth Management
Q4-10,2010-06-11,6.4,08-31-2010,Paradigm Wealth Management
Q4-10,2010-06-21,6.4,08-31-2010,Paradigm Wealth Management
Q4-10,2010-07-26,6.4,08-31-2010,Paradigm Wealth Management
Q1-11,2010-06-11,5.9,08-31-2010,Paradigm Wealth Management
Q1-11,2010-06-21,5.92,08-31-2010,Paradigm Wealth Management
Q1-11,2010-07-26,6.1,08-31-2010,Paradigm Wealth Management
Q2-11,2010-07-26,5.7,08-31-2010,Paradigm Wealth Management
2011,2010-06-11,5.25,08-31-2010,Paradigm Wealth Management
2011,2010-06-21,5.5,08-31-2010,Paradigm Wealth Management
Q4-10,2010-01-05,5.9,11-30-2010,Paradigm Wealth Management
Q4-10,2010-06-11,6.4,11-30-2010,Paradigm Wealth Management
Q4-10,2010-06-21,6.4,11-30-2010,Paradigm Wealth Management
Q4-10,2010-07-26,6.4,11-30-2010,Paradigm Wealth Management
Q4-10,2010-09-03,6.4,11-30-2010,Paradigm Wealth Management
Q4-10,2010-10-06,6.4,11-30-2010,Paradigm Wealth Management
Q1-11,2010-06-11,5.9,11-30-2010,Paradigm Wealth Management
Q1-11,2010-06-21,5.92,11-30-2010,Paradigm Wealth Management
Q1-11,2010-07-26,6.1,11-30-2010,Paradigm Wealth Management
Q1-11,2010-09-03,5.92,11-30-2010,Paradigm Wealth Management
Q1-11,2010-10-06,5.92,11-30-2010,Paradigm Wealth Management
Q2-11,2010-07-26,5.7,11-30-2010,Paradigm Wealth Management
Q2-11,2010-09-03,5.5,11-30-2010,Paradigm Wealth Management
Q2-11,2010-10-06,5.5,11-30-2010,Paradigm Wealth Management
Q3-11,2010-10-06,5.3,11-30-2010,Paradigm Wealth Management
2011,2010-06-11,5.25,11-30-2010,Paradigm Wealth Management
2011,2010-06-21,5.5,11-30-2010,Paradigm Wealth Management
Q4-11,2010-06-11,5.25,11-30-2011,Paradigm Wealth Management
Q4-11,2010-06-21,5.5,11-30-2011,Paradigm Wealth Management
Q3-11,2010-10-06,5.3,08-31-2011,Paradigm Wealth Management
Q3-11,2010-12-10,5.5,08-31-2011,Paradigm Wealth Management
Q4-11,2010-06-11,5.25,08-31-2011,Paradigm Wealth Management
Q4-11,2010-06-21,5.5,08-31-2011,Paradigm Wealth Management
