period,change_date,change,file,company
Q3-20,2019-12-25,6.94,08-31-2020,Prestige Economics LLC
Q3-20,2020-01-31,6.92,08-31-2020,Prestige Economics LLC
Q3-20,2020-03-02,6.92,08-31-2020,Prestige Economics LLC
Q3-20,2020-03-31,7.02,08-31-2020,Prestige Economics LLC
Q3-20,2020-04-30,7.02,08-31-2020,Prestige Economics LLC
Q3-20,2020-06-01,7.02,08-31-2020,Prestige Economics LLC
Q3-20,2020-06-29,7.02,08-31-2020,Prestige Economics LLC
Q3-20,2020-07-31,6.94,08-31-2020,Prestige Economics LLC
Q3-20,2020-08-31,6.82,08-31-2020,Prestige Economics LLC
Q4-20,2019-12-25,6.9,08-31-2020,Prestige Economics LLC
Q4-20,2020-01-31,6.9,08-31-2020,Prestige Economics LLC
Q4-20,2020-03-02,6.9,08-31-2020,Prestige Economics LLC
Q4-20,2020-03-31,7.0,08-31-2020,Prestige Economics LLC
Q4-20,2020-04-30,7.0,08-31-2020,Prestige Economics LLC
Q4-20,2020-06-01,7.0,08-31-2020,Prestige Economics LLC
Q4-20,2020-06-29,7.0,08-31-2020,Prestige Economics LLC
Q4-20,2020-07-31,6.98,08-31-2020,Prestige Economics LLC
Q4-20,2020-08-31,6.9,08-31-2020,Prestige Economics LLC
Q1-21,2020-03-31,6.98,08-31-2020,Prestige Economics LLC
Q1-21,2020-04-30,6.98,08-31-2020,Prestige Economics LLC
Q1-21,2020-06-01,6.98,08-31-2020,Prestige Economics LLC
Q1-21,2020-06-29,6.98,08-31-2020,Prestige Economics LLC
Q1-21,2020-07-31,6.96,08-31-2020,Prestige Economics LLC
Q1-21,2020-08-31,6.85,08-31-2020,Prestige Economics LLC
Q2-21,2020-06-29,6.96,08-31-2020,Prestige Economics LLC
Q2-21,2020-07-31,6.95,08-31-2020,Prestige Economics LLC
Q2-21,2020-08-31,6.82,08-31-2020,Prestige Economics LLC
Q4-16,2014-12-31,5.95,11-30-2016,Prestige Economics LLC
Q4-16,2015-01-15,5.95,11-30-2016,Prestige Economics LLC
