period,change_date,change,file,company
Q2-07,2006-06-19,7.5,05-31-2007,RBC Capital Markets
Q2-07,2006-08-03,7.5,05-31-2007,RBC Capital Markets
Q2-07,2006-09-12,7.5,05-31-2007,RBC Capital Markets
Q2-07,2006-11-20,7.7,05-31-2007,RBC Capital Markets
Q2-07,2006-12-14,7.7,05-31-2007,RBC Capital Markets
Q2-07,2007-01-26,7.7,05-31-2007,RBC Capital Markets
Q2-07,2007-02-02,7.7,05-31-2007,RBC Capital Markets
Q2-07,2007-03-08,7.7,05-31-2007,RBC Capital Markets
Q2-07,2007-04-11,7.7,05-31-2007,RBC Capital Markets
Q2-07,2007-05-04,7.55,05-31-2007,RBC Capital Markets
Q3-07,2006-09-12,7.3,05-31-2007,RBC Capital Markets
Q3-07,2006-11-20,7.65,05-31-2007,RBC Capital Markets
Q3-07,2006-12-14,7.65,05-31-2007,RBC Capital Markets
Q3-07,2007-01-26,7.65,05-31-2007,RBC Capital Markets
Q3-07,2007-02-02,7.65,05-31-2007,RBC Capital Markets
Q3-07,2007-03-08,7.65,05-31-2007,RBC Capital Markets
Q3-07,2007-04-11,7.65,05-31-2007,RBC Capital Markets
Q3-07,2007-05-04,7.45,05-31-2007,RBC Capital Markets
Q4-07,2006-05-11,7.3,05-31-2007,RBC Capital Markets
Q4-07,2006-06-19,7.3,05-31-2007,RBC Capital Markets
Q4-07,2006-08-03,7.3,05-31-2007,RBC Capital Markets
Q4-07,2006-09-12,7.3,05-31-2007,RBC Capital Markets
Q4-07,2006-11-20,7.5,05-31-2007,RBC Capital Markets
Q4-07,2006-12-14,7.5,05-31-2007,RBC Capital Markets
Q4-07,2007-01-26,7.5,05-31-2007,RBC Capital Markets
Q4-07,2007-02-02,7.5,05-31-2007,RBC Capital Markets
Q4-07,2007-03-08,7.5,05-31-2007,RBC Capital Markets
Q4-07,2007-04-11,7.5,05-31-2007,RBC Capital Markets
Q4-07,2007-05-04,7.35,05-31-2007,RBC Capital Markets
Q1-08,2007-03-08,7.5,05-31-2007,RBC Capital Markets
Q1-08,2007-04-11,7.5,05-31-2007,RBC Capital Markets
Q1-08,2007-05-04,7.3,05-31-2007,RBC Capital Markets
2008,2006-12-14,7.3,05-31-2007,RBC Capital Markets
2008,2007-01-26,7.3,05-31-2007,RBC Capital Markets
2008,2007-02-02,7.3,05-31-2007,RBC Capital Markets
2008,2007-03-08,7.3,05-31-2007,RBC Capital Markets
