period,change_date,change,file,company
Q3-20,2019-07-04,6.62,08-31-2020,RHB Bank
Q3-20,2019-08-01,6.8,08-31-2020,RHB Bank
Q3-20,2019-08-29,6.8,08-31-2020,RHB Bank
Q3-20,2019-10-17,7.08,08-31-2020,RHB Bank
Q4-20,2019-06-20,6.68,08-31-2020,RHB Bank
Q4-20,2019-10-17,7.07,08-31-2020,RHB Bank
Q4-20,2019-06-20,6.68,11-30-2020,RHB Bank
Q4-20,2019-10-17,7.07,11-30-2020,RHB Bank
Q1-20,2019-06-20,6.66,02-28-2020,RHB Bank
Q1-20,2019-07-04,6.66,02-28-2020,RHB Bank
Q1-20,2019-08-01,6.9,02-28-2020,RHB Bank
Q1-20,2019-08-29,6.9,02-28-2020,RHB Bank
Q1-20,2019-10-17,7.1,02-28-2020,RHB Bank
Q2-20,2019-06-20,6.64,02-28-2020,RHB Bank
Q2-20,2019-07-04,6.64,02-28-2020,RHB Bank
Q2-20,2019-08-01,6.85,02-28-2020,RHB Bank
Q2-20,2019-08-29,6.85,02-28-2020,RHB Bank
Q2-20,2019-10-17,7.09,02-28-2020,RHB Bank
Q3-20,2019-07-04,6.62,02-28-2020,RHB Bank
Q3-20,2019-08-01,6.8,02-28-2020,RHB Bank
Q3-20,2019-08-29,6.8,02-28-2020,RHB Bank
Q3-20,2019-10-17,7.08,02-28-2020,RHB Bank
Q4-20,2019-06-20,6.68,02-28-2020,RHB Bank
Q4-20,2019-10-17,7.07,02-28-2020,RHB Bank
Q2-20,2019-06-20,6.64,05-31-2020,RHB Bank
Q2-20,2019-07-04,6.64,05-31-2020,RHB Bank
Q2-20,2019-08-01,6.85,05-31-2020,RHB Bank
Q2-20,2019-08-29,6.85,05-31-2020,RHB Bank
Q2-20,2019-10-17,7.09,05-31-2020,RHB Bank
Q3-20,2019-07-04,6.62,05-31-2020,RHB Bank
Q3-20,2019-08-01,6.8,05-31-2020,RHB Bank
Q3-20,2019-08-29,6.8,05-31-2020,RHB Bank
Q3-20,2019-10-17,7.08,05-31-2020,RHB Bank
Q4-20,2019-06-20,6.68,05-31-2020,RHB Bank
Q4-20,2019-10-17,7.07,05-31-2020,RHB Bank
2020,2019-06-20,6.68,11-30-2019,RHB Bank
2020,2019-10-17,7.07,11-30-2019,RHB Bank
Q4-19,2019-06-20,6.68,11-30-2019,RHB Bank
Q4-19,2019-07-04,6.68,11-30-2019,RHB Bank
Q4-19,2019-08-01,6.85,11-30-2019,RHB Bank
Q4-19,2019-08-29,6.85,11-30-2019,RHB Bank
Q4-19,2019-10-17,7.11,11-30-2019,RHB Bank
Q3-20,2019-07-04,6.62,11-30-2019,RHB Bank
Q3-20,2019-08-01,6.8,11-30-2019,RHB Bank
Q3-20,2019-08-29,6.8,11-30-2019,RHB Bank
Q3-20,2019-10-17,7.08,11-30-2019,RHB Bank
Q2-20,2019-06-20,6.64,11-30-2019,RHB Bank
Q2-20,2019-07-04,6.64,11-30-2019,RHB Bank
Q2-20,2019-08-01,6.85,11-30-2019,RHB Bank
Q2-20,2019-08-29,6.85,11-30-2019,RHB Bank
Q2-20,2019-10-17,7.09,11-30-2019,RHB Bank
Q1-20,2019-06-20,6.66,11-30-2019,RHB Bank
Q1-20,2019-07-04,6.66,11-30-2019,RHB Bank
Q1-20,2019-08-01,6.9,11-30-2019,RHB Bank
Q1-20,2019-08-29,6.9,11-30-2019,RHB Bank
Q1-20,2019-10-17,7.1,11-30-2019,RHB Bank
Q3-19,2019-06-20,6.7,08-31-2019,RHB Bank
Q3-19,2019-07-04,6.7,08-31-2019,RHB Bank
Q3-19,2019-08-01,6.8,08-31-2019,RHB Bank
Q4-19,2019-06-20,6.68,08-31-2019,RHB Bank
Q4-19,2019-07-04,6.68,08-31-2019,RHB Bank
Q4-19,2019-08-01,6.85,08-31-2019,RHB Bank
Q4-19,2019-08-29,6.85,08-31-2019,RHB Bank
Q1-20,2019-06-20,6.66,08-31-2019,RHB Bank
Q1-20,2019-07-04,6.66,08-31-2019,RHB Bank
Q1-20,2019-08-01,6.9,08-31-2019,RHB Bank
Q1-20,2019-08-29,6.9,08-31-2019,RHB Bank
Q2-20,2019-06-20,6.64,08-31-2019,RHB Bank
Q2-20,2019-07-04,6.64,08-31-2019,RHB Bank
Q2-20,2019-08-01,6.85,08-31-2019,RHB Bank
Q2-20,2019-08-29,6.85,08-31-2019,RHB Bank
2020,2019-06-20,6.68,08-31-2019,RHB Bank
