period,change_date,change,file,company
Q4-16,2015-12-02,6.7,11-30-2016,RHB OSK Securities
Q4-16,2016-03-10,6.8,11-30-2016,RHB OSK Securities
Q4-16,2016-04-11,6.65,11-30-2016,RHB OSK Securities
Q4-16,2016-05-18,6.65,11-30-2016,RHB OSK Securities
Q4-16,2016-06-22,6.7,11-30-2016,RHB OSK Securities
Q4-16,2016-07-01,6.7,11-30-2016,RHB OSK Securities
Q4-16,2016-08-09,6.7,11-30-2016,RHB OSK Securities
Q4-16,2016-10-12,6.72,11-30-2016,RHB OSK Securities
Q1-17,2016-03-10,6.85,11-30-2016,RHB OSK Securities
Q1-17,2016-04-11,6.6,11-30-2016,RHB OSK Securities
Q1-17,2016-05-18,6.6,11-30-2016,RHB OSK Securities
Q1-17,2016-06-22,6.8,11-30-2016,RHB OSK Securities
Q1-17,2016-07-01,6.8,11-30-2016,RHB OSK Securities
Q1-17,2016-08-09,6.8,11-30-2016,RHB OSK Securities
Q1-17,2016-10-12,6.77,11-30-2016,RHB OSK Securities
Q2-17,2016-06-22,6.8,11-30-2016,RHB OSK Securities
Q2-17,2016-07-01,6.85,11-30-2016,RHB OSK Securities
Q2-17,2016-08-09,6.85,11-30-2016,RHB OSK Securities
Q2-17,2016-10-12,6.82,11-30-2016,RHB OSK Securities
Q3-17,2016-10-12,6.87,11-30-2016,RHB OSK Securities
Q3-16,2015-09-22,6.7,08-31-2016,RHB OSK Securities
Q3-16,2015-12-02,6.6,08-31-2016,RHB OSK Securities
Q3-16,2016-03-10,6.7,08-31-2016,RHB OSK Securities
Q3-16,2016-04-11,6.55,08-31-2016,RHB OSK Securities
Q3-16,2016-05-18,6.55,08-31-2016,RHB OSK Securities
Q3-16,2016-06-22,6.6,08-31-2016,RHB OSK Securities
Q3-16,2016-07-01,6.65,08-31-2016,RHB OSK Securities
Q3-16,2016-08-09,6.65,08-31-2016,RHB OSK Securities
Q4-16,2015-12-02,6.7,08-31-2016,RHB OSK Securities
Q4-16,2016-03-10,6.8,08-31-2016,RHB OSK Securities
Q4-16,2016-04-11,6.65,08-31-2016,RHB OSK Securities
Q4-16,2016-05-18,6.65,08-31-2016,RHB OSK Securities
Q4-16,2016-06-22,6.7,08-31-2016,RHB OSK Securities
Q4-16,2016-07-01,6.7,08-31-2016,RHB OSK Securities
Q4-16,2016-08-09,6.7,08-31-2016,RHB OSK Securities
Q1-17,2016-03-10,6.85,08-31-2016,RHB OSK Securities
Q1-17,2016-04-11,6.6,08-31-2016,RHB OSK Securities
Q1-17,2016-05-18,6.6,08-31-2016,RHB OSK Securities
Q1-17,2016-06-22,6.8,08-31-2016,RHB OSK Securities
Q1-17,2016-07-01,6.8,08-31-2016,RHB OSK Securities
Q1-17,2016-08-09,6.8,08-31-2016,RHB OSK Securities
Q2-17,2016-06-22,6.8,08-31-2016,RHB OSK Securities
Q2-17,2016-07-01,6.85,08-31-2016,RHB OSK Securities
Q2-17,2016-08-09,6.85,08-31-2016,RHB OSK Securities
Q3-17,2016-10-12,6.87,08-31-2017,RHB OSK Securities
Q3-17,2017-01-18,7.15,08-31-2017,RHB OSK Securities
Q3-17,2017-04-03,7.05,08-31-2017,RHB OSK Securities
Q3-17,2017-06-29,6.83,08-31-2017,RHB OSK Securities
Q4-17,2017-01-18,7.2,08-31-2017,RHB OSK Securities
Q4-17,2017-04-03,7.1,08-31-2017,RHB OSK Securities
Q4-17,2017-06-29,6.85,08-31-2017,RHB OSK Securities
Q1-18,2017-04-03,7.15,08-31-2017,RHB OSK Securities
Q1-18,2017-06-29,6.9,08-31-2017,RHB OSK Securities
Q2-18,2017-06-29,6.95,08-31-2017,RHB OSK Securities
Q4-17,2017-01-18,7.2,11-30-2017,RHB OSK Securities
Q4-17,2017-04-03,7.1,11-30-2017,RHB OSK Securities
Q4-17,2017-06-29,6.85,11-30-2017,RHB OSK Securities
Q1-18,2017-04-03,7.15,11-30-2017,RHB OSK Securities
Q1-18,2017-06-29,6.9,11-30-2017,RHB OSK Securities
Q2-18,2017-06-29,6.95,11-30-2017,RHB OSK Securities
Q1-17,2016-03-10,6.85,02-28-2017,RHB OSK Securities
Q1-17,2016-04-11,6.6,02-28-2017,RHB OSK Securities
Q1-17,2016-05-18,6.6,02-28-2017,RHB OSK Securities
Q1-17,2016-06-22,6.8,02-28-2017,RHB OSK Securities
Q1-17,2016-07-01,6.8,02-28-2017,RHB OSK Securities
Q1-17,2016-08-09,6.8,02-28-2017,RHB OSK Securities
Q1-17,2016-10-12,6.77,02-28-2017,RHB OSK Securities
Q1-17,2017-01-18,7.03,02-28-2017,RHB OSK Securities
Q2-17,2016-06-22,6.8,02-28-2017,RHB OSK Securities
Q2-17,2016-07-01,6.85,02-28-2017,RHB OSK Securities
Q2-17,2016-08-09,6.85,02-28-2017,RHB OSK Securities
Q2-17,2016-10-12,6.82,02-28-2017,RHB OSK Securities
Q2-17,2017-01-18,7.1,02-28-2017,RHB OSK Securities
Q3-17,2016-10-12,6.87,02-28-2017,RHB OSK Securities
Q3-17,2017-01-18,7.15,02-28-2017,RHB OSK Securities
Q4-17,2017-01-18,7.2,02-28-2017,RHB OSK Securities
Q2-17,2016-06-22,6.8,05-31-2017,RHB OSK Securities
Q2-17,2016-07-01,6.85,05-31-2017,RHB OSK Securities
Q2-17,2016-08-09,6.85,05-31-2017,RHB OSK Securities
Q2-17,2016-10-12,6.82,05-31-2017,RHB OSK Securities
Q2-17,2017-01-18,7.1,05-31-2017,RHB OSK Securities
Q2-17,2017-04-03,7.0,05-31-2017,RHB OSK Securities
Q3-17,2016-10-12,6.87,05-31-2017,RHB OSK Securities
Q3-17,2017-01-18,7.15,05-31-2017,RHB OSK Securities
Q3-17,2017-04-03,7.05,05-31-2017,RHB OSK Securities
Q4-17,2017-01-18,7.2,05-31-2017,RHB OSK Securities
Q4-17,2017-04-03,7.1,05-31-2017,RHB OSK Securities
Q1-18,2017-04-03,7.15,05-31-2017,RHB OSK Securities
Q2-16,2015-06-30,6.21,05-31-2016,RHB OSK Securities
Q2-16,2015-09-22,6.65,05-31-2016,RHB OSK Securities
Q2-16,2015-12-02,6.55,05-31-2016,RHB OSK Securities
Q2-16,2016-03-10,6.65,05-31-2016,RHB OSK Securities
Q2-16,2016-04-11,6.5,05-31-2016,RHB OSK Securities
Q2-16,2016-05-18,6.5,05-31-2016,RHB OSK Securities
Q3-16,2015-09-22,6.7,05-31-2016,RHB OSK Securities
Q3-16,2015-12-02,6.6,05-31-2016,RHB OSK Securities
Q3-16,2016-03-10,6.7,05-31-2016,RHB OSK Securities
Q3-16,2016-04-11,6.55,05-31-2016,RHB OSK Securities
Q3-16,2016-05-18,6.55,05-31-2016,RHB OSK Securities
Q4-16,2015-12-02,6.7,05-31-2016,RHB OSK Securities
Q4-16,2016-03-10,6.8,05-31-2016,RHB OSK Securities
Q4-16,2016-04-11,6.65,05-31-2016,RHB OSK Securities
Q4-16,2016-05-18,6.65,05-31-2016,RHB OSK Securities
Q1-17,2016-03-10,6.85,05-31-2016,RHB OSK Securities
Q1-17,2016-04-11,6.6,05-31-2016,RHB OSK Securities
Q1-17,2016-05-18,6.6,05-31-2016,RHB OSK Securities
Q1-16,2015-03-13,6.19,02-28-2016,RHB OSK Securities
Q1-16,2015-06-30,6.25,02-28-2016,RHB OSK Securities
Q1-16,2015-09-22,6.65,02-28-2016,RHB OSK Securities
Q1-16,2015-12-02,6.45,02-28-2016,RHB OSK Securities
Q2-16,2015-06-30,6.21,02-28-2016,RHB OSK Securities
Q2-16,2015-09-22,6.65,02-28-2016,RHB OSK Securities
Q2-16,2015-12-02,6.55,02-28-2016,RHB OSK Securities
Q3-16,2015-09-22,6.7,02-28-2016,RHB OSK Securities
