period,change_date,change,file,company
Q2-07,2006-06-01,7.7,05-31-2007,Rabobank
Q2-07,2006-07-26,7.7,05-31-2007,Rabobank
Q2-07,2006-08-11,7.7,05-31-2007,Rabobank
Q2-07,2006-09-18,7.7,05-31-2007,Rabobank
Q2-07,2006-10-27,7.7,05-31-2007,Rabobank
Q2-07,2006-12-06,7.7,05-31-2007,Rabobank
Q2-07,2007-01-08,7.7,05-31-2007,Rabobank
Q2-07,2007-02-08,7.61,05-31-2007,Rabobank
Q3-07,2006-09-18,7.55,05-31-2007,Rabobank
Q3-07,2006-10-27,7.55,05-31-2007,Rabobank
Q3-07,2006-12-06,7.55,05-31-2007,Rabobank
Q3-07,2007-01-08,7.6,05-31-2007,Rabobank
Q3-07,2007-02-08,7.53,05-31-2007,Rabobank
Q4-07,2006-04-26,7.49,05-31-2007,Rabobank
Q4-07,2006-05-03,7.49,05-31-2007,Rabobank
Q4-07,2006-06-01,7.5,05-31-2007,Rabobank
Q4-07,2006-07-26,7.5,05-31-2007,Rabobank
Q4-07,2006-08-11,7.5,05-31-2007,Rabobank
Q4-07,2006-09-18,7.5,05-31-2007,Rabobank
Q4-07,2006-10-27,7.5,05-31-2007,Rabobank
Q4-07,2006-12-06,7.49,05-31-2007,Rabobank
Q4-07,2007-01-08,7.49,05-31-2007,Rabobank
Q4-07,2007-02-08,7.45,05-31-2007,Rabobank
2008,2006-07-26,7.5,05-31-2007,Rabobank
2008,2006-08-11,7.5,05-31-2007,Rabobank
2008,2006-09-18,7.5,05-31-2007,Rabobank
2008,2006-10-27,7.5,05-31-2007,Rabobank
Q2-11,2010-07-01,6.56,05-31-2011,Rabobank
Q2-11,2010-08-05,6.62,05-31-2011,Rabobank
Q2-11,2011-01-21,6.47,05-31-2011,Rabobank
Q3-11,2011-01-21,6.37,05-31-2011,Rabobank
Q4-11,2010-08-05,6.74,05-31-2011,Rabobank
Q4-11,2011-01-21,6.32,05-31-2011,Rabobank
2012,2010-08-05,6.55,05-31-2011,Rabobank
Q3-20,2019-10-01,7.75,08-31-2020,Rabobank
Q3-20,2019-10-22,7.7,08-31-2020,Rabobank
Q3-20,2019-11-06,7.7,08-31-2020,Rabobank
Q3-20,2019-11-21,7.65,08-31-2020,Rabobank
Q3-20,2019-11-22,7.65,08-31-2020,Rabobank
Q3-20,2019-11-29,7.65,08-31-2020,Rabobank
Q3-20,2019-12-03,7.65,08-31-2020,Rabobank
Q3-20,2019-12-06,7.65,08-31-2020,Rabobank
Q3-20,2019-12-16,7.6,08-31-2020,Rabobank
Q3-20,2019-12-24,7.45,08-31-2020,Rabobank
Q3-20,2020-01-17,7.4,08-31-2020,Rabobank
Q3-20,2020-02-13,7.4,08-31-2020,Rabobank
Q3-20,2020-02-19,7.35,08-31-2020,Rabobank
Q3-20,2020-02-28,7.35,08-31-2020,Rabobank
Q3-20,2020-03-17,7.3,08-31-2020,Rabobank
Q3-20,2020-03-24,7.3,08-31-2020,Rabobank
Q3-20,2020-03-26,7.3,08-31-2020,Rabobank
Q3-20,2020-04-03,7.3,08-31-2020,Rabobank
Q3-20,2020-04-17,7.22,08-31-2020,Rabobank
Q3-20,2020-05-06,7.22,08-31-2020,Rabobank
Q3-20,2020-05-15,7.22,08-31-2020,Rabobank
Q3-20,2020-05-22,7.15,08-31-2020,Rabobank
Q3-20,2020-05-26,7.15,08-31-2020,Rabobank
Q3-20,2020-05-29,7.15,08-31-2020,Rabobank
Q3-20,2020-06-02,7.15,08-31-2020,Rabobank
Q3-20,2020-06-08,7.15,08-31-2020,Rabobank
Q3-20,2020-06-09,7.15,08-31-2020,Rabobank
Q3-20,2020-06-10,7.15,08-31-2020,Rabobank
Q3-20,2020-06-26,7.07,08-31-2020,Rabobank
Q3-20,2020-07-17,7.05,08-31-2020,Rabobank
Q3-20,2020-07-24,7.05,08-31-2020,Rabobank
Q3-20,2020-07-31,7.05,08-31-2020,Rabobank
Q3-20,2020-08-20,7.02,08-31-2020,Rabobank
Q4-20,2019-01-09,8.5,08-31-2020,Rabobank
Q4-20,2019-11-21,7.8,08-31-2020,Rabobank
Q4-20,2019-11-22,7.8,08-31-2020,Rabobank
Q4-20,2019-12-03,7.8,08-31-2020,Rabobank
Q4-20,2019-12-06,7.8,08-31-2020,Rabobank
Q4-20,2019-12-16,7.75,08-31-2020,Rabobank
Q4-20,2019-12-24,7.6,08-31-2020,Rabobank
Q4-20,2020-01-17,7.55,08-31-2020,Rabobank
Q4-20,2020-02-13,7.55,08-31-2020,Rabobank
Q4-20,2020-02-19,7.5,08-31-2020,Rabobank
Q4-20,2020-02-28,7.5,08-31-2020,Rabobank
Q4-20,2020-03-17,7.45,08-31-2020,Rabobank
Q4-20,2020-03-24,7.45,08-31-2020,Rabobank
Q4-20,2020-03-26,7.45,08-31-2020,Rabobank
Q4-20,2020-04-03,7.45,08-31-2020,Rabobank
Q4-20,2020-04-17,7.4,08-31-2020,Rabobank
Q4-20,2020-05-06,7.4,08-31-2020,Rabobank
Q4-20,2020-05-15,7.4,08-31-2020,Rabobank
Q4-20,2020-05-22,7.35,08-31-2020,Rabobank
Q4-20,2020-05-26,7.35,08-31-2020,Rabobank
Q4-20,2020-05-29,7.35,08-31-2020,Rabobank
Q4-20,2020-06-02,7.35,08-31-2020,Rabobank
Q4-20,2020-06-08,7.35,08-31-2020,Rabobank
Q4-20,2020-06-09,7.35,08-31-2020,Rabobank
