period,change_date,change,file,company
Q3-20,2020-03-05,6.75,08-31-2020,Raiffeisen
Q4-20,2020-03-05,6.7,08-31-2020,Raiffeisen
Q1-21,2020-03-05,6.65,08-31-2020,Raiffeisen
2021,2020-03-05,6.5,08-31-2020,Raiffeisen
2022,2020-03-05,6.5,08-31-2020,Raiffeisen
2023,2020-03-05,6.5,08-31-2020,Raiffeisen
Q4-20,2020-03-05,6.7,11-30-2020,Raiffeisen
Q1-21,2020-03-05,6.65,11-30-2020,Raiffeisen
2021,2020-03-05,6.5,11-30-2020,Raiffeisen
2022,2020-03-05,6.5,11-30-2020,Raiffeisen
2023,2020-03-05,6.5,11-30-2020,Raiffeisen
Q4-21,2020-03-05,6.5,11-30-2021,Raiffeisen
Q4-21,2021-07-01,6.5,11-30-2021,Raiffeisen
2022,2020-03-05,6.5,11-30-2021,Raiffeisen
2022,2021-07-01,6.5,11-30-2021,Raiffeisen
2023,2020-03-05,6.5,11-30-2021,Raiffeisen
2023,2021-07-01,6.5,11-30-2021,Raiffeisen
Q3-17,2017-04-03,7.05,08-31-2017,Raiffeisen
Q3-17,2017-06-13,6.87,08-31-2017,Raiffeisen
Q3-17,2017-08-10,6.87,08-31-2017,Raiffeisen
Q4-17,2017-04-03,7.1,08-31-2017,Raiffeisen
Q4-17,2017-06-13,6.9,08-31-2017,Raiffeisen
Q4-17,2017-08-10,6.9,08-31-2017,Raiffeisen
Q1-18,2017-04-03,7.1,08-31-2017,Raiffeisen
Q1-18,2017-06-13,6.95,08-31-2017,Raiffeisen
Q1-18,2017-08-10,6.95,08-31-2017,Raiffeisen
Q2-18,2017-06-13,6.95,08-31-2017,Raiffeisen
Q2-18,2017-08-10,6.95,08-31-2017,Raiffeisen
2018,2017-04-03,7.1,08-31-2017,Raiffeisen
2018,2017-06-13,7.0,08-31-2017,Raiffeisen
2018,2017-08-10,7.0,08-31-2017,Raiffeisen
2019,2017-08-10,6.8,08-31-2017,Raiffeisen
2020,2017-08-10,6.5,08-31-2017,Raiffeisen
2021,2017-08-10,6.5,08-31-2017,Raiffeisen
Q4-17,2017-04-03,7.1,11-30-2017,Raiffeisen
Q4-17,2017-06-13,6.9,11-30-2017,Raiffeisen
Q4-17,2017-08-10,6.9,11-30-2017,Raiffeisen
Q4-17,2017-10-04,6.6,11-30-2017,Raiffeisen
Q1-18,2017-04-03,7.1,11-30-2017,Raiffeisen
Q1-18,2017-06-13,6.95,11-30-2017,Raiffeisen
Q1-18,2017-08-10,6.95,11-30-2017,Raiffeisen
Q1-18,2017-10-04,6.6,11-30-2017,Raiffeisen
Q2-18,2017-06-13,6.95,11-30-2017,Raiffeisen
Q2-18,2017-08-10,6.95,11-30-2017,Raiffeisen
Q2-18,2017-10-04,6.58,11-30-2017,Raiffeisen
Q3-18,2017-10-04,6.65,11-30-2017,Raiffeisen
2018,2017-04-03,7.1,11-30-2017,Raiffeisen
2018,2017-06-13,7.0,11-30-2017,Raiffeisen
2018,2017-08-10,7.0,11-30-2017,Raiffeisen
2018,2017-10-04,6.8,11-30-2017,Raiffeisen
2019,2017-08-10,6.8,11-30-2017,Raiffeisen
2019,2017-10-04,6.75,11-30-2017,Raiffeisen
2020,2017-08-10,6.5,11-30-2017,Raiffeisen
2021,2017-08-10,6.5,11-30-2017,Raiffeisen
Q4-21,2020-03-05,6.5,08-31-2021,Raiffeisen
Q4-21,2021-07-01,6.5,08-31-2021,Raiffeisen
2022,2020-03-05,6.5,08-31-2021,Raiffeisen
2022,2021-07-01,6.5,08-31-2021,Raiffeisen
2023,2020-03-05,6.5,08-31-2021,Raiffeisen
2023,2021-07-01,6.5,08-31-2021,Raiffeisen
Q4-21,2020-03-05,6.5,05-31-2021,Raiffeisen
2022,2020-03-05,6.5,05-31-2021,Raiffeisen
2023,2020-03-05,6.5,05-31-2021,Raiffeisen
Q2-17,2017-04-03,7.0,05-31-2017,Raiffeisen
Q3-17,2017-04-03,7.05,05-31-2017,Raiffeisen
Q4-17,2017-04-03,7.1,05-31-2017,Raiffeisen
Q1-18,2017-04-03,7.1,05-31-2017,Raiffeisen
2018,2017-04-03,7.1,05-31-2017,Raiffeisen
Q1-21,2020-03-05,6.65,02-28-2021,Raiffeisen
Q4-21,2020-03-05,6.5,02-28-2021,Raiffeisen
2022,2020-03-05,6.5,02-28-2021,Raiffeisen
2023,2020-03-05,6.5,02-28-2021,Raiffeisen
Q2-20,2020-03-05,6.8,05-31-2020,Raiffeisen
Q3-20,2020-03-05,6.75,05-31-2020,Raiffeisen
Q4-20,2020-03-05,6.7,05-31-2020,Raiffeisen
Q1-21,2020-03-05,6.65,05-31-2020,Raiffeisen
2021,2020-03-05,6.5,05-31-2020,Raiffeisen
2022,2020-03-05,6.5,05-31-2020,Raiffeisen
2023,2020-03-05,6.5,05-31-2020,Raiffeisen
Q4-19,2017-08-10,6.8,05-31-2019,Raiffeisen
