period,change_date,change,file,company
Q4-16,2014-12-11,6.1,11-30-2016,Rand Merchant Bank
Q4-16,2015-01-21,6.1,11-30-2016,Rand Merchant Bank
Q4-16,2015-02-05,6.1,11-30-2016,Rand Merchant Bank
Q4-16,2015-03-10,6.1,11-30-2016,Rand Merchant Bank
Q4-16,2015-04-09,6.1,11-30-2016,Rand Merchant Bank
Q4-16,2015-05-12,6.1,11-30-2016,Rand Merchant Bank
Q4-16,2015-06-02,6.1,11-30-2016,Rand Merchant Bank
Q4-16,2015-07-06,6.1,11-30-2016,Rand Merchant Bank
Q4-16,2015-10-09,6.43,11-30-2016,Rand Merchant Bank
Q4-16,2015-11-30,6.43,11-30-2016,Rand Merchant Bank
Q4-16,2015-12-14,6.55,11-30-2016,Rand Merchant Bank
Q4-16,2016-01-28,6.7,11-30-2016,Rand Merchant Bank
Q4-16,2016-03-11,6.7,11-30-2016,Rand Merchant Bank
Q4-16,2016-06-07,6.7,11-30-2016,Rand Merchant Bank
Q4-16,2016-07-07,6.7,11-30-2016,Rand Merchant Bank
Q4-16,2016-08-05,6.7,11-30-2016,Rand Merchant Bank
Q4-16,2016-09-06,6.7,11-30-2016,Rand Merchant Bank
Q4-16,2016-10-07,6.8,11-30-2016,Rand Merchant Bank
Q4-16,2016-11-09,6.8,11-30-2016,Rand Merchant Bank
Q1-17,2016-06-07,6.68,11-30-2016,Rand Merchant Bank
Q1-17,2016-07-07,6.68,11-30-2016,Rand Merchant Bank
Q1-17,2016-08-05,6.7,11-30-2016,Rand Merchant Bank
Q1-17,2016-09-06,6.7,11-30-2016,Rand Merchant Bank
Q1-17,2016-10-07,6.85,11-30-2016,Rand Merchant Bank
Q1-17,2016-11-09,6.85,11-30-2016,Rand Merchant Bank
Q2-17,2016-06-07,6.65,11-30-2016,Rand Merchant Bank
Q2-17,2016-07-07,6.65,11-30-2016,Rand Merchant Bank
Q2-17,2016-08-05,6.7,11-30-2016,Rand Merchant Bank
Q2-17,2016-09-06,6.7,11-30-2016,Rand Merchant Bank
Q2-17,2016-10-07,6.9,11-30-2016,Rand Merchant Bank
Q2-17,2016-11-09,6.9,11-30-2016,Rand Merchant Bank
Q3-17,2016-09-06,6.7,11-30-2016,Rand Merchant Bank
Q3-17,2016-10-07,6.95,11-30-2016,Rand Merchant Bank
Q3-17,2016-11-09,6.95,11-30-2016,Rand Merchant Bank
2017,2014-12-11,6.0,11-30-2016,Rand Merchant Bank
2017,2015-01-21,6.0,11-30-2016,Rand Merchant Bank
2017,2015-02-05,6.0,11-30-2016,Rand Merchant Bank
2017,2015-03-10,6.0,11-30-2016,Rand Merchant Bank
2017,2015-04-09,6.05,11-30-2016,Rand Merchant Bank
2017,2015-05-12,6.05,11-30-2016,Rand Merchant Bank
2017,2015-06-02,6.05,11-30-2016,Rand Merchant Bank
2017,2015-07-06,6.05,11-30-2016,Rand Merchant Bank
2017,2015-10-09,6.45,11-30-2016,Rand Merchant Bank
2017,2015-11-30,6.45,11-30-2016,Rand Merchant Bank
2017,2015-12-14,6.5,11-30-2016,Rand Merchant Bank
2017,2016-01-28,6.6,11-30-2016,Rand Merchant Bank
2017,2016-03-11,6.6,11-30-2016,Rand Merchant Bank
2017,2016-06-07,6.6,11-30-2016,Rand Merchant Bank
2017,2016-07-07,6.6,11-30-2016,Rand Merchant Bank
2017,2016-08-05,6.7,11-30-2016,Rand Merchant Bank
2017,2016-09-06,6.7,11-30-2016,Rand Merchant Bank
2017,2016-10-07,7.0,11-30-2016,Rand Merchant Bank
2017,2016-11-09,7.0,11-30-2016,Rand Merchant Bank
2018,2014-12-11,6.0,11-30-2016,Rand Merchant Bank
2018,2015-01-21,6.0,11-30-2016,Rand Merchant Bank
2018,2015-02-05,6.0,11-30-2016,Rand Merchant Bank
2018,2015-03-10,6.0,11-30-2016,Rand Merchant Bank
2018,2015-04-09,6.0,11-30-2016,Rand Merchant Bank
2018,2015-05-12,6.0,11-30-2016,Rand Merchant Bank
