period,change_date,change,file,company
Q3-17,2016-12-14,7.15,08-31-2017,Reel Kapital Securities
Q3-17,2017-01-16,7.13,08-31-2017,Reel Kapital Securities
Q3-17,2017-02-20,7.1,08-31-2017,Reel Kapital Securities
Q3-17,2017-03-31,7.0,08-31-2017,Reel Kapital Securities
Q3-17,2017-05-10,7.0,08-31-2017,Reel Kapital Securities
Q3-17,2017-06-23,6.91,08-31-2017,Reel Kapital Securities
Q3-17,2017-08-04,6.8,08-31-2017,Reel Kapital Securities
Q4-17,2016-12-14,7.21,08-31-2017,Reel Kapital Securities
Q4-17,2017-01-16,7.16,08-31-2017,Reel Kapital Securities
Q4-17,2017-02-20,7.15,08-31-2017,Reel Kapital Securities
Q4-17,2017-03-31,7.08,08-31-2017,Reel Kapital Securities
Q4-17,2017-05-10,7.05,08-31-2017,Reel Kapital Securities
Q4-17,2017-06-23,6.97,08-31-2017,Reel Kapital Securities
Q4-17,2017-08-04,6.88,08-31-2017,Reel Kapital Securities
Q1-18,2017-03-31,7.09,08-31-2017,Reel Kapital Securities
Q1-18,2017-05-10,7.09,08-31-2017,Reel Kapital Securities
Q1-18,2017-06-23,7.0,08-31-2017,Reel Kapital Securities
Q1-18,2017-08-04,6.9,08-31-2017,Reel Kapital Securities
Q2-18,2017-06-23,7.01,08-31-2017,Reel Kapital Securities
Q2-18,2017-08-04,6.95,08-31-2017,Reel Kapital Securities
2018,2016-12-14,7.42,08-31-2017,Reel Kapital Securities
2018,2017-01-16,7.4,08-31-2017,Reel Kapital Securities
2018,2017-02-20,7.29,08-31-2017,Reel Kapital Securities
2018,2017-03-31,7.23,08-31-2017,Reel Kapital Securities
2018,2017-05-10,7.26,08-31-2017,Reel Kapital Securities
2018,2017-06-23,7.12,08-31-2017,Reel Kapital Securities
2018,2017-08-04,6.94,08-31-2017,Reel Kapital Securities
2019,2016-12-14,7.46,08-31-2017,Reel Kapital Securities
2019,2017-01-16,7.56,08-31-2017,Reel Kapital Securities
2019,2017-02-20,7.49,08-31-2017,Reel Kapital Securities
2019,2017-03-31,7.43,08-31-2017,Reel Kapital Securities
2019,2017-05-10,7.45,08-31-2017,Reel Kapital Securities
2019,2017-06-23,7.31,08-31-2017,Reel Kapital Securities
2019,2017-08-04,7.1,08-31-2017,Reel Kapital Securities
2020,2016-12-14,7.51,08-31-2017,Reel Kapital Securities
2020,2017-01-16,7.74,08-31-2017,Reel Kapital Securities
2020,2017-02-20,7.69,08-31-2017,Reel Kapital Securities
2020,2017-03-31,7.63,08-31-2017,Reel Kapital Securities
2020,2017-05-10,7.63,08-31-2017,Reel Kapital Securities
2020,2017-06-23,7.48,08-31-2017,Reel Kapital Securities
2020,2017-08-04,7.27,08-31-2017,Reel Kapital Securities
2021,2016-12-14,7.58,08-31-2017,Reel Kapital Securities
2021,2017-01-16,7.93,08-31-2017,Reel Kapital Securities
2021,2017-02-20,7.88,08-31-2017,Reel Kapital Securities
2021,2017-03-31,7.78,08-31-2017,Reel Kapital Securities
2021,2017-05-10,7.79,08-31-2017,Reel Kapital Securities
2021,2017-06-23,7.64,08-31-2017,Reel Kapital Securities
2021,2017-08-04,7.42,08-31-2017,Reel Kapital Securities
Q4-17,2016-12-14,7.21,11-30-2017,Reel Kapital Securities
Q4-17,2017-01-16,7.16,11-30-2017,Reel Kapital Securities
Q4-17,2017-02-20,7.15,11-30-2017,Reel Kapital Securities
Q4-17,2017-03-31,7.08,11-30-2017,Reel Kapital Securities
Q4-17,2017-05-10,7.05,11-30-2017,Reel Kapital Securities
Q4-17,2017-06-23,6.97,11-30-2017,Reel Kapital Securities
Q4-17,2017-08-04,6.88,11-30-2017,Reel Kapital Securities
Q4-17,2017-10-12,6.65,11-30-2017,Reel Kapital Securities
Q1-18,2017-03-31,7.09,11-30-2017,Reel Kapital Securities
Q1-18,2017-05-10,7.09,11-30-2017,Reel Kapital Securities
Q1-18,2017-06-23,7.0,11-30-2017,Reel Kapital Securities
Q1-18,2017-08-04,6.9,11-30-2017,Reel Kapital Securities
Q1-18,2017-10-12,6.66,11-30-2017,Reel Kapital Securities
Q2-18,2017-06-23,7.01,11-30-2017,Reel Kapital Securities
Q2-18,2017-08-04,6.95,11-30-2017,Reel Kapital Securities
Q2-18,2017-10-12,6.7,11-30-2017,Reel Kapital Securities
Q3-18,2017-10-12,6.73,11-30-2017,Reel Kapital Securities
2018,2016-12-14,7.42,11-30-2017,Reel Kapital Securities
2018,2017-01-16,7.4,11-30-2017,Reel Kapital Securities
2018,2017-02-20,7.29,11-30-2017,Reel Kapital Securities
2018,2017-03-31,7.23,11-30-2017,Reel Kapital Securities
2018,2017-05-10,7.26,11-30-2017,Reel Kapital Securities
2018,2017-06-23,7.12,11-30-2017,Reel Kapital Securities
2018,2017-08-04,6.94,11-30-2017,Reel Kapital Securities
2018,2017-10-12,6.78,11-30-2017,Reel Kapital Securities
2019,2016-12-14,7.46,11-30-2017,Reel Kapital Securities
2019,2017-01-16,7.56,11-30-2017,Reel Kapital Securities
2019,2017-02-20,7.49,11-30-2017,Reel Kapital Securities
2019,2017-03-31,7.43,11-30-2017,Reel Kapital Securities
2019,2017-05-10,7.45,11-30-2017,Reel Kapital Securities
2019,2017-06-23,7.31,11-30-2017,Reel Kapital Securities
2019,2017-08-04,7.1,11-30-2017,Reel Kapital Securities
2019,2017-10-12,6.93,11-30-2017,Reel Kapital Securities
2020,2016-12-14,7.51,11-30-2017,Reel Kapital Securities
2020,2017-01-16,7.74,11-30-2017,Reel Kapital Securities
2020,2017-02-20,7.69,11-30-2017,Reel Kapital Securities
2020,2017-03-31,7.63,11-30-2017,Reel Kapital Securities
2020,2017-05-10,7.63,11-30-2017,Reel Kapital Securities
2020,2017-06-23,7.48,11-30-2017,Reel Kapital Securities
2020,2017-08-04,7.27,11-30-2017,Reel Kapital Securities
2020,2017-10-12,7.07,11-30-2017,Reel Kapital Securities
2021,2016-12-14,7.58,11-30-2017,Reel Kapital Securities
2021,2017-01-16,7.93,11-30-2017,Reel Kapital Securities
2021,2017-02-20,7.88,11-30-2017,Reel Kapital Securities
2021,2017-03-31,7.78,11-30-2017,Reel Kapital Securities
2021,2017-05-10,7.79,11-30-2017,Reel Kapital Securities
2021,2017-06-23,7.64,11-30-2017,Reel Kapital Securities
2021,2017-08-04,7.42,11-30-2017,Reel Kapital Securities
2021,2017-10-12,7.19,11-30-2017,Reel Kapital Securities
Q1-17,2016-12-14,7.03,02-28-2017,Reel Kapital Securities
Q1-17,2017-01-16,7.0,02-28-2017,Reel Kapital Securities
Q1-17,2017-02-20,6.97,02-28-2017,Reel Kapital Securities
Q2-17,2016-12-14,7.09,02-28-2017,Reel Kapital Securities
Q2-17,2017-01-16,7.1,02-28-2017,Reel Kapital Securities
Q2-17,2017-02-20,7.07,02-28-2017,Reel Kapital Securities
Q3-17,2016-12-14,7.15,02-28-2017,Reel Kapital Securities
Q3-17,2017-01-16,7.13,02-28-2017,Reel Kapital Securities
Q3-17,2017-02-20,7.1,02-28-2017,Reel Kapital Securities
Q4-17,2016-12-14,7.21,02-28-2017,Reel Kapital Securities
Q4-17,2017-01-16,7.16,02-28-2017,Reel Kapital Securities
Q4-17,2017-02-20,7.15,02-28-2017,Reel Kapital Securities
2018,2016-12-14,7.42,02-28-2017,Reel Kapital Securities
2018,2017-01-16,7.4,02-28-2017,Reel Kapital Securities
2018,2017-02-20,7.29,02-28-2017,Reel Kapital Securities
2019,2016-12-14,7.46,02-28-2017,Reel Kapital Securities
2019,2017-01-16,7.56,02-28-2017,Reel Kapital Securities
2019,2017-02-20,7.49,02-28-2017,Reel Kapital Securities
2020,2016-12-14,7.51,02-28-2017,Reel Kapital Securities
2020,2017-01-16,7.74,02-28-2017,Reel Kapital Securities
2020,2017-02-20,7.69,02-28-2017,Reel Kapital Securities
2021,2016-12-14,7.58,02-28-2017,Reel Kapital Securities
2021,2017-01-16,7.93,02-28-2017,Reel Kapital Securities
2021,2017-02-20,7.88,02-28-2017,Reel Kapital Securities
Q2-17,2016-12-14,7.09,05-31-2017,Reel Kapital Securities
Q2-17,2017-01-16,7.1,05-31-2017,Reel Kapital Securities
Q2-17,2017-02-20,7.07,05-31-2017,Reel Kapital Securities
Q2-17,2017-03-31,7.0,05-31-2017,Reel Kapital Securities
Q2-17,2017-05-10,6.94,05-31-2017,Reel Kapital Securities
Q3-17,2016-12-14,7.15,05-31-2017,Reel Kapital Securities
Q3-17,2017-01-16,7.13,05-31-2017,Reel Kapital Securities
Q3-17,2017-02-20,7.1,05-31-2017,Reel Kapital Securities
Q3-17,2017-03-31,7.0,05-31-2017,Reel Kapital Securities
Q3-17,2017-05-10,7.0,05-31-2017,Reel Kapital Securities
Q4-17,2016-12-14,7.21,05-31-2017,Reel Kapital Securities
Q4-17,2017-01-16,7.16,05-31-2017,Reel Kapital Securities
Q4-17,2017-02-20,7.15,05-31-2017,Reel Kapital Securities
Q4-17,2017-03-31,7.08,05-31-2017,Reel Kapital Securities
Q4-17,2017-05-10,7.05,05-31-2017,Reel Kapital Securities
Q1-18,2017-03-31,7.09,05-31-2017,Reel Kapital Securities
Q1-18,2017-05-10,7.09,05-31-2017,Reel Kapital Securities
2018,2016-12-14,7.42,05-31-2017,Reel Kapital Securities
2018,2017-01-16,7.4,05-31-2017,Reel Kapital Securities
2018,2017-02-20,7.29,05-31-2017,Reel Kapital Securities
2018,2017-03-31,7.23,05-31-2017,Reel Kapital Securities
2018,2017-05-10,7.26,05-31-2017,Reel Kapital Securities
2019,2016-12-14,7.46,05-31-2017,Reel Kapital Securities
2019,2017-01-16,7.56,05-31-2017,Reel Kapital Securities
2019,2017-02-20,7.49,05-31-2017,Reel Kapital Securities
2019,2017-03-31,7.43,05-31-2017,Reel Kapital Securities
2019,2017-05-10,7.45,05-31-2017,Reel Kapital Securities
2020,2016-12-14,7.51,05-31-2017,Reel Kapital Securities
2020,2017-01-16,7.74,05-31-2017,Reel Kapital Securities
2020,2017-02-20,7.69,05-31-2017,Reel Kapital Securities
2020,2017-03-31,7.63,05-31-2017,Reel Kapital Securities
2020,2017-05-10,7.63,05-31-2017,Reel Kapital Securities
2021,2016-12-14,7.58,05-31-2017,Reel Kapital Securities
