period,change_date,change,file,company
Q3-20,2020-03-13,6.4,08-31-2020,SCB Securities
Q3-20,2020-04-20,7.05,08-31-2020,SCB Securities
Q3-20,2020-05-18,7.15,08-31-2020,SCB Securities
Q3-20,2020-06-16,6.9,08-31-2020,SCB Securities
Q3-20,2020-07-13,6.9,08-31-2020,SCB Securities
Q3-20,2020-08-17,6.9,08-31-2020,SCB Securities
Q4-20,2020-03-13,6.8,08-31-2020,SCB Securities
Q4-20,2020-04-20,7.0,08-31-2020,SCB Securities
Q4-20,2020-05-18,7.0,08-31-2020,SCB Securities
Q4-20,2020-06-16,7.0,08-31-2020,SCB Securities
Q4-20,2020-07-13,7.0,08-31-2020,SCB Securities
Q4-20,2020-08-17,7.0,08-31-2020,SCB Securities
Q1-21,2020-03-13,6.5,08-31-2020,SCB Securities
Q1-21,2020-04-20,6.9,08-31-2020,SCB Securities
Q1-21,2020-05-18,6.8,08-31-2020,SCB Securities
Q1-21,2020-06-16,7.0,08-31-2020,SCB Securities
Q1-21,2020-07-13,6.8,08-31-2020,SCB Securities
Q1-21,2020-08-17,6.8,08-31-2020,SCB Securities
Q2-21,2020-06-16,6.8,08-31-2020,SCB Securities
Q2-21,2020-07-13,6.8,08-31-2020,SCB Securities
Q2-21,2020-08-17,6.7,08-31-2020,SCB Securities
2021,2020-03-13,6.2,08-31-2020,SCB Securities
2021,2020-04-20,6.8,08-31-2020,SCB Securities
2021,2020-05-18,7.0,08-31-2020,SCB Securities
2021,2020-06-16,6.5,08-31-2020,SCB Securities
2021,2020-07-13,6.5,08-31-2020,SCB Securities
2021,2020-08-17,6.5,08-31-2020,SCB Securities
2022,2020-04-20,6.7,08-31-2020,SCB Securities
2022,2020-05-18,6.5,08-31-2020,SCB Securities
2022,2020-06-16,6.5,08-31-2020,SCB Securities
2022,2020-07-13,6.5,08-31-2020,SCB Securities
2022,2020-08-17,6.5,08-31-2020,SCB Securities
2023,2020-04-20,6.6,08-31-2020,SCB Securities
2023,2020-05-18,6.5,08-31-2020,SCB Securities
2023,2020-06-16,6.5,08-31-2020,SCB Securities
2023,2020-07-13,6.5,08-31-2020,SCB Securities
2023,2020-08-17,6.5,08-31-2020,SCB Securities
2024,2020-04-20,6.5,08-31-2020,SCB Securities
2024,2020-05-18,6.25,08-31-2020,SCB Securities
2024,2020-06-16,6.25,08-31-2020,SCB Securities
2024,2020-07-13,6.25,08-31-2020,SCB Securities
2024,2020-08-17,6.25,08-31-2020,SCB Securities
Q4-20,2020-03-13,6.8,11-30-2020,SCB Securities
Q4-20,2020-04-20,7.0,11-30-2020,SCB Securities
Q4-20,2020-05-18,7.0,11-30-2020,SCB Securities
Q4-20,2020-06-16,7.0,11-30-2020,SCB Securities
Q4-20,2020-07-13,7.0,11-30-2020,SCB Securities
Q4-20,2020-08-17,7.0,11-30-2020,SCB Securities
Q4-20,2020-09-21,6.8,11-30-2020,SCB Securities
Q4-20,2020-10-21,6.65,11-30-2020,SCB Securities
Q4-20,2020-11-16,6.7,11-30-2020,SCB Securities
Q1-21,2020-03-13,6.5,11-30-2020,SCB Securities
Q1-21,2020-04-20,6.9,11-30-2020,SCB Securities
Q1-21,2020-05-18,6.8,11-30-2020,SCB Securities
Q1-21,2020-06-16,7.0,11-30-2020,SCB Securities
Q1-21,2020-07-13,6.8,11-30-2020,SCB Securities
Q1-21,2020-08-17,6.8,11-30-2020,SCB Securities
Q1-21,2020-09-21,6.65,11-30-2020,SCB Securities
Q1-21,2020-10-21,6.6,11-30-2020,SCB Securities
Q1-21,2020-11-16,6.61,11-30-2020,SCB Securities
Q2-21,2020-06-16,6.8,11-30-2020,SCB Securities
Q2-21,2020-07-13,6.8,11-30-2020,SCB Securities
Q2-21,2020-08-17,6.7,11-30-2020,SCB Securities
Q2-21,2020-09-21,6.5,11-30-2020,SCB Securities
Q2-21,2020-10-21,6.5,11-30-2020,SCB Securities
Q2-21,2020-11-16,6.39,11-30-2020,SCB Securities
Q3-21,2020-09-21,6.61,11-30-2020,SCB Securities
Q3-21,2020-10-21,6.4,11-30-2020,SCB Securities
Q3-21,2020-11-16,6.51,11-30-2020,SCB Securities
2021,2020-03-13,6.2,11-30-2020,SCB Securities
2021,2020-04-20,6.8,11-30-2020,SCB Securities
2021,2020-05-18,7.0,11-30-2020,SCB Securities
2021,2020-06-16,6.5,11-30-2020,SCB Securities
2021,2020-07-13,6.5,11-30-2020,SCB Securities
2021,2020-08-17,6.5,11-30-2020,SCB Securities
2021,2020-09-21,6.68,11-30-2020,SCB Securities
2021,2020-10-21,6.47,11-30-2020,SCB Securities
2021,2020-11-16,6.57,11-30-2020,SCB Securities
2022,2020-04-20,6.7,11-30-2020,SCB Securities
2022,2020-05-18,6.5,11-30-2020,SCB Securities
2022,2020-06-16,6.5,11-30-2020,SCB Securities
2022,2020-07-13,6.5,11-30-2020,SCB Securities
2022,2020-08-17,6.5,11-30-2020,SCB Securities
2022,2020-09-21,6.53,11-30-2020,SCB Securities
2022,2020-10-21,6.38,11-30-2020,SCB Securities
2022,2020-11-16,6.42,11-30-2020,SCB Securities
2023,2020-04-20,6.6,11-30-2020,SCB Securities
2023,2020-05-18,6.5,11-30-2020,SCB Securities
2023,2020-06-16,6.5,11-30-2020,SCB Securities
2023,2020-07-13,6.5,11-30-2020,SCB Securities
2023,2020-08-17,6.5,11-30-2020,SCB Securities
2023,2020-09-21,6.37,11-30-2020,SCB Securities
2023,2020-10-21,6.24,11-30-2020,SCB Securities
2023,2020-11-16,6.27,11-30-2020,SCB Securities
2024,2020-04-20,6.5,11-30-2020,SCB Securities
2024,2020-05-18,6.25,11-30-2020,SCB Securities
2024,2020-06-16,6.25,11-30-2020,SCB Securities
2024,2020-07-13,6.25,11-30-2020,SCB Securities
2024,2020-08-17,6.25,11-30-2020,SCB Securities
2024,2020-09-21,6.22,11-30-2020,SCB Securities
2024,2020-10-21,6.09,11-30-2020,SCB Securities
2024,2020-11-16,6.12,11-30-2020,SCB Securities
Q4-21,2020-03-13,6.2,11-30-2021,SCB Securities
Q4-21,2020-04-20,6.8,11-30-2021,SCB Securities
Q4-21,2020-05-18,7.0,11-30-2021,SCB Securities
Q4-21,2020-06-16,6.5,11-30-2021,SCB Securities
Q4-21,2020-07-13,6.5,11-30-2021,SCB Securities
Q4-21,2020-08-17,6.5,11-30-2021,SCB Securities
Q4-21,2020-09-21,6.68,11-30-2021,SCB Securities
Q4-21,2020-10-21,6.47,11-30-2021,SCB Securities
Q4-21,2020-11-16,6.57,11-30-2021,SCB Securities
Q4-21,2020-12-18,6.1,11-30-2021,SCB Securities
2022,2020-04-20,6.7,11-30-2021,SCB Securities
2022,2020-05-18,6.5,11-30-2021,SCB Securities
2022,2020-06-16,6.5,11-30-2021,SCB Securities
2022,2020-07-13,6.5,11-30-2021,SCB Securities
2022,2020-08-17,6.5,11-30-2021,SCB Securities
2022,2020-09-21,6.53,11-30-2021,SCB Securities
2022,2020-10-21,6.38,11-30-2021,SCB Securities
2022,2020-11-16,6.42,11-30-2021,SCB Securities
2022,2020-12-18,6.02,11-30-2021,SCB Securities
2023,2020-04-20,6.6,11-30-2021,SCB Securities
2023,2020-05-18,6.5,11-30-2021,SCB Securities
2023,2020-06-16,6.5,11-30-2021,SCB Securities
2023,2020-07-13,6.5,11-30-2021,SCB Securities
2023,2020-08-17,6.5,11-30-2021,SCB Securities
2023,2020-09-21,6.37,11-30-2021,SCB Securities
2023,2020-10-21,6.24,11-30-2021,SCB Securities
2023,2020-11-16,6.27,11-30-2021,SCB Securities
2023,2020-12-18,5.8,11-30-2021,SCB Securities
2024,2020-04-20,6.5,11-30-2021,SCB Securities
2024,2020-05-18,6.25,11-30-2021,SCB Securities
2024,2020-06-16,6.25,11-30-2021,SCB Securities
2024,2020-07-13,6.25,11-30-2021,SCB Securities
2024,2020-08-17,6.25,11-30-2021,SCB Securities
2024,2020-09-21,6.22,11-30-2021,SCB Securities
2024,2020-10-21,6.09,11-30-2021,SCB Securities
2024,2020-11-16,6.12,11-30-2021,SCB Securities
2024,2020-12-18,6.0,11-30-2021,SCB Securities
2025,2020-04-20,6.5,11-30-2021,SCB Securities
Q3-21,2020-09-21,6.61,08-31-2021,SCB Securities
Q3-21,2020-10-21,6.4,08-31-2021,SCB Securities
Q3-21,2020-11-16,6.51,08-31-2021,SCB Securities
Q3-21,2020-12-18,6.2,08-31-2021,SCB Securities
Q4-21,2020-03-13,6.2,08-31-2021,SCB Securities
Q4-21,2020-04-20,6.8,08-31-2021,SCB Securities
Q4-21,2020-05-18,7.0,08-31-2021,SCB Securities
Q4-21,2020-06-16,6.5,08-31-2021,SCB Securities
Q4-21,2020-07-13,6.5,08-31-2021,SCB Securities
Q4-21,2020-08-17,6.5,08-31-2021,SCB Securities
Q4-21,2020-09-21,6.68,08-31-2021,SCB Securities
Q4-21,2020-10-21,6.47,08-31-2021,SCB Securities
Q4-21,2020-11-16,6.57,08-31-2021,SCB Securities
Q4-21,2020-12-18,6.1,08-31-2021,SCB Securities
2022,2020-04-20,6.7,08-31-2021,SCB Securities
2022,2020-05-18,6.5,08-31-2021,SCB Securities
2022,2020-06-16,6.5,08-31-2021,SCB Securities
2022,2020-07-13,6.5,08-31-2021,SCB Securities
2022,2020-08-17,6.5,08-31-2021,SCB Securities
2022,2020-09-21,6.53,08-31-2021,SCB Securities
2022,2020-10-21,6.38,08-31-2021,SCB Securities
2022,2020-11-16,6.42,08-31-2021,SCB Securities
2022,2020-12-18,6.02,08-31-2021,SCB Securities
2023,2020-04-20,6.6,08-31-2021,SCB Securities
2023,2020-05-18,6.5,08-31-2021,SCB Securities
