period,change_date,change,file,company
Q2-07,2006-11-16,7.64,05-31-2007,SJS Markets
Q2-07,2006-11-27,7.64,05-31-2007,SJS Markets
Q2-07,2006-12-14,7.61,05-31-2007,SJS Markets
Q2-07,2007-01-05,7.62,05-31-2007,SJS Markets
Q2-07,2007-01-26,7.63,05-31-2007,SJS Markets
Q2-07,2007-02-22,7.57,05-31-2007,SJS Markets
Q2-07,2007-03-14,7.66,05-31-2007,SJS Markets
Q2-07,2007-04-03,7.66,05-31-2007,SJS Markets
Q2-07,2007-05-03,7.65,05-31-2007,SJS Markets
Q3-07,2006-11-16,7.53,05-31-2007,SJS Markets
Q3-07,2006-11-27,7.53,05-31-2007,SJS Markets
Q3-07,2006-12-14,7.54,05-31-2007,SJS Markets
Q3-07,2007-01-05,7.53,05-31-2007,SJS Markets
Q3-07,2007-01-26,7.54,05-31-2007,SJS Markets
Q3-07,2007-02-22,7.48,05-31-2007,SJS Markets
Q3-07,2007-03-14,7.58,05-31-2007,SJS Markets
Q3-07,2007-04-03,7.58,05-31-2007,SJS Markets
Q3-07,2007-05-03,7.57,05-31-2007,SJS Markets
Q4-07,2006-11-16,7.45,05-31-2007,SJS Markets
Q4-07,2006-11-27,7.45,05-31-2007,SJS Markets
Q4-07,2006-12-14,7.47,05-31-2007,SJS Markets
Q4-07,2007-01-05,7.46,05-31-2007,SJS Markets
Q4-07,2007-01-26,7.45,05-31-2007,SJS Markets
Q4-07,2007-02-22,7.39,05-31-2007,SJS Markets
Q4-07,2007-03-14,7.5,05-31-2007,SJS Markets
Q4-07,2007-04-03,7.5,05-31-2007,SJS Markets
Q4-07,2007-05-03,7.48,05-31-2007,SJS Markets
Q1-08,2007-03-14,7.42,05-31-2007,SJS Markets
Q1-08,2007-04-03,7.42,05-31-2007,SJS Markets
Q1-08,2007-05-03,7.4,05-31-2007,SJS Markets
2008,2006-11-16,7.25,05-31-2007,SJS Markets
2008,2006-11-27,7.25,05-31-2007,SJS Markets
2008,2006-12-14,7.15,05-31-2007,SJS Markets
2008,2007-01-05,7.18,05-31-2007,SJS Markets
2008,2007-01-26,7.18,05-31-2007,SJS Markets
2008,2007-02-22,7.12,05-31-2007,SJS Markets
2008,2007-03-14,7.12,05-31-2007,SJS Markets
2008,2007-04-03,7.12,05-31-2007,SJS Markets
2008,2007-05-03,7.1,05-31-2007,SJS Markets
2009,2006-11-16,7.1,05-31-2007,SJS Markets
2009,2006-11-27,7.1,05-31-2007,SJS Markets
2009,2006-12-14,7.0,05-31-2007,SJS Markets
2009,2007-01-05,6.96,05-31-2007,SJS Markets
2009,2007-01-26,6.96,05-31-2007,SJS Markets
2009,2007-02-22,6.9,05-31-2007,SJS Markets
2009,2007-03-14,6.87,05-31-2007,SJS Markets
2009,2007-04-03,6.87,05-31-2007,SJS Markets
2009,2007-05-03,6.85,05-31-2007,SJS Markets
