period,change_date,change,file,company
Q2-07,2006-06-08,7.53,05-31-2007,Scotiabank
Q2-07,2006-06-29,7.36,05-31-2007,Scotiabank
Q2-07,2006-07-13,7.36,05-31-2007,Scotiabank
Q2-07,2006-08-03,7.36,05-31-2007,Scotiabank
Q2-07,2006-11-20,7.5,05-31-2007,Scotiabank
Q2-07,2006-12-14,7.57,05-31-2007,Scotiabank
Q2-07,2007-01-09,7.57,05-31-2007,Scotiabank
Q2-07,2007-02-02,7.58,05-31-2007,Scotiabank
Q2-07,2007-02-22,7.58,05-31-2007,Scotiabank
Q2-07,2007-03-15,7.58,05-31-2007,Scotiabank
Q2-07,2007-03-22,7.58,05-31-2007,Scotiabank
Q2-07,2007-04-13,7.6,05-31-2007,Scotiabank
Q2-07,2007-04-20,7.6,05-31-2007,Scotiabank
Q2-07,2007-05-03,7.61,05-31-2007,Scotiabank
Q2-07,2007-05-25,7.61,05-31-2007,Scotiabank
Q3-07,2006-11-20,7.4,05-31-2007,Scotiabank
Q3-07,2006-12-14,7.46,05-31-2007,Scotiabank
Q3-07,2007-01-09,7.46,05-31-2007,Scotiabank
Q3-07,2007-02-02,7.46,05-31-2007,Scotiabank
Q3-07,2007-02-22,7.46,05-31-2007,Scotiabank
Q3-07,2007-03-15,7.46,05-31-2007,Scotiabank
Q3-07,2007-03-22,7.47,05-31-2007,Scotiabank
Q3-07,2007-04-13,7.47,05-31-2007,Scotiabank
Q3-07,2007-04-20,7.47,05-31-2007,Scotiabank
Q3-07,2007-05-03,7.47,05-31-2007,Scotiabank
Q3-07,2007-05-25,7.47,05-31-2007,Scotiabank
Q4-07,2006-06-08,7.3,05-31-2007,Scotiabank
Q4-07,2006-06-29,7.3,05-31-2007,Scotiabank
Q4-07,2006-07-13,7.3,05-31-2007,Scotiabank
Q4-07,2006-08-03,7.3,05-31-2007,Scotiabank
Q4-07,2006-11-20,7.3,05-31-2007,Scotiabank
Q4-07,2006-12-14,7.35,05-31-2007,Scotiabank
Q4-07,2007-01-09,7.35,05-31-2007,Scotiabank
Q4-07,2007-02-02,7.35,05-31-2007,Scotiabank
Q4-07,2007-02-22,7.35,05-31-2007,Scotiabank
Q4-07,2007-03-15,7.35,05-31-2007,Scotiabank
Q4-07,2007-03-22,7.35,05-31-2007,Scotiabank
Q4-07,2007-04-13,7.35,05-31-2007,Scotiabank
Q4-07,2007-04-20,7.35,05-31-2007,Scotiabank
Q4-07,2007-05-03,7.35,05-31-2007,Scotiabank
Q4-07,2007-05-25,7.35,05-31-2007,Scotiabank
Q1-08,2007-03-15,7.25,05-31-2007,Scotiabank
Q1-08,2007-03-22,7.25,05-31-2007,Scotiabank
Q1-08,2007-04-13,7.25,05-31-2007,Scotiabank
Q1-08,2007-04-20,7.25,05-31-2007,Scotiabank
Q1-08,2007-05-03,7.2,05-31-2007,Scotiabank
Q1-08,2007-05-25,7.2,05-31-2007,Scotiabank
2008,2007-01-09,6.95,05-31-2007,Scotiabank
2008,2007-02-02,6.95,05-31-2007,Scotiabank
2008,2007-02-22,6.95,05-31-2007,Scotiabank
2008,2007-03-15,6.95,05-31-2007,Scotiabank
2008,2007-03-22,6.95,05-31-2007,Scotiabank
2008,2007-04-13,6.95,05-31-2007,Scotiabank
2008,2007-04-20,6.95,05-31-2007,Scotiabank
2008,2007-05-03,6.75,05-31-2007,Scotiabank
2008,2007-05-25,6.75,05-31-2007,Scotiabank
Q2-11,2010-05-03,6.2,05-31-2011,Scotiabank
Q2-11,2010-06-02,6.29,05-31-2011,Scotiabank
Q2-11,2010-07-08,6.4,05-31-2011,Scotiabank
Q2-11,2010-08-17,6.4,05-31-2011,Scotiabank
Q2-11,2010-09-02,6.62,05-31-2011,Scotiabank
Q2-11,2010-10-11,6.3,05-31-2011,Scotiabank
Q2-11,2010-11-04,6.3,05-31-2011,Scotiabank
Q2-11,2010-12-06,6.3,05-31-2011,Scotiabank
Q2-11,2011-01-06,6.35,05-31-2011,Scotiabank
Q2-11,2011-02-03,6.37,05-31-2011,Scotiabank
Q2-11,2011-02-11,6.37,05-31-2011,Scotiabank
Q2-11,2011-03-03,6.38,05-31-2011,Scotiabank
Q2-11,2011-04-04,6.4,05-31-2011,Scotiabank
Q2-11,2011-04-29,6.4,05-31-2011,Scotiabank
Q3-11,2010-05-03,6.1,05-31-2011,Scotiabank
Q3-11,2010-06-02,6.14,05-31-2011,Scotiabank
Q3-11,2010-08-17,6.3,05-31-2011,Scotiabank
Q3-11,2010-10-11,6.2,05-31-2011,Scotiabank
Q3-11,2010-11-04,6.2,05-31-2011,Scotiabank
Q3-11,2010-12-06,6.2,05-31-2011,Scotiabank
Q3-11,2011-01-06,6.22,05-31-2011,Scotiabank
Q3-11,2011-02-03,6.23,05-31-2011,Scotiabank
Q3-11,2011-02-11,6.23,05-31-2011,Scotiabank
Q3-11,2011-03-03,6.24,05-31-2011,Scotiabank
Q3-11,2011-04-04,6.25,05-31-2011,Scotiabank
Q3-11,2011-04-29,6.25,05-31-2011,Scotiabank
Q4-11,2009-12-04,6.0,05-31-2011,Scotiabank
Q4-11,2009-12-17,6.0,05-31-2011,Scotiabank
Q4-11,2010-01-08,6.0,05-31-2011,Scotiabank
Q4-11,2010-02-01,6.0,05-31-2011,Scotiabank
Q4-11,2010-03-04,6.0,05-31-2011,Scotiabank
Q4-11,2010-04-01,6.0,05-31-2011,Scotiabank
