period,change_date,change,file,company
Q2-07,2007-03-16,7.63,05-31-2007,Skandinaviska Enskilda Banken
Q3-07,2007-03-16,7.51,05-31-2007,Skandinaviska Enskilda Banken
Q2-11,2010-06-18,6.4,05-31-2011,Skandinaviska Enskilda Banken
Q2-11,2010-06-22,6.4,05-31-2011,Skandinaviska Enskilda Banken
Q2-11,2010-07-02,6.4,05-31-2011,Skandinaviska Enskilda Banken
Q2-11,2010-07-06,6.4,05-31-2011,Skandinaviska Enskilda Banken
Q2-11,2010-08-10,6.45,05-31-2011,Skandinaviska Enskilda Banken
Q2-11,2010-12-22,6.55,05-31-2011,Skandinaviska Enskilda Banken
Q3-11,2010-08-31,6.45,05-31-2011,Skandinaviska Enskilda Banken
Q4-11,2010-12-22,6.35,05-31-2011,Skandinaviska Enskilda Banken
Q3-20,2019-10-02,7.26,08-31-2020,Skandinaviska Enskilda Banken
Q3-20,2019-11-13,7.26,08-31-2020,Skandinaviska Enskilda Banken
Q3-20,2019-12-19,7.1,08-31-2020,Skandinaviska Enskilda Banken
Q3-20,2020-02-06,7.1,08-31-2020,Skandinaviska Enskilda Banken
Q3-20,2020-02-20,7.1,08-31-2020,Skandinaviska Enskilda Banken
Q3-20,2020-05-29,7.2,08-31-2020,Skandinaviska Enskilda Banken
Q3-20,2020-07-20,7.05,08-31-2020,Skandinaviska Enskilda Banken
Q3-20,2020-07-27,7.05,08-31-2020,Skandinaviska Enskilda Banken
Q3-20,2020-08-25,7.05,08-31-2020,Skandinaviska Enskilda Banken
Q4-20,2019-04-10,7.15,08-31-2020,Skandinaviska Enskilda Banken
Q4-20,2019-12-19,7.15,08-31-2020,Skandinaviska Enskilda Banken
Q4-20,2020-02-06,7.15,08-31-2020,Skandinaviska Enskilda Banken
Q4-20,2020-02-20,7.15,08-31-2020,Skandinaviska Enskilda Banken
Q4-20,2020-05-29,7.18,08-31-2020,Skandinaviska Enskilda Banken
Q4-20,2020-07-20,7.03,08-31-2020,Skandinaviska Enskilda Banken
Q4-20,2020-07-27,7.03,08-31-2020,Skandinaviska Enskilda Banken
Q4-20,2020-08-25,7.03,08-31-2020,Skandinaviska Enskilda Banken
Q1-21,2020-05-29,7.16,08-31-2020,Skandinaviska Enskilda Banken
Q1-21,2020-07-20,7.01,08-31-2020,Skandinaviska Enskilda Banken
Q1-21,2020-07-27,7.01,08-31-2020,Skandinaviska Enskilda Banken
Q1-21,2020-08-25,7.01,08-31-2020,Skandinaviska Enskilda Banken
Q2-21,2020-05-29,7.14,08-31-2020,Skandinaviska Enskilda Banken
Q2-21,2020-07-20,6.99,08-31-2020,Skandinaviska Enskilda Banken
Q2-21,2020-07-27,6.99,08-31-2020,Skandinaviska Enskilda Banken
Q2-21,2020-08-25,6.99,08-31-2020,Skandinaviska Enskilda Banken
Q4-16,2016-01-28,6.8,11-30-2016,Skandinaviska Enskilda Banken
Q4-16,2016-06-29,6.8,11-30-2016,Skandinaviska Enskilda Banken
Q4-16,2016-09-05,6.8,11-30-2016,Skandinaviska Enskilda Banken
Q4-16,2016-10-31,6.8,11-30-2016,Skandinaviska Enskilda Banken
Q1-17,2016-06-29,6.9,11-30-2016,Skandinaviska Enskilda Banken
Q1-17,2016-09-05,6.8,11-30-2016,Skandinaviska Enskilda Banken
Q1-17,2016-10-31,6.75,11-30-2016,Skandinaviska Enskilda Banken
Q2-17,2016-06-29,6.8,11-30-2016,Skandinaviska Enskilda Banken
Q2-17,2016-09-05,6.7,11-30-2016,Skandinaviska Enskilda Banken
Q2-17,2016-10-31,6.7,11-30-2016,Skandinaviska Enskilda Banken
Q3-17,2016-09-05,6.75,11-30-2016,Skandinaviska Enskilda Banken
Q3-17,2016-10-31,6.7,11-30-2016,Skandinaviska Enskilda Banken
2017,2016-10-31,6.7,11-30-2016,Skandinaviska Enskilda Banken
2018,2016-10-31,6.65,11-30-2016,Skandinaviska Enskilda Banken
Q1-11,2010-05-11,6.4,02-28-2011,Skandinaviska Enskilda Banken
Q1-11,2010-08-10,6.65,02-28-2011,Skandinaviska Enskilda Banken
Q1-11,2010-08-31,6.65,02-28-2011,Skandinaviska Enskilda Banken
Q1-11,2010-12-22,6.55,02-28-2011,Skandinaviska Enskilda Banken
Q2-11,2010-06-18,6.4,02-28-2011,Skandinaviska Enskilda Banken
Q2-11,2010-06-22,6.4,02-28-2011,Skandinaviska Enskilda Banken
Q2-11,2010-07-02,6.4,02-28-2011,Skandinaviska Enskilda Banken
Q2-11,2010-07-06,6.4,02-28-2011,Skandinaviska Enskilda Banken
Q2-11,2010-08-10,6.45,02-28-2011,Skandinaviska Enskilda Banken
Q2-11,2010-12-22,6.55,02-28-2011,Skandinaviska Enskilda Banken
Q3-11,2010-08-31,6.45,02-28-2011,Skandinaviska Enskilda Banken
