period,change_date,change,file,company
Q2-07,2006-11-08,7.8,05-31-2007,Societe Generale
Q2-07,2006-12-13,7.4,05-31-2007,Societe Generale
Q3-07,2006-11-08,7.7,05-31-2007,Societe Generale
Q3-07,2006-12-13,7.3,05-31-2007,Societe Generale
Q4-07,2006-11-08,7.6,05-31-2007,Societe Generale
Q4-07,2006-12-13,7.2,05-31-2007,Societe Generale
Q2-11,2010-07-26,6.15,05-31-2011,Societe Generale
Q2-11,2010-09-10,6.15,05-31-2011,Societe Generale
Q3-11,2011-05-31,6.34,05-31-2011,Societe Generale
Q4-11,2011-05-31,6.25,05-31-2011,Societe Generale
Q1-12,2011-05-31,6.15,05-31-2011,Societe Generale
Q3-20,2019-11-14,7.2,08-31-2020,Societe Generale
Q4-20,2019-11-14,7.25,08-31-2020,Societe Generale
Q4-16,2015-06-17,6.2,11-30-2016,Societe Generale
Q4-16,2015-09-10,6.56,11-30-2016,Societe Generale
Q4-16,2015-12-03,6.8,11-30-2016,Societe Generale
Q4-16,2016-01-07,6.8,11-30-2016,Societe Generale
Q4-16,2016-09-22,6.85,11-30-2016,Societe Generale
Q1-17,2016-09-22,6.95,11-30-2016,Societe Generale
Q2-17,2016-09-22,7.1,11-30-2016,Societe Generale
Q3-17,2016-09-22,7.1,11-30-2016,Societe Generale
2017,2015-06-17,6.2,11-30-2016,Societe Generale
2017,2015-09-10,6.5,11-30-2016,Societe Generale
2017,2016-09-22,6.95,11-30-2016,Societe Generale
2018,2015-06-17,6.2,11-30-2016,Societe Generale
2018,2015-09-10,6.67,11-30-2016,Societe Generale
2018,2016-09-22,6.82,11-30-2016,Societe Generale
2019,2015-06-17,6.1,11-30-2016,Societe Generale
2019,2015-09-10,6.41,11-30-2016,Societe Generale
2019,2016-09-22,6.98,11-30-2016,Societe Generale
2020,2016-09-22,6.54,11-30-2016,Societe Generale
Q1-11,2010-07-26,6.35,02-28-2011,Societe Generale
Q1-11,2010-09-10,6.35,02-28-2011,Societe Generale
Q2-11,2010-07-26,6.15,02-28-2011,Societe Generale
Q2-11,2010-09-10,6.15,02-28-2011,Societe Generale
Q3-16,2015-09-10,6.45,08-31-2016,Societe Generale
Q3-16,2015-12-03,6.7,08-31-2016,Societe Generale
Q3-16,2016-01-07,6.7,08-31-2016,Societe Generale
Q4-16,2015-06-17,6.2,08-31-2016,Societe Generale
Q4-16,2015-09-10,6.56,08-31-2016,Societe Generale
Q4-16,2015-12-03,6.8,08-31-2016,Societe Generale
Q4-16,2016-01-07,6.8,08-31-2016,Societe Generale
2017,2015-06-17,6.2,08-31-2016,Societe Generale
2017,2015-09-10,6.5,08-31-2016,Societe Generale
2018,2015-06-17,6.2,08-31-2016,Societe Generale
2018,2015-09-10,6.67,08-31-2016,Societe Generale
2019,2015-06-17,6.1,08-31-2016,Societe Generale
2019,2015-09-10,6.41,08-31-2016,Societe Generale
Q4-20,2019-11-14,7.25,11-30-2020,Societe Generale
Q1-07,2006-11-08,7.9,02-28-2007,Societe Generale
Q1-07,2006-12-13,7.5,02-28-2007,Societe Generale
Q2-07,2006-11-08,7.8,02-28-2007,Societe Generale
Q2-07,2006-12-13,7.4,02-28-2007,Societe Generale
Q3-07,2006-11-08,7.7,02-28-2007,Societe Generale
Q3-07,2006-12-13,7.3,02-28-2007,Societe Generale
Q4-07,2006-11-08,7.6,02-28-2007,Societe Generale
Q4-07,2006-12-13,7.2,02-28-2007,Societe Generale
Q3-17,2016-09-22,7.1,08-31-2017,Societe Generale
Q3-17,2017-06-06,6.95,08-31-2017,Societe Generale
Q4-17,2015-09-10,6.5,08-31-2017,Societe Generale
