period,change_date,change,file,company
Q2-11,2010-06-03,6.72,05-31-2011,St George Bank
Q2-11,2010-07-13,6.45,05-31-2011,St George Bank
Q2-11,2010-08-25,6.45,05-31-2011,St George Bank
Q2-11,2010-09-28,6.48,05-31-2011,St George Bank
Q2-11,2010-11-24,6.44,05-31-2011,St George Bank
Q3-11,2010-07-13,6.37,05-31-2011,St George Bank
Q3-11,2010-08-25,6.37,05-31-2011,St George Bank
Q3-11,2010-09-28,6.4,05-31-2011,St George Bank
Q3-11,2010-11-24,6.36,05-31-2011,St George Bank
Q4-11,2010-02-24,6.63,05-31-2011,St George Bank
Q4-11,2010-04-05,6.63,05-31-2011,St George Bank
Q4-11,2010-04-06,6.63,05-31-2011,St George Bank
Q4-11,2010-05-11,6.63,05-31-2011,St George Bank
Q4-11,2010-06-01,6.66,05-31-2011,St George Bank
Q4-11,2010-06-03,6.66,05-31-2011,St George Bank
Q4-11,2010-07-13,6.29,05-31-2011,St George Bank
Q4-11,2010-08-25,6.29,05-31-2011,St George Bank
Q4-11,2010-09-28,6.32,05-31-2011,St George Bank
Q4-11,2010-11-24,6.28,05-31-2011,St George Bank
Q1-12,2010-09-28,6.24,05-31-2011,St George Bank
Q1-12,2010-11-24,6.21,05-31-2011,St George Bank
2012,2010-09-28,6.01,05-31-2011,St George Bank
2012,2010-11-24,5.98,05-31-2011,St George Bank
Q4-16,2015-12-22,6.5,11-30-2016,St George Bank
Q4-16,2016-02-01,6.6,11-30-2016,St George Bank
Q4-16,2016-03-03,6.6,11-30-2016,St George Bank
Q4-16,2016-04-05,6.6,11-30-2016,St George Bank
Q4-16,2016-05-13,6.6,11-30-2016,St George Bank
Q4-16,2016-06-03,6.6,11-30-2016,St George Bank
Q4-16,2016-06-30,6.6,11-30-2016,St George Bank
Q4-16,2016-07-11,6.6,11-30-2016,St George Bank
Q4-16,2016-10-10,6.6,11-30-2016,St George Bank
Q1-17,2016-03-03,6.6,11-30-2016,St George Bank
Q1-17,2016-04-05,6.6,11-30-2016,St George Bank
Q1-17,2016-05-13,6.6,11-30-2016,St George Bank
Q1-17,2016-06-03,6.6,11-30-2016,St George Bank
Q1-17,2016-06-30,6.6,11-30-2016,St George Bank
Q1-17,2016-07-11,6.6,11-30-2016,St George Bank
Q1-17,2016-10-10,6.6,11-30-2016,St George Bank
Q2-17,2016-06-03,6.6,11-30-2016,St George Bank
Q2-17,2016-06-30,6.6,11-30-2016,St George Bank
Q2-17,2016-07-11,6.6,11-30-2016,St George Bank
Q2-17,2016-10-10,6.6,11-30-2016,St George Bank
Q3-17,2016-10-10,6.55,11-30-2016,St George Bank
2017,2016-10-10,6.5,11-30-2016,St George Bank
Q1-11,2010-04-05,6.72,02-28-2011,St George Bank
Q1-11,2010-04-06,6.72,02-28-2011,St George Bank
