period,change_date,change,file,company
Q4-11,2009-10-12,5.7,05-31-2011,Standard Bank Group
Q4-11,2009-11-10,5.7,05-31-2011,Standard Bank Group
Q4-11,2009-12-17,5.7,05-31-2011,Standard Bank Group
Q4-11,2010-01-13,5.92,05-31-2011,Standard Bank Group
2012,2009-10-12,5.1,05-31-2011,Standard Bank Group
2012,2009-11-10,5.1,05-31-2011,Standard Bank Group
2012,2009-12-17,5.1,05-31-2011,Standard Bank Group
2012,2010-01-13,5.8,05-31-2011,Standard Bank Group
Q4-11,2009-10-12,5.7,02-28-2011,Standard Bank Group
Q4-11,2009-11-10,5.7,02-28-2011,Standard Bank Group
Q4-11,2009-12-17,5.7,02-28-2011,Standard Bank Group
Q4-11,2010-01-13,5.92,02-28-2011,Standard Bank Group
2012,2009-10-12,5.1,02-28-2011,Standard Bank Group
2012,2009-11-10,5.1,02-28-2011,Standard Bank Group
2012,2009-12-17,5.1,02-28-2011,Standard Bank Group
2012,2010-01-13,5.8,02-28-2011,Standard Bank Group
Q4-16,2014-09-22,5.7,08-31-2016,Standard Bank Group
2017,2014-09-22,5.0,08-31-2016,Standard Bank Group
Q1-10,2009-10-12,6.6,02-28-2010,Standard Bank Group
Q1-10,2009-11-10,6.6,02-28-2010,Standard Bank Group
Q1-10,2009-12-17,6.6,02-28-2010,Standard Bank Group
Q1-10,2010-01-13,6.8,02-28-2010,Standard Bank Group
Q2-10,2009-10-12,6.2,02-28-2010,Standard Bank Group
Q2-10,2009-11-10,6.2,02-28-2010,Standard Bank Group
Q2-10,2009-12-17,6.2,02-28-2010,Standard Bank Group
Q2-10,2010-01-13,6.65,02-28-2010,Standard Bank Group
Q3-10,2009-10-12,5.9,02-28-2010,Standard Bank Group
Q3-10,2009-11-10,5.9,02-28-2010,Standard Bank Group
Q3-10,2009-12-17,5.9,02-28-2010,Standard Bank Group
Q3-10,2010-01-13,6.4,02-28-2010,Standard Bank Group
Q4-10,2009-02-17,6.06,02-28-2010,Standard Bank Group
Q4-10,2009-10-12,6.2,02-28-2010,Standard Bank Group
Q4-10,2009-11-10,6.2,02-28-2010,Standard Bank Group
Q4-10,2009-12-17,5.8,02-28-2010,Standard Bank Group
Q4-10,2010-01-13,6.3,02-28-2010,Standard Bank Group
2011,2009-02-17,5.7,02-28-2010,Standard Bank Group
2011,2009-10-12,5.7,02-28-2010,Standard Bank Group
2011,2009-11-10,5.7,02-28-2010,Standard Bank Group
2011,2009-12-17,5.7,02-28-2010,Standard Bank Group
2011,2010-01-13,5.92,02-28-2010,Standard Bank Group
2012,2009-02-17,5.1,02-28-2010,Standard Bank Group
2012,2009-10-12,5.1,02-28-2010,Standard Bank Group
2012,2009-11-10,5.1,02-28-2010,Standard Bank Group
2012,2009-12-17,5.1,02-28-2010,Standard Bank Group
2012,2010-01-13,5.8,02-28-2010,Standard Bank Group
Q2-10,2009-10-12,6.2,05-31-2010,Standard Bank Group
Q2-10,2009-11-10,6.2,05-31-2010,Standard Bank Group
Q2-10,2009-12-17,6.2,05-31-2010,Standard Bank Group
Q2-10,2010-01-13,6.65,05-31-2010,Standard Bank Group
Q3-10,2009-10-12,5.9,05-31-2010,Standard Bank Group
Q3-10,2009-11-10,5.9,05-31-2010,Standard Bank Group
Q3-10,2009-12-17,5.9,05-31-2010,Standard Bank Group
Q3-10,2010-01-13,6.4,05-31-2010,Standard Bank Group
Q4-10,2009-02-17,6.06,05-31-2010,Standard Bank Group
Q4-10,2009-10-12,6.2,05-31-2010,Standard Bank Group
Q4-10,2009-11-10,6.2,05-31-2010,Standard Bank Group
Q4-10,2009-12-17,5.8,05-31-2010,Standard Bank Group
Q4-10,2010-01-13,6.3,05-31-2010,Standard Bank Group
2011,2009-02-17,5.7,05-31-2010,Standard Bank Group
2011,2009-10-12,5.7,05-31-2010,Standard Bank Group
2011,2009-11-10,5.7,05-31-2010,Standard Bank Group
2011,2009-12-17,5.7,05-31-2010,Standard Bank Group
2011,2010-01-13,5.92,05-31-2010,Standard Bank Group
2012,2009-02-17,5.1,05-31-2010,Standard Bank Group
2012,2009-10-12,5.1,05-31-2010,Standard Bank Group
2012,2009-11-10,5.1,05-31-2010,Standard Bank Group
2012,2009-12-17,5.1,05-31-2010,Standard Bank Group
2012,2010-01-13,5.8,05-31-2010,Standard Bank Group
Q3-10,2009-10-12,5.9,08-31-2010,Standard Bank Group
Q3-10,2009-11-10,5.9,08-31-2010,Standard Bank Group
Q3-10,2009-12-17,5.9,08-31-2010,Standard Bank Group
Q3-10,2010-01-13,6.4,08-31-2010,Standard Bank Group
Q4-10,2009-02-17,6.06,08-31-2010,Standard Bank Group
Q4-10,2009-10-12,6.2,08-31-2010,Standard Bank Group
Q4-10,2009-11-10,6.2,08-31-2010,Standard Bank Group
Q4-10,2009-12-17,5.8,08-31-2010,Standard Bank Group
Q4-10,2010-01-13,6.3,08-31-2010,Standard Bank Group
2011,2009-02-17,5.7,08-31-2010,Standard Bank Group
2011,2009-10-12,5.7,08-31-2010,Standard Bank Group
2011,2009-11-10,5.7,08-31-2010,Standard Bank Group
2011,2009-12-17,5.7,08-31-2010,Standard Bank Group
2011,2010-01-13,5.92,08-31-2010,Standard Bank Group
2012,2009-02-17,5.1,08-31-2010,Standard Bank Group
2012,2009-10-12,5.1,08-31-2010,Standard Bank Group
2012,2009-11-10,5.1,08-31-2010,Standard Bank Group
2012,2009-12-17,5.1,08-31-2010,Standard Bank Group
2012,2010-01-13,5.8,08-31-2010,Standard Bank Group
Q4-10,2009-02-17,6.06,11-30-2010,Standard Bank Group
Q4-10,2009-10-12,6.2,11-30-2010,Standard Bank Group
Q4-10,2009-11-10,6.2,11-30-2010,Standard Bank Group
Q4-10,2009-12-17,5.8,11-30-2010,Standard Bank Group
Q4-10,2010-01-13,6.3,11-30-2010,Standard Bank Group
2011,2009-02-17,5.7,11-30-2010,Standard Bank Group
2011,2009-10-12,5.7,11-30-2010,Standard Bank Group
2011,2009-11-10,5.7,11-30-2010,Standard Bank Group
2011,2009-12-17,5.7,11-30-2010,Standard Bank Group
2011,2010-01-13,5.92,11-30-2010,Standard Bank Group
2012,2009-02-17,5.1,11-30-2010,Standard Bank Group
2012,2009-10-12,5.1,11-30-2010,Standard Bank Group
2012,2009-11-10,5.1,11-30-2010,Standard Bank Group
2012,2009-12-17,5.1,11-30-2010,Standard Bank Group
2012,2010-01-13,5.8,11-30-2010,Standard Bank Group
Q4-11,2009-12-17,5.7,11-30-2011,Standard Bank Group
Q4-11,2010-01-13,5.92,11-30-2011,Standard Bank Group
2012,2009-12-17,5.1,11-30-2011,Standard Bank Group
2012,2010-01-13,5.8,11-30-2011,Standard Bank Group
Q4-16,2014-09-22,5.7,05-31-2016,Standard Bank Group
2017,2014-09-22,5.0,05-31-2016,Standard Bank Group
Q4-11,2009-10-12,5.7,08-31-2011,Standard Bank Group
Q4-11,2009-11-10,5.7,08-31-2011,Standard Bank Group
Q4-11,2009-12-17,5.7,08-31-2011,Standard Bank Group
Q4-11,2010-01-13,5.92,08-31-2011,Standard Bank Group
2012,2009-10-12,5.1,08-31-2011,Standard Bank Group
2012,2009-11-10,5.1,08-31-2011,Standard Bank Group
2012,2009-12-17,5.1,08-31-2011,Standard Bank Group
2012,2010-01-13,5.8,08-31-2011,Standard Bank Group
Q4-16,2014-09-22,5.7,02-28-2016,Standard Bank Group
2017,2014-09-22,5.0,02-28-2016,Standard Bank Group
Q1-15,2014-09-22,6.08,02-28-2015,Standard Bank Group
Q2-15,2014-09-22,6.05,02-28-2015,Standard Bank Group
Q3-15,2014-09-22,6.03,02-28-2015,Standard Bank Group
Q4-15,2013-08-08,5.8,02-28-2015,Standard Bank Group
Q4-15,2013-12-17,5.7,02-28-2015,Standard Bank Group
Q4-15,2014-09-22,6.0,02-28-2015,Standard Bank Group
2016,2013-08-08,5.4,02-28-2015,Standard Bank Group
2016,2013-12-17,5.4,02-28-2015,Standard Bank Group
2016,2014-09-22,5.7,02-28-2015,Standard Bank Group
2017,2013-08-08,5.0,02-28-2015,Standard Bank Group
2017,2013-12-17,5.0,02-28-2015,Standard Bank Group
2017,2014-09-22,5.0,02-28-2015,Standard Bank Group
Q2-15,2014-09-22,6.05,05-31-2015,Standard Bank Group
Q3-15,2014-09-22,6.03,05-31-2015,Standard Bank Group
Q4-15,2013-08-08,5.8,05-31-2015,Standard Bank Group
Q4-15,2013-12-17,5.7,05-31-2015,Standard Bank Group
Q4-15,2014-09-22,6.0,05-31-2015,Standard Bank Group
2016,2013-08-08,5.4,05-31-2015,Standard Bank Group
2016,2013-12-17,5.4,05-31-2015,Standard Bank Group
2016,2014-09-22,5.7,05-31-2015,Standard Bank Group
2017,2013-08-08,5.0,05-31-2015,Standard Bank Group
2017,2013-12-17,5.0,05-31-2015,Standard Bank Group
2017,2014-09-22,5.0,05-31-2015,Standard Bank Group
Q3-09,2009-02-17,6.35,08-31-2009,Standard Bank Group
Q4-09,2009-02-17,6.25,08-31-2009,Standard Bank Group
2010,2009-02-17,6.06,08-31-2009,Standard Bank Group
2011,2009-02-17,5.7,08-31-2009,Standard Bank Group
2012,2009-02-17,5.1,08-31-2009,Standard Bank Group
Q2-14,2013-08-08,6.1,05-31-2014,Standard Bank Group
Q2-14,2013-12-17,5.95,05-31-2014,Standard Bank Group
Q3-14,2013-12-17,5.9,05-31-2014,Standard Bank Group
Q4-14,2013-08-08,5.9,05-31-2014,Standard Bank Group
Q4-14,2013-12-17,5.85,05-31-2014,Standard Bank Group
2015,2013-08-08,5.8,05-31-2014,Standard Bank Group
2015,2013-12-17,5.7,05-31-2014,Standard Bank Group
2016,2013-08-08,5.4,05-31-2014,Standard Bank Group
2016,2013-12-17,5.4,05-31-2014,Standard Bank Group
2017,2013-08-08,5.0,05-31-2014,Standard Bank Group
2017,2013-12-17,5.0,05-31-2014,Standard Bank Group
Q4-13,2013-08-08,6.17,11-30-2013,Standard Bank Group
Q1-14,2013-08-08,6.12,11-30-2013,Standard Bank Group
Q2-14,2013-08-08,6.1,11-30-2013,Standard Bank Group
2014,2013-08-08,5.9,11-30-2013,Standard Bank Group
2015,2013-08-08,5.8,11-30-2013,Standard Bank Group
2016,2013-08-08,5.4,11-30-2013,Standard Bank Group
2017,2013-08-08,5.0,11-30-2013,Standard Bank Group
Q1-14,2013-08-08,6.12,02-28-2014,Standard Bank Group
Q1-14,2013-12-17,6.03,02-28-2014,Standard Bank Group
Q2-14,2013-08-08,6.1,02-28-2014,Standard Bank Group
Q2-14,2013-12-17,5.95,02-28-2014,Standard Bank Group
Q3-14,2013-12-17,5.9,02-28-2014,Standard Bank Group
Q4-14,2013-08-08,5.9,02-28-2014,Standard Bank Group
Q4-14,2013-12-17,5.85,02-28-2014,Standard Bank Group
2015,2013-08-08,5.8,02-28-2014,Standard Bank Group
2015,2013-12-17,5.7,02-28-2014,Standard Bank Group
2016,2013-08-08,5.4,02-28-2014,Standard Bank Group
2016,2013-12-17,5.4,02-28-2014,Standard Bank Group
2017,2013-08-08,5.0,02-28-2014,Standard Bank Group
2017,2013-12-17,5.0,02-28-2014,Standard Bank Group
Q3-13,2013-08-08,6.13,08-31-2013,Standard Bank Group
Q4-13,2013-08-08,6.17,08-31-2013,Standard Bank Group
Q1-14,2013-08-08,6.12,08-31-2013,Standard Bank Group
Q2-14,2013-08-08,6.1,08-31-2013,Standard Bank Group
2014,2013-08-08,5.9,08-31-2013,Standard Bank Group
2015,2013-08-08,5.8,08-31-2013,Standard Bank Group
2016,2013-08-08,5.4,08-31-2013,Standard Bank Group
2017,2013-08-08,5.0,08-31-2013,Standard Bank Group
Q4-09,2009-02-17,6.25,11-30-2009,Standard Bank Group
Q4-09,2009-10-12,6.75,11-30-2009,Standard Bank Group
Q4-09,2009-11-10,6.75,11-30-2009,Standard Bank Group
Q1-10,2009-10-12,6.6,11-30-2009,Standard Bank Group
Q1-10,2009-11-10,6.6,11-30-2009,Standard Bank Group
Q2-10,2009-10-12,6.2,11-30-2009,Standard Bank Group
Q2-10,2009-11-10,6.2,11-30-2009,Standard Bank Group
Q3-10,2009-10-12,5.9,11-30-2009,Standard Bank Group
Q3-10,2009-11-10,5.9,11-30-2009,Standard Bank Group
2010,2009-02-17,6.06,11-30-2009,Standard Bank Group
2010,2009-10-12,6.2,11-30-2009,Standard Bank Group
2010,2009-11-10,6.2,11-30-2009,Standard Bank Group
2011,2009-02-17,5.7,11-30-2009,Standard Bank Group
2011,2009-10-12,5.7,11-30-2009,Standard Bank Group
2011,2009-11-10,5.7,11-30-2009,Standard Bank Group
2012,2009-02-17,5.1,11-30-2009,Standard Bank Group
2012,2009-10-12,5.1,11-30-2009,Standard Bank Group
2012,2009-11-10,5.1,11-30-2009,Standard Bank Group
Q4-14,2013-08-08,5.9,11-30-2014,Standard Bank Group
Q4-14,2013-12-17,5.85,11-30-2014,Standard Bank Group
Q4-14,2014-09-22,6.1,11-30-2014,Standard Bank Group
Q1-15,2014-09-22,6.08,11-30-2014,Standard Bank Group
Q2-15,2014-09-22,6.05,11-30-2014,Standard Bank Group
Q3-15,2014-09-22,6.03,11-30-2014,Standard Bank Group
2015,2013-08-08,5.8,11-30-2014,Standard Bank Group
2015,2013-12-17,5.7,11-30-2014,Standard Bank Group
2015,2014-09-22,6.0,11-30-2014,Standard Bank Group
2016,2013-08-08,5.4,11-30-2014,Standard Bank Group
2016,2013-12-17,5.4,11-30-2014,Standard Bank Group
2016,2014-09-22,5.7,11-30-2014,Standard Bank Group
2017,2013-08-08,5.0,11-30-2014,Standard Bank Group
2017,2013-12-17,5.0,11-30-2014,Standard Bank Group
2017,2014-09-22,5.0,11-30-2014,Standard Bank Group
Q1-09,2009-02-17,6.8,02-28-2009,Standard Bank Group
Q2-09,2009-02-17,6.55,02-28-2009,Standard Bank Group
Q3-09,2009-02-17,6.35,02-28-2009,Standard Bank Group
Q4-09,2009-02-17,6.25,02-28-2009,Standard Bank Group
2010,2009-02-17,6.06,02-28-2009,Standard Bank Group
2011,2009-02-17,5.7,02-28-2009,Standard Bank Group
2012,2009-02-17,5.1,02-28-2009,Standard Bank Group
Q4-14,2013-08-08,5.9,08-31-2014,Standard Bank Group
Q4-14,2013-12-17,5.85,08-31-2014,Standard Bank Group
2015,2013-08-08,5.8,08-31-2014,Standard Bank Group
2015,2013-12-17,5.7,08-31-2014,Standard Bank Group
2016,2013-08-08,5.4,08-31-2014,Standard Bank Group
2016,2013-12-17,5.4,08-31-2014,Standard Bank Group
2017,2013-08-08,5.0,08-31-2014,Standard Bank Group
2017,2013-12-17,5.0,08-31-2014,Standard Bank Group
Q2-09,2009-02-17,6.55,05-31-2009,Standard Bank Group
Q3-09,2009-02-17,6.35,05-31-2009,Standard Bank Group
Q4-09,2009-02-17,6.25,05-31-2009,Standard Bank Group
2010,2009-02-17,6.06,05-31-2009,Standard Bank Group
2011,2009-02-17,5.7,05-31-2009,Standard Bank Group
2012,2009-02-17,5.1,05-31-2009,Standard Bank Group
Q3-15,2014-09-22,6.03,08-31-2015,Standard Bank Group
Q4-15,2013-12-17,5.7,08-31-2015,Standard Bank Group
Q4-15,2014-09-22,6.0,08-31-2015,Standard Bank Group
2016,2013-12-17,5.4,08-31-2015,Standard Bank Group
2016,2014-09-22,5.7,08-31-2015,Standard Bank Group
2017,2013-12-17,5.0,08-31-2015,Standard Bank Group
2017,2014-09-22,5.0,08-31-2015,Standard Bank Group
Q4-15,2013-12-17,5.7,11-30-2015,Standard Bank Group
Q4-15,2014-09-22,6.0,11-30-2015,Standard Bank Group
2016,2013-12-17,5.4,11-30-2015,Standard Bank Group
2016,2014-09-22,5.7,11-30-2015,Standard Bank Group
2017,2013-12-17,5.0,11-30-2015,Standard Bank Group
2017,2014-09-22,5.0,11-30-2015,Standard Bank Group
