period,change_date,change,file,company
Q2-07,2006-04-03,7.75,05-31-2007,Standard Chartered
Q2-07,2006-04-21,7.75,05-31-2007,Standard Chartered
Q2-07,2006-05-04,7.75,05-31-2007,Standard Chartered
Q2-07,2006-06-09,7.75,05-31-2007,Standard Chartered
Q2-07,2006-08-04,7.75,05-31-2007,Standard Chartered
Q2-07,2006-09-13,7.75,05-31-2007,Standard Chartered
Q2-07,2006-10-19,7.78,05-31-2007,Standard Chartered
Q2-07,2006-11-01,7.75,05-31-2007,Standard Chartered
Q2-07,2006-12-07,7.75,05-31-2007,Standard Chartered
Q2-07,2007-01-12,7.67,05-31-2007,Standard Chartered
Q2-07,2007-03-08,7.64,05-31-2007,Standard Chartered
Q2-07,2007-04-04,7.64,05-31-2007,Standard Chartered
Q2-07,2007-05-08,7.64,05-31-2007,Standard Chartered
Q3-07,2006-08-04,7.65,05-31-2007,Standard Chartered
Q3-07,2006-09-13,7.65,05-31-2007,Standard Chartered
Q3-07,2006-10-19,7.75,05-31-2007,Standard Chartered
Q3-07,2006-11-01,7.65,05-31-2007,Standard Chartered
Q3-07,2006-12-07,7.65,05-31-2007,Standard Chartered
Q3-07,2007-01-12,7.59,05-31-2007,Standard Chartered
Q3-07,2007-03-08,7.57,05-31-2007,Standard Chartered
Q3-07,2007-04-04,7.57,05-31-2007,Standard Chartered
Q3-07,2007-05-08,7.57,05-31-2007,Standard Chartered
Q4-07,2006-10-19,7.65,05-31-2007,Standard Chartered
Q4-07,2006-11-01,7.56,05-31-2007,Standard Chartered
Q4-07,2006-12-07,7.56,05-31-2007,Standard Chartered
Q4-07,2007-01-12,7.49,05-31-2007,Standard Chartered
Q4-07,2007-03-08,7.49,05-31-2007,Standard Chartered
Q4-07,2007-04-04,7.49,05-31-2007,Standard Chartered
Q4-07,2007-05-08,7.49,05-31-2007,Standard Chartered
Q1-08,2007-01-12,7.4,05-31-2007,Standard Chartered
Q1-08,2007-03-08,7.4,05-31-2007,Standard Chartered
Q1-08,2007-04-04,7.4,05-31-2007,Standard Chartered
Q1-08,2007-05-08,7.4,05-31-2007,Standard Chartered
2008,2006-10-19,7.56,05-31-2007,Standard Chartered
Q2-11,2010-05-07,6.6,05-31-2011,Standard Chartered
Q2-11,2010-06-28,6.56,05-31-2011,Standard Chartered
Q2-11,2010-07-02,6.56,05-31-2011,Standard Chartered
Q2-11,2010-07-22,6.49,05-31-2011,Standard Chartered
Q2-11,2010-07-30,6.49,05-31-2011,Standard Chartered
Q2-11,2010-08-06,6.49,05-31-2011,Standard Chartered
Q2-11,2010-08-13,6.49,05-31-2011,Standard Chartered
Q2-11,2010-08-20,6.49,05-31-2011,Standard Chartered
Q2-11,2010-08-27,6.49,05-31-2011,Standard Chartered
Q2-11,2010-09-03,6.49,05-31-2011,Standard Chartered
Q2-11,2010-09-08,6.64,05-31-2011,Standard Chartered
Q2-11,2010-09-10,6.49,05-31-2011,Standard Chartered
Q2-11,2010-09-17,6.49,05-31-2011,Standard Chartered
Q2-11,2010-09-24,6.49,05-31-2011,Standard Chartered
Q2-11,2010-10-01,6.5,05-31-2011,Standard Chartered
Q2-11,2010-10-08,6.5,05-31-2011,Standard Chartered
Q2-11,2010-10-15,6.5,05-31-2011,Standard Chartered
Q2-11,2010-10-22,6.5,05-31-2011,Standard Chartered
Q2-11,2010-10-25,6.5,05-31-2011,Standard Chartered
Q2-11,2010-10-29,6.5,05-31-2011,Standard Chartered
Q2-11,2010-11-05,6.5,05-31-2011,Standard Chartered
Q2-11,2010-11-12,6.5,05-31-2011,Standard Chartered
Q2-11,2010-11-19,6.5,05-31-2011,Standard Chartered
Q2-11,2010-11-26,6.37,05-31-2011,Standard Chartered
Q2-11,2010-11-30,6.37,05-31-2011,Standard Chartered
Q2-11,2010-12-02,6.37,05-31-2011,Standard Chartered
Q2-11,2010-12-10,6.37,05-31-2011,Standard Chartered
Q2-11,2010-12-31,6.37,05-31-2011,Standard Chartered
Q2-11,2011-01-14,6.37,05-31-2011,Standard Chartered
Q2-11,2011-01-21,6.37,05-31-2011,Standard Chartered
Q2-11,2011-01-28,6.37,05-31-2011,Standard Chartered
Q2-11,2011-02-04,6.37,05-31-2011,Standard Chartered
Q2-11,2011-02-11,6.37,05-31-2011,Standard Chartered
Q2-11,2011-03-18,6.42,05-31-2011,Standard Chartered
Q2-11,2011-04-11,6.46,05-31-2011,Standard Chartered
Q2-11,2011-05-13,6.42,05-31-2011,Standard Chartered
Q3-11,2010-07-22,6.42,05-31-2011,Standard Chartered
Q3-11,2010-07-30,6.42,05-31-2011,Standard Chartered
Q3-11,2010-08-06,6.42,05-31-2011,Standard Chartered
Q3-11,2010-08-13,6.42,05-31-2011,Standard Chartered
Q3-11,2010-08-20,6.42,05-31-2011,Standard Chartered
Q3-11,2010-08-27,6.42,05-31-2011,Standard Chartered
Q3-11,2010-09-03,6.42,05-31-2011,Standard Chartered
Q3-11,2010-09-08,6.57,05-31-2011,Standard Chartered
Q3-11,2010-09-10,6.42,05-31-2011,Standard Chartered
Q3-11,2010-09-17,6.42,05-31-2011,Standard Chartered
Q3-11,2010-09-24,6.42,05-31-2011,Standard Chartered
