period,change_date,change,file,company
Q4-16,2015-10-22,6.6,11-30-2016,Swedbank
Q4-16,2015-11-27,6.6,11-30-2016,Swedbank
Q4-16,2016-01-08,6.78,11-30-2016,Swedbank
Q4-16,2016-02-15,6.69,11-30-2016,Swedbank
Q4-16,2016-04-29,6.68,11-30-2016,Swedbank
Q4-16,2016-06-03,6.68,11-30-2016,Swedbank
Q4-16,2016-06-29,6.75,11-30-2016,Swedbank
Q4-16,2016-08-16,6.74,11-30-2016,Swedbank
Q4-16,2016-09-05,6.73,11-30-2016,Swedbank
Q4-16,2016-10-10,6.73,11-30-2016,Swedbank
Q1-17,2016-04-29,6.74,11-30-2016,Swedbank
Q1-17,2016-06-03,6.73,11-30-2016,Swedbank
Q1-17,2016-06-29,6.8,11-30-2016,Swedbank
Q1-17,2016-08-16,6.79,11-30-2016,Swedbank
Q1-17,2016-09-05,6.78,11-30-2016,Swedbank
Q1-17,2016-10-10,6.8,11-30-2016,Swedbank
Q2-17,2016-06-03,6.78,11-30-2016,Swedbank
Q2-17,2016-06-29,6.85,11-30-2016,Swedbank
Q2-17,2016-08-16,6.84,11-30-2016,Swedbank
Q2-17,2016-09-05,6.83,11-30-2016,Swedbank
Q2-17,2016-10-10,6.85,11-30-2016,Swedbank
Q3-17,2016-09-05,6.88,11-30-2016,Swedbank
Q3-17,2016-10-10,6.9,11-30-2016,Swedbank
2017,2015-10-22,6.9,11-30-2016,Swedbank
2017,2016-06-03,7.05,11-30-2016,Swedbank
2017,2016-06-29,7.12,11-30-2016,Swedbank
2017,2016-08-16,7.11,11-30-2016,Swedbank
Q3-16,2015-09-11,6.6,08-31-2016,Swedbank
Q3-16,2015-10-22,6.54,08-31-2016,Swedbank
Q3-16,2015-11-27,6.55,08-31-2016,Swedbank
Q3-16,2016-01-08,6.71,08-31-2016,Swedbank
Q3-16,2016-02-15,6.62,08-31-2016,Swedbank
Q3-16,2016-04-29,6.61,08-31-2016,Swedbank
Q3-16,2016-06-03,6.65,08-31-2016,Swedbank
Q3-16,2016-06-29,6.69,08-31-2016,Swedbank
Q3-16,2016-08-16,6.73,08-31-2016,Swedbank
Q4-16,2015-10-22,6.6,08-31-2016,Swedbank
Q4-16,2015-11-27,6.6,08-31-2016,Swedbank
Q4-16,2016-01-08,6.78,08-31-2016,Swedbank
Q4-16,2016-02-15,6.69,08-31-2016,Swedbank
Q4-16,2016-04-29,6.68,08-31-2016,Swedbank
Q4-16,2016-06-03,6.68,08-31-2016,Swedbank
Q4-16,2016-06-29,6.75,08-31-2016,Swedbank
Q4-16,2016-08-16,6.74,08-31-2016,Swedbank
Q1-17,2016-04-29,6.74,08-31-2016,Swedbank
Q1-17,2016-06-03,6.73,08-31-2016,Swedbank
Q1-17,2016-06-29,6.8,08-31-2016,Swedbank
Q1-17,2016-08-16,6.79,08-31-2016,Swedbank
Q2-17,2016-06-03,6.78,08-31-2016,Swedbank
Q2-17,2016-06-29,6.85,08-31-2016,Swedbank
Q2-17,2016-08-16,6.84,08-31-2016,Swedbank
2017,2015-10-22,6.9,08-31-2016,Swedbank
2017,2016-06-03,7.05,08-31-2016,Swedbank
2017,2016-06-29,7.12,08-31-2016,Swedbank
2017,2016-08-16,7.11,08-31-2016,Swedbank
Q4-21,2021-03-03,6.4,11-30-2021,Swedbank
Q4-21,2021-03-04,6.4,11-30-2021,Swedbank
2022,2021-03-03,6.3,11-30-2021,Swedbank
2022,2021-03-04,6.3,11-30-2021,Swedbank
2023,2021-03-03,6.1,11-30-2021,Swedbank
2023,2021-03-04,6.1,11-30-2021,Swedbank
2024,2021-03-03,6.0,11-30-2021,Swedbank
2024,2021-03-04,6.0,11-30-2021,Swedbank
Q3-17,2016-09-05,6.88,08-31-2017,Swedbank
Q3-17,2016-10-10,6.9,08-31-2017,Swedbank
Q3-17,2016-12-06,7.08,08-31-2017,Swedbank
Q3-17,2017-01-16,7.17,08-31-2017,Swedbank
Q3-17,2017-02-20,7.07,08-31-2017,Swedbank
Q4-17,2015-10-22,6.9,08-31-2017,Swedbank
Q4-17,2016-06-03,7.05,08-31-2017,Swedbank
Q4-17,2016-06-29,7.12,08-31-2017,Swedbank
Q4-17,2016-08-16,7.11,08-31-2017,Swedbank
Q4-17,2016-12-06,7.19,08-31-2017,Swedbank
Q4-17,2017-01-16,7.25,08-31-2017,Swedbank
Q4-17,2017-02-20,7.17,08-31-2017,Swedbank
Q4-17,2016-06-03,7.05,11-30-2017,Swedbank
Q4-17,2016-06-29,7.12,11-30-2017,Swedbank
Q4-17,2016-08-16,7.11,11-30-2017,Swedbank
Q4-17,2016-12-06,7.19,11-30-2017,Swedbank
Q4-17,2017-01-16,7.25,11-30-2017,Swedbank
Q4-17,2017-02-20,7.17,11-30-2017,Swedbank
Q1-17,2016-04-29,6.74,02-28-2017,Swedbank
Q1-17,2016-06-03,6.73,02-28-2017,Swedbank
Q1-17,2016-06-29,6.8,02-28-2017,Swedbank
Q1-17,2016-08-16,6.79,02-28-2017,Swedbank
Q1-17,2016-09-05,6.78,02-28-2017,Swedbank
Q1-17,2016-10-10,6.8,02-28-2017,Swedbank
Q1-17,2016-12-06,6.92,02-28-2017,Swedbank
Q1-17,2017-01-16,6.99,02-28-2017,Swedbank
Q1-17,2017-02-20,6.92,02-28-2017,Swedbank
Q2-17,2016-06-03,6.78,02-28-2017,Swedbank
Q2-17,2016-06-29,6.85,02-28-2017,Swedbank
Q2-17,2016-08-16,6.84,02-28-2017,Swedbank
Q2-17,2016-09-05,6.83,02-28-2017,Swedbank
Q2-17,2016-10-10,6.85,02-28-2017,Swedbank
Q2-17,2016-12-06,7.01,02-28-2017,Swedbank
Q2-17,2017-01-16,7.07,02-28-2017,Swedbank
Q2-17,2017-02-20,6.99,02-28-2017,Swedbank
Q3-17,2016-09-05,6.88,02-28-2017,Swedbank
Q3-17,2016-10-10,6.9,02-28-2017,Swedbank
Q3-17,2016-12-06,7.08,02-28-2017,Swedbank
Q3-17,2017-01-16,7.17,02-28-2017,Swedbank
Q3-17,2017-02-20,7.07,02-28-2017,Swedbank
Q4-17,2015-10-22,6.9,02-28-2017,Swedbank
Q4-17,2016-06-03,7.05,02-28-2017,Swedbank
Q4-17,2016-06-29,7.12,02-28-2017,Swedbank
Q4-17,2016-08-16,7.11,02-28-2017,Swedbank
Q4-17,2016-12-06,7.19,02-28-2017,Swedbank
Q4-17,2017-01-16,7.25,02-28-2017,Swedbank
Q4-17,2017-02-20,7.17,02-28-2017,Swedbank
Q2-17,2016-06-03,6.78,05-31-2017,Swedbank
Q2-17,2016-06-29,6.85,05-31-2017,Swedbank
Q2-17,2016-08-16,6.84,05-31-2017,Swedbank
Q2-17,2016-09-05,6.83,05-31-2017,Swedbank
Q2-17,2016-10-10,6.85,05-31-2017,Swedbank
Q2-17,2016-12-06,7.01,05-31-2017,Swedbank
Q2-17,2017-01-16,7.07,05-31-2017,Swedbank
Q2-17,2017-02-20,6.99,05-31-2017,Swedbank
Q3-17,2016-09-05,6.88,05-31-2017,Swedbank
Q3-17,2016-10-10,6.9,05-31-2017,Swedbank
Q3-17,2016-12-06,7.08,05-31-2017,Swedbank
Q3-17,2017-01-16,7.17,05-31-2017,Swedbank
Q3-17,2017-02-20,7.07,05-31-2017,Swedbank
Q4-17,2015-10-22,6.9,05-31-2017,Swedbank
Q4-17,2016-06-03,7.05,05-31-2017,Swedbank
Q4-17,2016-06-29,7.12,05-31-2017,Swedbank
Q4-17,2016-08-16,7.11,05-31-2017,Swedbank
Q4-17,2016-12-06,7.19,05-31-2017,Swedbank
Q4-17,2017-01-16,7.25,05-31-2017,Swedbank
Q4-17,2017-02-20,7.17,05-31-2017,Swedbank
Q2-16,2015-08-03,6.09,05-31-2016,Swedbank
Q2-16,2015-09-11,6.54,05-31-2016,Swedbank
Q2-16,2015-10-22,6.48,05-31-2016,Swedbank
Q2-16,2015-11-27,6.49,05-31-2016,Swedbank
Q2-16,2016-01-08,6.65,05-31-2016,Swedbank
Q2-16,2016-02-15,6.65,05-31-2016,Swedbank
Q2-16,2016-04-29,6.58,05-31-2016,Swedbank
Q3-16,2015-09-11,6.6,05-31-2016,Swedbank
Q3-16,2015-10-22,6.54,05-31-2016,Swedbank
Q3-16,2015-11-27,6.55,05-31-2016,Swedbank
Q3-16,2016-01-08,6.71,05-31-2016,Swedbank
Q3-16,2016-02-15,6.62,05-31-2016,Swedbank
Q3-16,2016-04-29,6.61,05-31-2016,Swedbank
Q4-16,2015-10-22,6.6,05-31-2016,Swedbank
Q4-16,2015-11-27,6.6,05-31-2016,Swedbank
Q4-16,2016-01-08,6.78,05-31-2016,Swedbank
Q4-16,2016-02-15,6.69,05-31-2016,Swedbank
Q4-16,2016-04-29,6.68,05-31-2016,Swedbank
Q1-17,2016-04-29,6.74,05-31-2016,Swedbank
2017,2015-10-22,6.9,05-31-2016,Swedbank
Q1-16,2015-03-11,6.11,02-28-2016,Swedbank
Q1-16,2015-05-27,6.05,02-28-2016,Swedbank
Q1-16,2015-08-03,6.17,02-28-2016,Swedbank
Q1-16,2015-09-11,6.49,02-28-2016,Swedbank
Q1-16,2015-10-22,6.41,02-28-2016,Swedbank
Q1-16,2015-11-27,6.4,02-28-2016,Swedbank
Q1-16,2016-01-08,6.55,02-28-2016,Swedbank
Q1-16,2016-02-15,6.6,02-28-2016,Swedbank
Q2-16,2015-08-03,6.09,02-28-2016,Swedbank
Q2-16,2015-09-11,6.54,02-28-2016,Swedbank
Q2-16,2015-10-22,6.48,02-28-2016,Swedbank
Q2-16,2015-11-27,6.49,02-28-2016,Swedbank
Q2-16,2016-01-08,6.65,02-28-2016,Swedbank
Q2-16,2016-02-15,6.65,02-28-2016,Swedbank
Q3-16,2015-09-11,6.6,02-28-2016,Swedbank
Q3-16,2015-10-22,6.54,02-28-2016,Swedbank
Q3-16,2015-11-27,6.55,02-28-2016,Swedbank
Q3-16,2016-01-08,6.71,02-28-2016,Swedbank
Q3-16,2016-02-15,6.62,02-28-2016,Swedbank
Q4-16,2015-10-22,6.6,02-28-2016,Swedbank
Q4-16,2015-11-27,6.6,02-28-2016,Swedbank
Q4-16,2016-01-08,6.78,02-28-2016,Swedbank
Q4-16,2016-02-15,6.69,02-28-2016,Swedbank
2017,2015-10-22,6.9,02-28-2016,Swedbank
Q1-15,2014-10-21,6.05,02-28-2015,Swedbank
Q1-15,2015-01-29,6.2,02-28-2015,Swedbank
Q2-15,2014-10-21,6.01,02-28-2015,Swedbank
Q2-15,2015-01-29,6.15,02-28-2015,Swedbank
Q3-15,2014-10-21,5.97,02-28-2015,Swedbank
Q3-15,2015-01-29,6.11,02-28-2015,Swedbank
Q4-15,2015-01-29,6.07,02-28-2015,Swedbank
Q2-15,2014-10-21,6.01,05-31-2015,Swedbank
Q2-15,2015-01-29,6.15,05-31-2015,Swedbank
Q2-15,2015-03-11,6.2,05-31-2015,Swedbank
Q2-15,2015-05-27,6.17,05-31-2015,Swedbank
Q3-15,2014-10-21,5.97,05-31-2015,Swedbank
Q3-15,2015-01-29,6.11,05-31-2015,Swedbank
Q3-15,2015-03-11,6.19,05-31-2015,Swedbank
Q3-15,2015-05-27,6.13,05-31-2015,Swedbank
Q4-15,2015-01-29,6.07,05-31-2015,Swedbank
Q4-15,2015-03-11,6.15,05-31-2015,Swedbank
Q4-15,2015-05-27,6.09,05-31-2015,Swedbank
Q1-16,2015-03-11,6.11,05-31-2015,Swedbank
Q1-16,2015-05-27,6.05,05-31-2015,Swedbank
Q4-22,2021-03-03,6.3,02-28-2022,Swedbank
Q4-22,2021-03-04,6.3,02-28-2022,Swedbank
2023,2021-03-03,6.1,02-28-2022,Swedbank
2023,2021-03-04,6.1,02-28-2022,Swedbank
2024,2021-03-03,6.0,02-28-2022,Swedbank
2024,2021-03-04,6.0,02-28-2022,Swedbank
Q4-14,2014-10-21,6.1,11-30-2014,Swedbank
Q1-15,2014-10-21,6.05,11-30-2014,Swedbank
Q2-15,2014-10-21,6.01,11-30-2014,Swedbank
Q3-15,2014-10-21,5.97,11-30-2014,Swedbank
Q3-15,2014-10-21,5.97,08-31-2015,Swedbank
Q3-15,2015-01-29,6.11,08-31-2015,Swedbank
Q3-15,2015-03-11,6.19,08-31-2015,Swedbank
Q3-15,2015-05-27,6.13,08-31-2015,Swedbank
Q3-15,2015-08-03,6.2,08-31-2015,Swedbank
Q4-15,2015-01-29,6.07,08-31-2015,Swedbank
Q4-15,2015-03-11,6.15,08-31-2015,Swedbank
Q4-15,2015-05-27,6.09,08-31-2015,Swedbank
Q4-15,2015-08-03,6.2,08-31-2015,Swedbank
