period,change_date,change,file,company
Q4-16,2016-02-22,6.4,11-30-2016,Swissquote Bank
Q4-16,2016-04-22,6.5,11-30-2016,Swissquote Bank
Q4-16,2016-07-25,6.75,11-30-2016,Swissquote Bank
Q1-17,2016-04-22,6.4,11-30-2016,Swissquote Bank
Q1-17,2016-07-25,6.5,11-30-2016,Swissquote Bank
Q3-16,2015-09-30,6.36,08-31-2016,Swissquote Bank
Q3-16,2015-10-30,6.22,08-31-2016,Swissquote Bank
Q3-16,2016-02-22,6.45,08-31-2016,Swissquote Bank
Q3-16,2016-04-22,6.42,08-31-2016,Swissquote Bank
Q3-16,2016-07-25,6.65,08-31-2016,Swissquote Bank
Q4-16,2016-02-22,6.4,08-31-2016,Swissquote Bank
Q4-16,2016-04-22,6.5,08-31-2016,Swissquote Bank
Q4-16,2016-07-25,6.75,08-31-2016,Swissquote Bank
Q1-17,2016-04-22,6.4,08-31-2016,Swissquote Bank
Q1-17,2016-07-25,6.5,08-31-2016,Swissquote Bank
Q3-17,2016-12-08,6.6,08-31-2017,Swissquote Bank
Q4-17,2016-12-08,6.55,08-31-2017,Swissquote Bank
Q4-17,2016-12-08,6.55,11-30-2017,Swissquote Bank
Q1-17,2016-04-22,6.4,02-28-2017,Swissquote Bank
Q1-17,2016-07-25,6.5,02-28-2017,Swissquote Bank
Q1-17,2016-12-08,6.8,02-28-2017,Swissquote Bank
Q2-17,2016-12-08,6.7,02-28-2017,Swissquote Bank
Q3-17,2016-12-08,6.6,02-28-2017,Swissquote Bank
Q4-17,2016-12-08,6.55,02-28-2017,Swissquote Bank
Q2-17,2016-12-08,6.7,05-31-2017,Swissquote Bank
Q3-17,2016-12-08,6.6,05-31-2017,Swissquote Bank
Q4-17,2016-12-08,6.55,05-31-2017,Swissquote Bank
Q2-16,2015-08-12,6.2,05-31-2016,Swissquote Bank
Q2-16,2015-09-30,6.4,05-31-2016,Swissquote Bank
Q2-16,2015-10-30,6.25,05-31-2016,Swissquote Bank
Q2-16,2016-02-22,6.5,05-31-2016,Swissquote Bank
Q2-16,2016-04-22,6.45,05-31-2016,Swissquote Bank
Q3-16,2015-09-30,6.36,05-31-2016,Swissquote Bank
Q3-16,2015-10-30,6.22,05-31-2016,Swissquote Bank
Q3-16,2016-02-22,6.45,05-31-2016,Swissquote Bank
Q3-16,2016-04-22,6.42,05-31-2016,Swissquote Bank
Q4-16,2016-02-22,6.4,05-31-2016,Swissquote Bank
Q4-16,2016-04-22,6.5,05-31-2016,Swissquote Bank
Q1-17,2016-04-22,6.4,05-31-2016,Swissquote Bank
Q1-16,2015-04-13,6.14,02-28-2016,Swissquote Bank
Q1-16,2015-05-27,6.14,02-28-2016,Swissquote Bank
