period,change_date,change,file,company
Q2-07,2007-01-11,7.65,05-31-2007,TD Securities
Q2-07,2007-02-01,7.65,05-31-2007,TD Securities
Q2-07,2007-02-22,7.65,05-31-2007,TD Securities
Q2-07,2007-03-01,7.65,05-31-2007,TD Securities
Q2-07,2007-03-15,7.65,05-31-2007,TD Securities
Q2-07,2007-03-29,7.65,05-31-2007,TD Securities
Q2-07,2007-04-04,7.65,05-31-2007,TD Securities
Q2-07,2007-04-12,7.65,05-31-2007,TD Securities
Q2-07,2007-04-19,7.65,05-31-2007,TD Securities
Q2-07,2007-04-27,7.65,05-31-2007,TD Securities
Q2-07,2007-05-24,7.65,05-31-2007,TD Securities
Q3-07,2007-01-11,7.55,05-31-2007,TD Securities
Q3-07,2007-02-01,7.55,05-31-2007,TD Securities
Q3-07,2007-02-22,7.55,05-31-2007,TD Securities
Q3-07,2007-03-01,7.55,05-31-2007,TD Securities
Q3-07,2007-03-15,7.55,05-31-2007,TD Securities
Q3-07,2007-03-29,7.55,05-31-2007,TD Securities
Q3-07,2007-04-04,7.55,05-31-2007,TD Securities
Q3-07,2007-04-12,7.55,05-31-2007,TD Securities
Q3-07,2007-04-19,7.55,05-31-2007,TD Securities
Q3-07,2007-04-27,7.55,05-31-2007,TD Securities
Q3-07,2007-05-24,7.55,05-31-2007,TD Securities
Q4-07,2007-01-11,7.5,05-31-2007,TD Securities
Q4-07,2007-02-01,7.5,05-31-2007,TD Securities
Q4-07,2007-02-22,7.5,05-31-2007,TD Securities
Q4-07,2007-03-01,7.5,05-31-2007,TD Securities
Q4-07,2007-03-15,7.5,05-31-2007,TD Securities
Q4-07,2007-03-29,7.5,05-31-2007,TD Securities
Q4-07,2007-04-04,7.5,05-31-2007,TD Securities
Q4-07,2007-04-12,7.5,05-31-2007,TD Securities
Q4-07,2007-04-19,7.5,05-31-2007,TD Securities
Q4-07,2007-04-27,7.5,05-31-2007,TD Securities
Q4-07,2007-05-24,7.5,05-31-2007,TD Securities
Q1-08,2007-03-01,7.45,05-31-2007,TD Securities
Q1-08,2007-03-15,7.45,05-31-2007,TD Securities
Q1-08,2007-03-29,7.45,05-31-2007,TD Securities
Q1-08,2007-04-04,7.45,05-31-2007,TD Securities
Q1-08,2007-04-12,7.45,05-31-2007,TD Securities
Q1-08,2007-04-19,7.45,05-31-2007,TD Securities
Q1-08,2007-04-27,7.45,05-31-2007,TD Securities
Q1-08,2007-05-24,7.45,05-31-2007,TD Securities
2008,2007-01-11,7.3,05-31-2007,TD Securities
2008,2007-02-01,7.3,05-31-2007,TD Securities
2008,2007-02-22,7.3,05-31-2007,TD Securities
2008,2007-03-01,7.3,05-31-2007,TD Securities
2008,2007-03-15,7.3,05-31-2007,TD Securities
2008,2007-03-29,7.3,05-31-2007,TD Securities
2008,2007-04-04,7.3,05-31-2007,TD Securities
2008,2007-04-12,7.3,05-31-2007,TD Securities
2008,2007-04-19,7.3,05-31-2007,TD Securities
2008,2007-04-27,7.3,05-31-2007,TD Securities
2008,2007-05-24,7.3,05-31-2007,TD Securities
Q2-11,2010-07-16,6.6,05-31-2011,TD Securities
Q2-11,2010-08-26,6.6,05-31-2011,TD Securities
Q2-11,2010-10-04,6.6,05-31-2011,TD Securities
Q2-11,2011-01-05,6.45,05-31-2011,TD Securities
Q2-11,2011-03-03,6.4,05-31-2011,TD Securities
Q2-11,2011-04-07,6.4,05-31-2011,TD Securities
Q2-11,2011-05-20,6.4,05-31-2011,TD Securities
Q3-11,2010-10-04,6.5,05-31-2011,TD Securities
Q3-11,2011-01-05,6.4,05-31-2011,TD Securities
Q3-11,2011-03-03,6.3,05-31-2011,TD Securities
Q3-11,2011-04-07,6.3,05-31-2011,TD Securities
Q3-11,2011-05-20,6.3,05-31-2011,TD Securities
Q4-11,2009-10-16,6.65,05-31-2011,TD Securities
Q4-11,2009-11-17,6.5,05-31-2011,TD Securities
Q4-11,2009-12-17,6.5,05-31-2011,TD Securities
Q4-11,2010-01-19,6.3,05-31-2011,TD Securities
Q4-11,2010-02-18,6.3,05-31-2011,TD Securities
Q4-11,2010-04-09,6.3,05-31-2011,TD Securities
Q4-11,2010-07-16,6.4,05-31-2011,TD Securities
Q4-11,2010-08-26,6.4,05-31-2011,TD Securities
Q4-11,2010-10-04,6.4,05-31-2011,TD Securities
Q4-11,2011-01-05,6.3,05-31-2011,TD Securities
Q4-11,2011-03-03,6.2,05-31-2011,TD Securities
Q4-11,2011-04-07,6.2,05-31-2011,TD Securities
Q4-11,2011-05-20,6.2,05-31-2011,TD Securities
Q1-12,2011-04-07,6.1,05-31-2011,TD Securities
Q1-12,2011-05-20,6.1,05-31-2011,TD Securities
2012,2009-10-16,6.6,05-31-2011,TD Securities
2012,2010-10-04,6.3,05-31-2011,TD Securities
2012,2011-01-05,6.15,05-31-2011,TD Securities
2012,2011-03-03,5.8,05-31-2011,TD Securities
2012,2011-04-07,5.8,05-31-2011,TD Securities
2012,2011-05-20,5.8,05-31-2011,TD Securities
2013,2009-10-16,6.55,05-31-2011,TD Securities
2014,2009-10-16,6.5,05-31-2011,TD Securities
Q3-20,2019-09-09,7.2,08-31-2020,TD Securities
Q3-20,2019-10-03,7.3,08-31-2020,TD Securities
Q3-20,2019-11-22,6.85,08-31-2020,TD Securities
Q3-20,2020-04-20,7.2,08-31-2020,TD Securities
Q4-20,2019-04-25,6.3,08-31-2020,TD Securities
Q4-20,2019-05-30,6.9,08-31-2020,TD Securities
Q4-20,2019-06-07,6.9,08-31-2020,TD Securities
Q4-20,2019-09-09,7.15,08-31-2020,TD Securities
Q4-20,2019-10-03,7.25,08-31-2020,TD Securities
Q4-20,2019-11-22,6.9,08-31-2020,TD Securities
Q4-20,2020-04-20,7.15,08-31-2020,TD Securities
Q1-21,2020-04-20,7.0,08-31-2020,TD Securities
2021,2019-11-22,6.65,08-31-2020,TD Securities
2021,2020-04-20,6.75,08-31-2020,TD Securities
Q4-16,2015-10-21,6.75,11-30-2016,TD Securities
2017,2015-10-21,6.75,11-30-2016,TD Securities
Q1-11,2010-04-09,6.55,02-28-2011,TD Securities
Q1-11,2010-07-16,6.65,02-28-2011,TD Securities
Q1-11,2010-08-26,6.65,02-28-2011,TD Securities
Q1-11,2010-10-04,6.65,02-28-2011,TD Securities
Q1-11,2011-01-05,6.6,02-28-2011,TD Securities
Q2-11,2010-07-16,6.6,02-28-2011,TD Securities
Q2-11,2010-08-26,6.6,02-28-2011,TD Securities
Q2-11,2010-10-04,6.6,02-28-2011,TD Securities
Q2-11,2011-01-05,6.45,02-28-2011,TD Securities
Q3-11,2010-10-04,6.5,02-28-2011,TD Securities
Q3-11,2011-01-05,6.4,02-28-2011,TD Securities
Q4-11,2009-10-16,6.65,02-28-2011,TD Securities
Q4-11,2009-11-17,6.5,02-28-2011,TD Securities
Q4-11,2009-12-17,6.5,02-28-2011,TD Securities
Q4-11,2010-01-19,6.3,02-28-2011,TD Securities
Q4-11,2010-02-18,6.3,02-28-2011,TD Securities
Q4-11,2010-04-09,6.3,02-28-2011,TD Securities
Q4-11,2010-07-16,6.4,02-28-2011,TD Securities
Q4-11,2010-08-26,6.4,02-28-2011,TD Securities
Q4-11,2010-10-04,6.4,02-28-2011,TD Securities
Q4-11,2011-01-05,6.3,02-28-2011,TD Securities
