period,change_date,change,file,company
Q4-16,2015-12-22,6.57,11-30-2016,Thai Military Bank
Q4-16,2016-01-25,6.8,11-30-2016,Thai Military Bank
Q4-16,2016-02-16,6.8,11-30-2016,Thai Military Bank
Q4-16,2016-03-18,6.8,11-30-2016,Thai Military Bank
Q4-16,2016-04-20,6.7,11-30-2016,Thai Military Bank
Q4-16,2016-05-24,6.7,11-30-2016,Thai Military Bank
Q4-16,2016-06-28,6.7,11-30-2016,Thai Military Bank
Q4-16,2016-07-22,6.7,11-30-2016,Thai Military Bank
Q4-16,2016-08-26,6.7,11-30-2016,Thai Military Bank
Q4-16,2016-09-23,6.7,11-30-2016,Thai Military Bank
Q4-16,2016-10-25,6.8,11-30-2016,Thai Military Bank
Q4-16,2016-11-22,6.95,11-30-2016,Thai Military Bank
Q1-17,2016-03-18,6.7,11-30-2016,Thai Military Bank
Q1-17,2016-04-20,6.7,11-30-2016,Thai Military Bank
Q1-17,2016-05-24,6.7,11-30-2016,Thai Military Bank
Q1-17,2016-06-28,6.7,11-30-2016,Thai Military Bank
Q1-17,2016-07-22,6.7,11-30-2016,Thai Military Bank
Q1-17,2016-08-26,6.8,11-30-2016,Thai Military Bank
Q1-17,2016-09-23,6.7,11-30-2016,Thai Military Bank
Q1-17,2016-10-25,6.85,11-30-2016,Thai Military Bank
Q1-17,2016-11-22,7.0,11-30-2016,Thai Military Bank
Q2-17,2016-06-28,6.8,11-30-2016,Thai Military Bank
Q2-17,2016-07-22,6.8,11-30-2016,Thai Military Bank
Q2-17,2016-08-26,6.8,11-30-2016,Thai Military Bank
Q2-17,2016-09-23,6.8,11-30-2016,Thai Military Bank
Q2-17,2016-10-25,6.9,11-30-2016,Thai Military Bank
Q2-17,2016-11-22,7.05,11-30-2016,Thai Military Bank
Q3-17,2016-09-23,6.8,11-30-2016,Thai Military Bank
Q3-17,2016-10-25,6.9,11-30-2016,Thai Military Bank
Q3-17,2016-11-22,7.05,11-30-2016,Thai Military Bank
2017,2015-12-22,6.59,11-30-2016,Thai Military Bank
2017,2016-01-25,6.8,11-30-2016,Thai Military Bank
2017,2016-02-16,6.8,11-30-2016,Thai Military Bank
2017,2016-03-18,6.8,11-30-2016,Thai Military Bank
2017,2016-04-20,6.8,11-30-2016,Thai Military Bank
2017,2016-05-24,6.8,11-30-2016,Thai Military Bank
2017,2016-06-28,6.8,11-30-2016,Thai Military Bank
2017,2016-07-22,6.8,11-30-2016,Thai Military Bank
2017,2016-08-26,7.0,11-30-2016,Thai Military Bank
2017,2016-09-23,6.9,11-30-2016,Thai Military Bank
2017,2016-10-25,6.95,11-30-2016,Thai Military Bank
2017,2016-11-22,7.1,11-30-2016,Thai Military Bank
2018,2015-12-22,6.57,11-30-2016,Thai Military Bank
2018,2016-01-25,6.9,11-30-2016,Thai Military Bank
2018,2016-02-16,6.9,11-30-2016,Thai Military Bank
2018,2016-03-18,6.9,11-30-2016,Thai Military Bank
2018,2016-04-20,6.9,11-30-2016,Thai Military Bank
2018,2016-05-24,6.9,11-30-2016,Thai Military Bank
2018,2016-06-28,6.9,11-30-2016,Thai Military Bank
2018,2016-07-22,6.9,11-30-2016,Thai Military Bank
2018,2016-08-26,7.0,11-30-2016,Thai Military Bank
2018,2016-09-23,7.0,11-30-2016,Thai Military Bank
2018,2016-10-25,7.1,11-30-2016,Thai Military Bank
2018,2016-11-22,7.25,11-30-2016,Thai Military Bank
2019,2015-12-22,6.56,11-30-2016,Thai Military Bank
2019,2016-05-24,6.7,11-30-2016,Thai Military Bank
2019,2016-06-28,6.7,11-30-2016,Thai Military Bank
2019,2016-07-22,6.7,11-30-2016,Thai Military Bank
2019,2016-08-26,7.0,11-30-2016,Thai Military Bank
2019,2016-09-23,7.0,11-30-2016,Thai Military Bank
