period,change_date,change,file,company
Q4-16,2015-12-21,6.62,11-30-2016,The PrivateBank
Q4-16,2016-01-11,6.62,11-30-2016,The PrivateBank
Q4-16,2016-02-08,6.62,11-30-2016,The PrivateBank
Q3-16,2015-09-18,6.45,08-31-2016,The PrivateBank
Q3-16,2015-11-10,6.45,08-31-2016,The PrivateBank
Q3-16,2015-12-21,6.57,08-31-2016,The PrivateBank
Q3-16,2016-01-11,6.57,08-31-2016,The PrivateBank
Q3-16,2016-02-08,6.57,08-31-2016,The PrivateBank
Q4-16,2015-12-21,6.62,08-31-2016,The PrivateBank
Q4-16,2016-01-11,6.62,08-31-2016,The PrivateBank
Q4-16,2016-02-08,6.62,08-31-2016,The PrivateBank
Q2-16,2015-09-18,6.44,05-31-2016,The PrivateBank
Q2-16,2015-11-10,6.43,05-31-2016,The PrivateBank
Q2-16,2015-12-21,6.57,05-31-2016,The PrivateBank
Q2-16,2016-01-11,6.57,05-31-2016,The PrivateBank
Q2-16,2016-02-08,6.57,05-31-2016,The PrivateBank
Q3-16,2015-09-18,6.45,05-31-2016,The PrivateBank
Q3-16,2015-11-10,6.45,05-31-2016,The PrivateBank
Q3-16,2015-12-21,6.57,05-31-2016,The PrivateBank
Q3-16,2016-01-11,6.57,05-31-2016,The PrivateBank
Q3-16,2016-02-08,6.57,05-31-2016,The PrivateBank
Q4-16,2015-12-21,6.62,05-31-2016,The PrivateBank
Q4-16,2016-01-11,6.62,05-31-2016,The PrivateBank
Q4-16,2016-02-08,6.62,05-31-2016,The PrivateBank
Q1-16,2015-09-18,6.42,02-28-2016,The PrivateBank
Q1-16,2015-11-10,6.41,02-28-2016,The PrivateBank
Q1-16,2015-12-21,6.55,02-28-2016,The PrivateBank
Q1-16,2016-01-11,6.55,02-28-2016,The PrivateBank
Q1-16,2016-02-08,6.55,02-28-2016,The PrivateBank
Q2-16,2015-09-18,6.44,02-28-2016,The PrivateBank
Q2-16,2015-11-10,6.43,02-28-2016,The PrivateBank
Q2-16,2015-12-21,6.57,02-28-2016,The PrivateBank
Q2-16,2016-01-11,6.57,02-28-2016,The PrivateBank
Q2-16,2016-02-08,6.57,02-28-2016,The PrivateBank
Q3-16,2015-09-18,6.45,02-28-2016,The PrivateBank
Q3-16,2015-11-10,6.45,02-28-2016,The PrivateBank
Q3-16,2015-12-21,6.57,02-28-2016,The PrivateBank
Q3-16,2016-01-11,6.57,02-28-2016,The PrivateBank
Q3-16,2016-02-08,6.57,02-28-2016,The PrivateBank
Q4-16,2015-12-21,6.62,02-28-2016,The PrivateBank
Q4-16,2016-01-11,6.62,02-28-2016,The PrivateBank
Q4-16,2016-02-08,6.62,02-28-2016,The PrivateBank
Q4-15,2015-09-18,6.4,11-30-2015,The PrivateBank
Q4-15,2015-11-10,6.39,11-30-2015,The PrivateBank
Q1-16,2015-09-18,6.42,11-30-2015,The PrivateBank
Q1-16,2015-11-10,6.41,11-30-2015,The PrivateBank
Q2-16,2015-09-18,6.44,11-30-2015,The PrivateBank
Q2-16,2015-11-10,6.43,11-30-2015,The PrivateBank
Q3-16,2015-09-18,6.45,11-30-2015,The PrivateBank
Q3-16,2015-11-10,6.45,11-30-2015,The PrivateBank
