period,change_date,change,file,company
Q4-07,2006-03-01,7.7,05-31-2007,UBS
Q4-07,2006-04-04,7.7,05-31-2007,UBS
Q4-07,2006-04-12,7.7,05-31-2007,UBS
Q4-07,2006-05-11,7.7,05-31-2007,UBS
Q4-07,2006-05-31,7.0,05-31-2007,UBS
2009,2006-06-29,6.8,05-31-2007,UBS
2010,2006-06-29,6.5,05-31-2007,UBS
Q2-11,2011-05-03,6.45,05-31-2011,UBS
Q3-11,2011-05-03,6.28,05-31-2011,UBS
Q4-11,2009-06-29,6.2,05-31-2011,UBS
Q4-11,2009-07-03,6.2,05-31-2011,UBS
Q4-11,2009-07-22,6.2,05-31-2011,UBS
Q4-11,2009-09-11,6.2,05-31-2011,UBS
Q4-11,2009-10-13,6.2,05-31-2011,UBS
Q4-11,2009-11-24,6.0,05-31-2011,UBS
Q4-11,2011-02-11,6.2,05-31-2011,UBS
Q4-11,2011-03-18,6.2,05-31-2011,UBS
Q4-11,2011-05-03,6.2,05-31-2011,UBS
2012,2011-02-11,6.0,05-31-2011,UBS
2012,2011-03-18,6.0,05-31-2011,UBS
2012,2011-05-03,6.0,05-31-2011,UBS
Q4-16,2015-08-19,6.6,11-30-2016,UBS
Q4-16,2015-10-12,6.8,11-30-2016,UBS
Q4-16,2015-10-14,6.8,11-30-2016,UBS
Q4-16,2015-11-18,6.8,11-30-2016,UBS
Q4-16,2016-02-29,6.8,11-30-2016,UBS
Q4-16,2016-06-03,6.65,11-30-2016,UBS
Q4-16,2016-07-06,6.7,11-30-2016,UBS
Q4-16,2016-08-10,6.7,11-30-2016,UBS
Q4-16,2016-09-05,6.7,11-30-2016,UBS
Q4-16,2016-09-09,6.8,11-30-2016,UBS
Q4-16,2016-10-17,6.8,11-30-2016,UBS
2017,2015-11-18,7.0,11-30-2016,UBS
2017,2016-02-29,7.0,11-30-2016,UBS
2017,2016-06-03,7.0,11-30-2016,UBS
2017,2016-07-06,7.0,11-30-2016,UBS
2017,2016-08-10,7.1,11-30-2016,UBS
2017,2016-09-05,7.1,11-30-2016,UBS
2017,2016-09-09,7.1,11-30-2016,UBS
2017,2016-10-17,7.1,11-30-2016,UBS
Q4-11,2009-06-29,6.2,02-28-2011,UBS
Q4-11,2009-07-03,6.2,02-28-2011,UBS
Q4-11,2009-07-22,6.2,02-28-2011,UBS
Q4-11,2009-09-11,6.2,02-28-2011,UBS
Q4-11,2009-10-13,6.2,02-28-2011,UBS
Q4-11,2009-11-24,6.0,02-28-2011,UBS
Q4-11,2011-02-11,6.2,02-28-2011,UBS
2012,2011-02-11,6.0,02-28-2011,UBS
Q3-16,2016-06-03,6.55,08-31-2016,UBS
Q3-16,2016-07-06,6.55,08-31-2016,UBS
Q3-16,2016-08-10,6.55,08-31-2016,UBS
Q4-16,2015-08-19,6.6,08-31-2016,UBS
Q4-16,2015-10-12,6.8,08-31-2016,UBS
Q4-16,2015-10-14,6.8,08-31-2016,UBS
Q4-16,2015-11-18,6.8,08-31-2016,UBS
Q4-16,2016-02-29,6.8,08-31-2016,UBS
Q4-16,2016-06-03,6.65,08-31-2016,UBS
Q4-16,2016-07-06,6.7,08-31-2016,UBS
Q4-16,2016-08-10,6.7,08-31-2016,UBS
2017,2015-11-18,7.0,08-31-2016,UBS
2017,2016-02-29,7.0,08-31-2016,UBS
2017,2016-06-03,7.0,08-31-2016,UBS
2017,2016-07-06,7.0,08-31-2016,UBS
2017,2016-08-10,7.1,08-31-2016,UBS
Q4-07,2006-03-01,7.7,02-28-2007,UBS
Q4-07,2006-04-04,7.7,02-28-2007,UBS
Q4-07,2006-04-12,7.7,02-28-2007,UBS
