period,change_date,change,file,company
Q3-20,2019-09-30,7.0,08-31-2020,UniCredit
Q3-20,2019-11-22,6.95,08-31-2020,UniCredit
Q3-20,2020-01-07,6.95,08-31-2020,UniCredit
Q3-20,2020-04-07,7.0,08-31-2020,UniCredit
Q4-20,2018-11-16,7.15,08-31-2020,UniCredit
Q4-20,2018-12-13,7.15,08-31-2020,UniCredit
Q4-20,2019-02-01,7.11,08-31-2020,UniCredit
Q4-20,2019-03-29,6.65,08-31-2020,UniCredit
Q4-20,2019-09-30,6.95,08-31-2020,UniCredit
Q4-20,2019-11-22,6.9,08-31-2020,UniCredit
Q4-20,2020-01-07,6.9,08-31-2020,UniCredit
Q4-20,2020-04-07,6.95,08-31-2020,UniCredit
Q1-21,2020-04-07,7.0,08-31-2020,UniCredit
2021,2019-11-22,7.05,08-31-2020,UniCredit
2021,2020-01-07,7.05,08-31-2020,UniCredit
2021,2020-04-07,7.05,08-31-2020,UniCredit
Q4-16,2015-11-18,6.55,11-30-2016,UniCredit
Q4-16,2015-12-22,6.55,11-30-2016,UniCredit
Q4-16,2016-01-29,6.8,11-30-2016,UniCredit
Q4-16,2016-03-11,6.8,11-30-2016,UniCredit
Q4-16,2016-04-19,6.8,11-30-2016,UniCredit
Q4-16,2016-06-03,6.65,11-30-2016,UniCredit
Q4-16,2016-07-08,6.65,11-30-2016,UniCredit
Q4-16,2016-08-18,6.65,11-30-2016,UniCredit
Q4-16,2016-10-03,6.65,11-30-2016,UniCredit
Q4-16,2016-11-11,6.65,11-30-2016,UniCredit
Q1-17,2016-03-11,6.88,11-30-2016,UniCredit
Q1-17,2016-04-19,6.88,11-30-2016,UniCredit
Q1-17,2016-06-03,6.75,11-30-2016,UniCredit
Q1-17,2016-07-08,6.75,11-30-2016,UniCredit
Q1-17,2016-08-18,6.75,11-30-2016,UniCredit
Q1-17,2016-10-03,6.75,11-30-2016,UniCredit
Q1-17,2016-11-11,6.75,11-30-2016,UniCredit
Q2-17,2016-06-03,6.82,11-30-2016,UniCredit
Q2-17,2016-07-08,6.82,11-30-2016,UniCredit
