period,change_date,change,file,company
Q3-12,2012-04-05,6.32,08-31-2012,VTB Capital
Q3-12,2012-05-28,6.32,08-31-2012,VTB Capital
Q4-12,2012-04-05,6.36,08-31-2012,VTB Capital
Q4-12,2012-05-28,6.36,08-31-2012,VTB Capital
Q1-13,2012-04-05,6.38,08-31-2012,VTB Capital
Q1-13,2012-05-28,6.38,08-31-2012,VTB Capital
2013,2012-04-05,6.45,08-31-2012,VTB Capital
2013,2012-05-28,6.45,08-31-2012,VTB Capital
Q4-12,2012-04-05,6.36,11-30-2012,VTB Capital
Q4-12,2012-05-28,6.36,11-30-2012,VTB Capital
Q1-13,2012-04-05,6.38,11-30-2012,VTB Capital
Q1-13,2012-05-28,6.38,11-30-2012,VTB Capital
2013,2012-04-05,6.45,11-30-2012,VTB Capital
2013,2012-05-28,6.45,11-30-2012,VTB Capital
Q4-13,2012-04-05,6.45,11-30-2013,VTB Capital
Q4-13,2012-05-28,6.45,11-30-2013,VTB Capital
Q4-13,2012-04-05,6.45,08-31-2013,VTB Capital
Q4-13,2012-05-28,6.45,08-31-2013,VTB Capital
Q4-13,2012-04-05,6.45,05-31-2013,VTB Capital
Q4-13,2012-05-28,6.45,05-31-2013,VTB Capital
Q1-13,2012-04-05,6.38,02-28-2013,VTB Capital
Q1-13,2012-05-28,6.38,02-28-2013,VTB Capital
Q4-13,2012-04-05,6.45,02-28-2013,VTB Capital
Q4-13,2012-05-28,6.45,02-28-2013,VTB Capital
Q2-12,2012-04-05,6.28,05-31-2012,VTB Capital
Q2-12,2012-05-28,6.28,05-31-2012,VTB Capital
Q3-12,2012-04-05,6.32,05-31-2012,VTB Capital
Q3-12,2012-05-28,6.32,05-31-2012,VTB Capital
Q4-12,2012-04-05,6.36,05-31-2012,VTB Capital
Q4-12,2012-05-28,6.36,05-31-2012,VTB Capital
Q1-13,2012-04-05,6.38,05-31-2012,VTB Capital
Q1-13,2012-05-28,6.38,05-31-2012,VTB Capital
2013,2012-04-05,6.45,05-31-2012,VTB Capital
2013,2012-05-28,6.45,05-31-2012,VTB Capital
