period,change_date,change,file,company
Q2-11,2010-06-09,6.62,05-31-2011,Wells Fargo
Q2-11,2010-06-21,6.5,05-31-2011,Wells Fargo
Q2-11,2010-07-15,6.5,05-31-2011,Wells Fargo
Q2-11,2010-08-11,6.57,05-31-2011,Wells Fargo
Q2-11,2010-09-10,6.57,05-31-2011,Wells Fargo
Q2-11,2010-10-13,6.35,05-31-2011,Wells Fargo
Q2-11,2010-11-12,6.45,05-31-2011,Wells Fargo
Q2-11,2010-12-09,6.45,05-31-2011,Wells Fargo
Q2-11,2011-01-13,6.4,05-31-2011,Wells Fargo
Q2-11,2011-02-11,6.5,05-31-2011,Wells Fargo
Q2-11,2011-03-17,6.5,05-31-2011,Wells Fargo
Q2-11,2011-04-14,6.45,05-31-2011,Wells Fargo
Q2-11,2011-05-12,6.46,05-31-2011,Wells Fargo
Q3-11,2010-09-10,6.47,05-31-2011,Wells Fargo
Q3-11,2010-10-13,6.25,05-31-2011,Wells Fargo
Q3-11,2010-11-12,6.35,05-31-2011,Wells Fargo
Q3-11,2010-12-09,6.35,05-31-2011,Wells Fargo
Q3-11,2011-01-13,6.3,05-31-2011,Wells Fargo
Q3-11,2011-02-11,6.4,05-31-2011,Wells Fargo
Q3-11,2011-03-17,6.4,05-31-2011,Wells Fargo
Q3-11,2011-04-14,6.35,05-31-2011,Wells Fargo
Q3-11,2011-05-12,6.4,05-31-2011,Wells Fargo
Q4-11,2010-02-17,6.48,05-31-2011,Wells Fargo
Q4-11,2010-03-11,6.4,05-31-2011,Wells Fargo
Q4-11,2010-04-14,6.3,05-31-2011,Wells Fargo
Q4-11,2010-05-12,6.22,05-31-2011,Wells Fargo
Q4-11,2010-06-09,6.42,05-31-2011,Wells Fargo
Q4-11,2010-06-21,6.3,05-31-2011,Wells Fargo
Q4-11,2010-07-15,6.3,05-31-2011,Wells Fargo
Q4-11,2010-08-11,6.37,05-31-2011,Wells Fargo
Q4-11,2010-09-10,6.37,05-31-2011,Wells Fargo
Q4-11,2010-10-13,6.15,05-31-2011,Wells Fargo
Q4-11,2010-11-12,6.25,05-31-2011,Wells Fargo
Q4-11,2010-12-09,6.25,05-31-2011,Wells Fargo
Q4-11,2011-01-13,6.2,05-31-2011,Wells Fargo
