period,change_date,change,file,company
Q2-07,2006-04-07,7.8,05-31-2007,Westpac Banking
Q2-07,2006-05-05,7.8,05-31-2007,Westpac Banking
Q2-07,2006-06-09,7.8,05-31-2007,Westpac Banking
Q2-07,2006-06-16,7.8,05-31-2007,Westpac Banking
Q2-07,2006-07-07,7.8,05-31-2007,Westpac Banking
Q2-07,2006-08-24,7.8,05-31-2007,Westpac Banking
Q2-07,2006-09-01,7.85,05-31-2007,Westpac Banking
Q2-07,2006-09-08,7.8,05-31-2007,Westpac Banking
Q2-07,2006-09-29,7.75,05-31-2007,Westpac Banking
Q2-07,2006-10-06,7.8,05-31-2007,Westpac Banking
Q2-07,2006-11-03,7.75,05-31-2007,Westpac Banking
Q2-07,2006-11-10,7.75,05-31-2007,Westpac Banking
Q2-07,2006-11-14,7.75,05-31-2007,Westpac Banking
Q2-07,2006-12-06,7.75,05-31-2007,Westpac Banking
Q2-07,2007-01-09,7.75,05-31-2007,Westpac Banking
Q2-07,2007-01-17,7.7,05-31-2007,Westpac Banking
Q2-07,2007-02-01,7.69,05-31-2007,Westpac Banking
Q2-07,2007-02-09,7.69,05-31-2007,Westpac Banking
Q2-07,2007-03-02,7.69,05-31-2007,Westpac Banking
Q2-07,2007-03-13,7.7,05-31-2007,Westpac Banking
Q2-07,2007-03-30,7.7,05-31-2007,Westpac Banking
Q2-07,2007-04-13,7.7,05-31-2007,Westpac Banking
Q2-07,2007-05-03,7.69,05-31-2007,Westpac Banking
Q2-07,2007-05-04,7.69,05-31-2007,Westpac Banking
Q3-07,2006-09-01,7.8,05-31-2007,Westpac Banking
Q3-07,2006-09-08,7.75,05-31-2007,Westpac Banking
Q3-07,2006-09-29,7.75,05-31-2007,Westpac Banking
Q3-07,2006-10-06,7.75,05-31-2007,Westpac Banking
Q3-07,2006-11-03,7.75,05-31-2007,Westpac Banking
Q3-07,2006-11-10,7.75,05-31-2007,Westpac Banking
Q3-07,2006-11-14,7.75,05-31-2007,Westpac Banking
Q3-07,2006-12-06,7.7,05-31-2007,Westpac Banking
Q3-07,2007-01-09,7.75,05-31-2007,Westpac Banking
Q3-07,2007-01-17,7.65,05-31-2007,Westpac Banking
Q3-07,2007-02-01,7.65,05-31-2007,Westpac Banking
Q3-07,2007-02-09,7.65,05-31-2007,Westpac Banking
Q3-07,2007-03-02,7.65,05-31-2007,Westpac Banking
Q3-07,2007-03-13,7.65,05-31-2007,Westpac Banking
Q3-07,2007-03-30,7.65,05-31-2007,Westpac Banking
Q3-07,2007-04-13,7.65,05-31-2007,Westpac Banking
Q3-07,2007-05-03,7.65,05-31-2007,Westpac Banking
Q3-07,2007-05-04,7.65,05-31-2007,Westpac Banking
Q4-07,2006-05-12,7.7,05-31-2007,Westpac Banking
Q4-07,2006-05-26,7.7,05-31-2007,Westpac Banking
Q4-07,2006-06-16,7.7,05-31-2007,Westpac Banking
Q4-07,2006-08-24,7.7,05-31-2007,Westpac Banking
Q4-07,2006-09-01,7.7,05-31-2007,Westpac Banking
Q4-07,2006-09-08,7.7,05-31-2007,Westpac Banking
Q4-07,2006-09-29,7.7,05-31-2007,Westpac Banking
Q4-07,2006-10-06,7.75,05-31-2007,Westpac Banking
Q4-07,2006-11-03,7.7,05-31-2007,Westpac Banking
Q4-07,2006-11-10,7.7,05-31-2007,Westpac Banking
Q4-07,2006-11-14,7.7,05-31-2007,Westpac Banking
Q4-07,2006-12-06,7.65,05-31-2007,Westpac Banking
Q4-07,2007-01-09,7.7,05-31-2007,Westpac Banking
Q4-07,2007-01-17,7.6,05-31-2007,Westpac Banking
Q4-07,2007-02-01,7.55,05-31-2007,Westpac Banking
Q4-07,2007-02-09,7.55,05-31-2007,Westpac Banking
Q4-07,2007-03-02,7.55,05-31-2007,Westpac Banking
Q4-07,2007-03-13,7.55,05-31-2007,Westpac Banking
Q4-07,2007-03-30,7.55,05-31-2007,Westpac Banking
Q4-07,2007-04-13,7.55,05-31-2007,Westpac Banking
Q4-07,2007-05-03,7.55,05-31-2007,Westpac Banking
Q4-07,2007-05-04,7.55,05-31-2007,Westpac Banking
